@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,10,8,12,7,11,15,9,1,16,17,18,19,20,53'

@attribute description_length numeric
@attribute created_at_day_turn {manha,madrugada,noite,tarde}
@attribute files_modified numeric
@attribute files_added numeric
@attribute src_files numeric
@attribute num_commits numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute created_at_week_day {terca-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,quarta-feira}
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
123,noite,2,2,1,2,4,53,0,quarta-feira,0,22.004572,0.024859,22,22,0
141,noite,4,0,3,2,4,24,0,quarta-feira,0,24.751864,0.027968,50,25,0
9,tarde,1,0,0,1,1,0,0,quarta-feira,0,4.768082,0.005388,17,17,0
166,tarde,2,0,2,2,2,58,0,quarta-feira,0,20.595785,0.023272,16,16,0
123,manha,2,1,3,2,3,11,0,quarta-feira,39,19.180648,0.021673,1,1,0
20,madrugada,1,1,2,2,2,12,0,quarta-feira,24,9.716558,0.01098,16,16,0
72,madrugada,3,0,3,1,3,2,0,quarta-feira,31,14.081167,0.015911,4,2,0
123,madrugada,1,0,1,1,1,0,0,quarta-feira,10,4.911406,0.00555,0,0,0
174,noite,2,1,2,3,3,38,0,terca-feira,21,15.479508,0.017492,21,17,0
159,noite,2,0,0,1,2,0,0,terca-feira,0,9.813074,0.011089,23,14,0
104,noite,2,0,2,2,2,176,0,terca-feira,6,19.148735,0.021641,10,7,0
157,noite,1,0,1,1,1,2,0,terca-feira,0,4.529237,0.005119,4,4,1
97,tarde,1,0,0,2,1,0,0,terca-feira,0,4.450015,0.005029,5,5,0
143,tarde,1,0,1,2,1,6,0,terca-feira,0,9.173752,0.010368,3,3,1
171,manha,3,0,3,3,3,12,0,terca-feira,90,29.666036,0.049505,0,0,0
164,manha,2,0,2,2,2,82,0,terca-feira,0,9.542608,0.010785,2,2,1
108,madrugada,1,0,1,1,1,6,0,terca-feira,0,4.845037,0.005476,0,0,0
119,madrugada,2,1,2,6,3,49,0,terca-feira,27,9.532362,0.010774,0,0,1
75,madrugada,1,0,0,2,1,0,0,terca-feira,0,9.523519,0.010764,11,11,1
154,madrugada,1,0,0,1,1,0,0,terca-feira,0,5.188443,0.005864,1,1,1
147,madrugada,1,1,2,8,2,2,0,terca-feira,61,9.469047,0.010702,3,3,0
402,noite,31,9,27,36,40,1600,0,segunda-feira,143,240.712573,0.280196,136,17,0
149,noite,1,0,0,4,1,0,0,segunda-feira,0,9.492857,0.010729,3,3,0
141,madrugada,2,0,2,3,2,57,0,segunda-feira,0,24.413826,0.027598,20,16,1
171,madrugada,1,0,1,1,1,5,0,segunda-feira,0,4.735436,0.005353,9,9,0
211,madrugada,1,1,2,3,2,3,0,segunda-feira,11,9.552641,0.010799,9,9,0
31,madrugada,1,0,0,1,1,0,0,segunda-feira,0,4.449147,0.00503,3,3,1
38,noite,1,0,0,2,1,0,0,domingo,0,9.981426,0.011284,4,4,1
96,tarde,1,0,0,2,1,0,0,domingo,0,8.96214,0.010132,12,12,1
140,tarde,1,0,1,2,1,4,0,domingo,0,10.034103,0.011343,21,21,0
136,madrugada,3,0,0,6,3,0,0,domingo,0,13.72518,0.015516,24,11,1
88,madrugada,1,0,0,2,1,0,0,domingo,0,9.499376,0.010739,10,10,0
142,noite,1,0,1,1,1,0,0,sabado,40,4.81117,0.005439,0,0,0
137,tarde,0,0,0,1,0,0,0,sabado,0,0,0,0,0,0
88,manha,1,0,1,2,1,96,0,sabado,0,9.221718,0.010428,10,10,1
53,madrugada,1,0,0,2,1,0,0,sabado,0,9.969208,0.011273,3,3,1
11,madrugada,1,0,1,2,1,2,0,sabado,0,10.007206,0.011316,15,15,1
134,madrugada,1,0,1,2,1,2,0,sabado,0,9.924521,0.011223,15,15,1
134,madrugada,1,0,1,1,1,1,0,sabado,0,4.944192,0.005591,15,15,1
14,madrugada,1,0,1,2,1,2,0,sabado,0,10.10201,0.011423,14,14,0
27,madrugada,1,0,1,2,1,2,0,sabado,0,9.858914,0.011148,14,14,1
5,madrugada,1,0,1,2,1,2,0,sabado,0,9.992905,0.0113,14,14,0
5,madrugada,1,0,1,1,1,1,0,sabado,0,4.98649,0.005639,14,14,0
135,madrugada,1,0,1,3,1,9,0,sabado,0,4.818421,0.005449,1,1,1
135,noite,1,0,1,1,1,2,0,sexta-feira,0,4.542712,0.005137,1,1,0
102,noite,3,0,3,2,9,156,6,sexta-feira,0,13.37843,0.015128,10,5,1
133,manha,1,1,2,1,2,10,0,sexta-feira,27,9.120926,0.010314,16,16,1
