@relation 'netty-data-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,8,12,6,11,10,9,15,1,17,14,18,19,16,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,madrugada,manha}
@attribute files_added numeric
@attribute src_files numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_modified numeric
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,segunda-feira,sabado,sexta-feira,quinta-Feira,domingo,quarta-feira}
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute commits_on_files_touched numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
2,madrugada,1,3,67,3,2,0,140,quarta-feira,22.089596,0,0.205256,0,1,0
1,madrugada,0,1,68,1,1,0,26,quarta-feira,4.576732,0,0.042527,6,0,1
1,madrugada,0,2,50,2,2,0,20,quarta-feira,9.158602,0,0.085101,6,8,0
1,noite,0,4,49,4,4,0,27,terca-feira,0,0,0,0,0,0
2,noite,0,2,51,2,2,0,156,sabado,18.500582,0,0.171905,3,0,1
1,madrugada,0,2,69,2,2,0,28,sabado,9.178925,0,0.08529,3,0,0
2,tarde,7,11,46,11,4,0,1136,sexta-feira,24.007854,0,0.223082,5,0,1
1,noite,0,2,72,2,2,0,14,quinta-Feira,9.066697,0,0.084247,4,151,0
2,manha,0,4,90,4,4,0,1748,quinta-Feira,34.720442,0,0.322618,12,831,0
2,manha,0,4,77,4,4,0,182,quinta-Feira,36.912223,0,0.342983,5,136,0
2,madrugada,0,1,128,2,2,0,55,quinta-Feira,17.417838,1,0.161844,17,0,0
2,madrugada,0,5,81,5,5,0,327,quinta-Feira,45.777022,0,0.425354,9,356,0
1,madrugada,0,1,31,1,1,0,2,quinta-Feira,4.585298,0,0.042606,2,0,1
2,madrugada,0,2,77,2,2,0,39,quarta-feira,13.995906,0,0.130048,7,10,0
2,madrugada,0,2,21,2,2,0,110,domingo,18.233765,0,0.169426,3,94,0
1,madrugada,0,1,27,1,1,0,2,sabado,4.379127,0,0.040692,1,0,0
1,madrugada,0,1,110,1,1,0,6,sabado,4.913457,0,0.045657,1,0,0
2,madrugada,0,5,78,5,5,0,72,sabado,36.443261,0,0.33864,4,0,0
1,madrugada,0,0,36,1,1,0,0,sabado,4.801944,1,0.044621,17,0,1
1,madrugada,0,1,46,1,1,0,4,sabado,4.82799,0,0.044863,0,0,1
1,madrugada,0,0,68,1,1,0,0,sabado,4.646099,1,0.043172,17,0,1
1,madrugada,0,2,47,2,2,0,12,sabado,9.600009,0,0.089205,2,62,1
1,tarde,0,1,44,1,1,0,3,sexta-feira,4.670641,0,0.072336,2,0,1
1,tarde,0,1,26,1,1,0,4,sexta-feira,3.586071,0,0.033337,1,0,1
1,tarde,0,3,53,3,3,0,18,sexta-feira,14.278444,0,0.221134,10,0,1
2,manha,0,19,40,19,19,0,1154,sexta-feira,167.776166,0,1.559677,6,86,1
1,noite,0,2,60,2,2,0,2,quinta-Feira,8.428801,0,0.078354,2,66,1
1,tarde,0,1,77,1,1,0,15,quinta-Feira,4.277375,0,0.03978,1,0,1
2,madrugada,0,4,64,4,4,0,172,quinta-Feira,0,0,0,0,0,1
2,noite,2,3,73,3,1,0,819,quarta-feira,17.823183,0,0.165599,0,0,1
1,noite,0,3,130,3,3,0,151,quarta-feira,13.775786,0,0.127994,2,0,0
30,manha,2,5,84,7,4,1,2507,quarta-feira,19.460836,0,0.180894,4,0,0
1,noite,0,2,77,2,2,0,19,terca-feira,9.122647,0,0.084797,8,0,0
2,noite,2,18,132,14,8,4,3394,terca-feira,97.839643,0,0.909445,2,4,0
2,noite,1,25,84,25,24,0,322,terca-feira,213.904579,0,1.988299,10,0,1
2,noite,1,10,66,10,9,0,174,terca-feira,95.585394,0,0.888491,4,78,1
2,noite,0,3,106,4,4,0,10,terca-feira,28.406507,1,0.264046,23,37,1
2,noite,0,2,100,2,2,0,68,terca-feira,18.176564,0,0.168956,1,232,1
1,noite,0,2,57,2,2,0,12,terca-feira,8.066319,0,0.124808,2,99,1
1,noite,0,4,67,4,4,0,17,terca-feira,19.509934,0,0.18135,3,4,1
2,noite,0,4,59,4,4,0,159,terca-feira,34.578821,0,0.321419,12,238,0
2,manha,0,15,38,15,15,0,250,terca-feira,137.377935,0,1.276965,4,40,1
1,manha,0,1,72,1,1,0,14,terca-feira,4.328478,0,0.066974,2,0,0
1,manha,0,1,71,1,1,0,21,terca-feira,3.811743,0,0.035431,2,0,1
1,madrugada,0,2,106,2,2,0,10,terca-feira,9.145019,0,0.085005,4,9,1
4,tarde,0,1,59,1,1,0,25,segunda-feira,3.800122,0,0.035323,2,0,1
4,tarde,0,1,59,1,1,0,18,segunda-feira,4.203747,0,0.065044,2,0,0
2,manha,0,2,9,2,2,0,12,segunda-feira,17.559285,0,0.163219,0,0,1
2,manha,0,1,22,1,1,0,12,domingo,4.607081,0,0.042824,0,0,1
1,manha,0,12,61,12,12,0,72,domingo,56.056551,0,0.521063,19,0,1
1,madrugada,0,5,35,5,5,0,95,domingo,21.149728,0,0.196593,0,0,1
1,madrugada,0,0,70,5,5,0,0,sabado,22.255984,5,0.344362,11,0,1
2,madrugada,1,2,36,3,2,0,12,sabado,27.768749,1,0.258118,19,208,1
1,madrugada,0,2,79,2,2,0,4,sabado,9.039817,0,0.084028,1,0,0
2,madrugada,0,5,123,5,5,0,497,sabado,45.439069,0,0.422369,4,516,0
2,madrugada,0,11,96,11,11,0,243,sabado,73.210746,0,0.680514,13,44,0
1,manha,0,1,46,1,1,0,87,sexta-feira,0,0,0,0,0,1
1,manha,0,3,200,3,3,0,43,sexta-feira,13.131856,0,0.122062,10,0,1
2,manha,0,17,34,17,17,0,714,sexta-feira,148.792751,0,1.383049,0,0,0
250,manha,68,294,1,328,256,4,17637,sexta-feira,3429.416108,19,31.876887,121,6663,0
1,manha,0,1,59,1,1,0,2,sexta-feira,4.39557,0,0.06801,2,0,0
1,madrugada,0,2,55,2,2,0,17,sexta-feira,8.963515,0,0.083317,0,21,1
2,madrugada,0,2,43,2,2,0,12,sexta-feira,18.792801,0,0.174682,0,71,1
2,tarde,0,2,132,2,2,0,184,quinta-Feira,17.784243,0,0.275167,8,0,0
1,manha,0,24,77,24,24,0,505,quinta-Feira,107.914388,0,1.003063,1,9,0
2,madrugada,1,67,62,72,71,0,1699,quinta-Feira,342.262246,5,3.181322,83,639,0
1,noite,0,1,78,1,1,0,5,quarta-feira,4.041882,0,0.092674,0,0,0
2,tarde,0,2,54,2,2,0,20,quarta-feira,14.329212,0,0.221709,4,2,1
2,tarde,0,5,41,5,5,0,39,quarta-feira,30.742244,0,0.285749,3,6,1
1,tarde,0,1,28,1,1,0,0,quarta-feira,4.488253,0,0.069445,4,2,1
1,tarde,0,1,64,1,1,0,52,quarta-feira,3.641586,0,0.056345,0,0,0
1,manha,0,2,79,2,2,0,62,quarta-feira,9.538443,0,0.08866,4,0,0
2,manha,0,4,86,4,4,0,137,quarta-feira,35.651068,0,0.331377,3,122,1
1,manha,0,2,76,2,2,0,30,quarta-feira,9.11608,0,0.084734,9,0,1
2,manha,0,3,71,3,3,0,37,quarta-feira,21.680939,0,0.201524,9,134,0
1,manha,0,1,56,1,1,0,40,quarta-feira,4.891195,0,0.045464,3,0,0
2,manha,0,1,77,1,1,0,367,quarta-feira,8.829078,0,0.082066,2,0,0
1,noite,0,2,132,2,2,0,89,terca-feira,8.881693,0,0.137422,8,0,0
1,manha,0,1,25,1,1,0,6,terca-feira,4.625913,0,0.042998,0,0,1
1,noite,0,1,113,1,1,0,5,segunda-feira,4.922302,0,0.045753,0,0,1
1,madrugada,2,1,95,26,24,0,0,domingo,115.05797,23,1.069464,17,175,0
1,noite,0,1,24,1,1,0,0,sexta-feira,4.808238,0,0.044693,0,1,0
2,noite,0,64,144,64,64,0,626,sexta-feira,546.680046,0,12.53456,0,48,1
