@relation 'okhttp-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,22,6,2,7,10,12,11,15,17,16,18,23,8,14,53'

@attribute requester {swankjesse,dave-r12,morder,mattlogan,nfuller,alexrwegener,NightlyNexus,reisub,JakeWharton,SpikeKing,mreichelt,nxtstep,franmontiel,chadbrubaker,lh62863,iNoles,gkimbwala,pforhan,tasomaniac,artem-zinnatullin,jgilfelt,ChristianBecker,topwu,moltak,austynmahoney,lburgazzoli,twbarber,cswzxly,yschimke,jonan,adstro,rburgst,TOdorus,SuriyaaKudoIsc,0xced,chaitanyajun12,rnauber,AhmedDaraz,alexeimoisseev,javedkansi,sunyal,timcooijmans,rfc2822,thest1,markhobson,ErikHellman,drorweiss,marenzo,iagreen,RasKasa,ansman,cketti,KENJU,felipecsl,JasperG,snodnipper,mgp,dmoneyUK,jwriteclub,vicmosin,pguilbot,MichaelEvans,minakov,halizton,gfx,duanhongyi,the4thfloor,GUIpsp,Wopple,pwerry,yegorius,peknudsen,Ponyets,deronbrown,alokmenghrajani,unguiculus,StephenBarlow,wjam,HugoGresse,nfukuzaki,circlespainter,ajwhite,kryali,quinnjn,kenmasumitsu,lalbuquerque,aried3r,hiddenmin,cy6erGn0m,adriancole,nashira,dmide,longbai,ipsi,busylee999,klyubin,mikevoyt,kboyarshinov,raggi,brennantaylor,jbornemann,joschi,alfishe,josketres,mruddy,marshallpierce,dcheckoway,yelinaung,tomxor,LaLiLuLeLo,davidschreiber,bendog24,mescortes,mpost,seato,DanGe42,baldur,dlubarov,tomrozb,lcolitti,hostinmars,westarle,BugsBunnyBR,fbiville,andrewgaul,mlc,MiguelLavigne,kkocel,lexer,anderius,indutny,robUx4,nmittler,ross,fizbin,goaway,rtyley,takke,adamsp,normanmaurer,marco-cova,intrications,lingmingyb,hwrdprkns,nacx,carck,pablolb,xiaobi625,JonWatson,rupertbates,everett-toews,desseim,aahlenst,romkavt,narayank,vmarko,menny,kriswuollett,kruton,candrews,edenman,orrc}
@attribute at_mentions_description numeric
@attribute description_length numeric
@attribute created_at_day_turn {manha,noite,tarde,madrugada}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute new_entropy numeric
@attribute test_churn numeric
@attribute entropy_diff numeric
@attribute at_mentions_comments numeric
@attribute files_added numeric
@attribute other_files numeric
@attribute status {0,1}

@data
swankjesse,0,14,noite,1,0,2,2,231,0,206,0,0,0,0,1
adstro,0,45,manha,3,2,2,2,16,9.537437,112,0.648967,5,0,0,1
rburgst,0,14,tarde,2,3,3,3,16,14.568251,21,0.991265,0,0,0,0
swankjesse,0,12,manha,1,4,4,4,90,18.706467,36,1.27284,0,0,0,1
swankjesse,0,9,manha,1,4,5,4,79,18.280691,70,1.243855,0,0,0,1
TOdorus,0,48,noite,1,5,5,5,29,23.150154,95,1.580407,2,0,0,0
SuriyaaKudoIsc,0,30,noite,1,1,0,1,0,4.41826,0,0.301624,0,0,0,0
swankjesse,0,35,noite,1,4,5,5,114,23.434438,176,1.599814,0,1,0,1
0xced,0,134,tarde,1,1,1,1,16,4.622423,0,0.314502,5,0,0,0
swankjesse,0,46,noite,2,4,5,5,208,37.439733,68,2.54734,0,0,0,1
swankjesse,0,8,manha,2,2,2,2,35,19.686655,82,1.339458,0,0,0,1
chaitanyajun12,0,15,madrugada,3,1,1,1,12,13.406408,0,0.912157,0,0,0,1
swankjesse,0,8,manha,1,6,9,6,76,27.876599,39,1.896656,0,0,0,1
swankjesse,0,23,manha,1,6,6,6,51,27.405945,22,1.864617,0,0,0,1
swankjesse,0,34,manha,1,3,3,3,28,14.660959,142,0.997491,0,0,0,1
swankjesse,0,9,manha,1,0,0,0,0,0,0,0,0,0,0,1
swankjesse,0,7,madrugada,1,0,0,0,0,0,0,0,0,0,0,1
JakeWharton,0,8,madrugada,1,2,2,2,17,9.596933,87,0.652874,0,0,0,1
JakeWharton,0,12,madrugada,2,2,2,2,37,19.518658,951,1.327744,0,0,0,1
swankjesse,0,21,madrugada,1,0,1,1,0,4.908593,230,0.335012,0,1,0,1
rnauber,0,51,tarde,1,5,7,7,224,33.848244,71,2.310253,0,2,0,0
AhmedDaraz,0,64,noite,2,18,18,18,116,100.605227,0,6.866635,0,0,0,0
swankjesse,0,55,manha,2,1,1,1,0,9.630345,8,0.657302,0,0,0,1
alexeimoisseev,0,7,madrugada,1,2,2,2,3,9.586984,27,0.654343,0,0,0,0
swankjesse,0,61,madrugada,2,9,9,9,153,84.107263,28,5.740577,0,0,0,1
javedkansi,0,100,noite,1,3,4,4,23,18.413828,141,1.2568,0,1,0,0
javedkansi,0,96,noite,1,11,11,11,30,49.494776,0,3.378169,0,0,0,0
JakeWharton,0,74,noite,1,1,1,1,1,4.806515,0,0.328059,0,0,0,1
swankjesse,0,28,manha,1,7,7,7,57,32.631101,120,2.227158,0,0,0,1
JakeWharton,0,25,madrugada,2,3,3,3,66,28.413236,154,1.939278,0,0,0,1
JakeWharton,0,60,tarde,2,3,3,3,211,28.151168,468,1.921271,0,0,0,1
swankjesse,0,21,manha,2,3,3,3,108,24.651612,14,1.68244,0,0,0,1
sunyal,0,4,noite,1,1,1,1,2,4.437652,0,0.302864,0,0,0,1
swankjesse,0,9,manha,1,1,1,1,2,4.780374,0,0.326255,0,0,0,1
timcooijmans,0,37,tarde,6,11,13,12,584,65.876312,56,4.524834,0,1,0,0
swankjesse,0,60,noite,2,1,3,3,508,28.184217,413,1.935881,0,2,0,1
swankjesse,0,7,madrugada,1,1,1,1,0,4.831181,57,0.331838,0,0,0,1
rfc2822,0,29,tarde,2,2,2,2,12,13.463866,0,0.924789,0,0,0,0
nfuller,1,157,tarde,1,2,2,2,2,9.316686,2,0.639932,0,0,0,1
swankjesse,0,40,manha,1,1,1,1,3,5.045765,0,0.346575,0,0,0,1
swankjesse,0,8,manha,2,5,5,5,160,49.692511,110,3.413192,0,0,0,1
swankjesse,0,24,manha,2,10,15,13,480,114.893792,512,7.918084,0,2,0,1
swankjesse,0,6,madrugada,2,5,6,6,390,47.540206,370,3.276346,1,1,0,1
thest1,0,18,manha,4,1,1,1,32,4.728147,0,0.325861,6,0,0,0
JakeWharton,0,31,noite,2,3,3,3,18,30.569981,53,2.106863,0,0,0,1
swankjesse,0,18,noite,2,4,4,4,112,34.867235,344,2.403055,0,0,0,1
markhobson,0,29,noite,1,1,1,1,4,4.907622,0,0.33823,0,0,0,1
swankjesse,0,29,tarde,2,3,3,3,22,17.898839,134,1.233575,0,0,0,1
swankjesse,0,3,madrugada,2,2,2,2,20,14.426745,20,0.99428,0,0,0,1
swankjesse,0,4,madrugada,1,2,1,2,23,9.689583,0,0.667615,0,0,0,1
ErikHellman,0,24,tarde,1,2,2,2,35,9.853531,21,0.678911,0,0,0,0
nfuller,0,5,tarde,1,2,2,2,4,9.332688,14,0.643024,0,0,0,1
JakeWharton,0,31,madrugada,2,2,2,2,14,9.678979,26,0.666885,0,0,0,1
JakeWharton,0,10,noite,1,1,1,1,11,4.644596,0,0.320018,0,0,0,1
JakeWharton,0,57,manha,2,6,6,6,154,53.781199,64,3.705377,0,0,0,1
rfc2822,0,24,madrugada,2,1,1,1,23,9.642945,0,0.66439,0,0,0,1
drorweiss,0,31,madrugada,1,1,1,1,2,5.1883,0,0.357469,0,0,0,0
swankjesse,0,6,tarde,1,1,1,1,7,4.443529,0,0.306155,0,0,0,1
marenzo,0,44,tarde,3,2,2,2,121,9.820028,51,0.67659,0,0,0,0
nfuller,0,35,tarde,1,1,1,1,0,4.874076,4,0.335819,0,0,0,1
iagreen,0,66,tarde,1,3,3,3,9,14.882823,23,1.025411,0,0,0,1
marenzo,0,6,noite,1,1,1,1,2,4.666087,0,0.321488,0,0,0,1
JakeWharton,0,3,madrugada,1,1,1,1,2,4.566142,0,0.318521,0,0,0,1
JakeWharton,0,7,madrugada,1,4,4,4,46,18.454912,9,1.287361,0,0,0,1
RasKasa,0,7,noite,1,1,1,1,2,4.46736,0,0.31163,0,0,0,1
JakeWharton,0,15,manha,1,1,3,5,39,22.634569,35,1.578908,0,4,2,1
JakeWharton,0,12,manha,2,2,2,2,29,9.394481,52,0.655329,0,0,0,1
JakeWharton,0,37,madrugada,1,7,7,7,169,34.569428,146,2.411559,0,0,0,1
JakeWharton,0,55,madrugada,1,12,12,12,193,59.109523,449,4.12384,0,0,0,1
JakeWharton,0,10,madrugada,1,3,4,7,304,33.852406,240,2.395032,0,4,3,1
ansman,0,11,tarde,3,2,2,2,8,18.366519,29,1.299417,2,0,0,1
swankjesse,0,6,manha,1,1,1,1,0,4.859487,2,0.343805,0,0,0,1
cketti,0,45,manha,2,3,3,3,10,14.093602,29,0.997112,0,0,0,1
NightlyNexus,0,26,madrugada,1,1,1,1,0,4.81617,11,0.34074,0,0,0,0
nfuller,0,45,manha,1,1,1,1,0,4.524601,18,0.320116,0,0,0,1
KENJU,0,102,manha,1,1,1,1,2,5.172215,0,0.365937,1,0,0,0
NightlyNexus,0,4,manha,1,1,1,1,7,0,0,0,0,0,0,1
nfuller,0,56,tarde,1,1,1,1,0,4.962569,12,0.351101,0,0,0,1
nfuller,0,88,noite,1,4,4,4,55,19.43445,25,1.374985,0,0,0,1
felipecsl,0,43,noite,1,2,2,2,1,8.421284,2,0.595805,0,0,0,1
yschimke,0,15,noite,2,2,2,2,2,4.687241,4,0.331622,0,0,0,1
JasperG,0,46,tarde,1,1,1,1,2,4.873228,0,0.344781,0,0,0,0
iagreen,0,34,manha,2,2,2,2,8,5.189434,6,0.367154,0,0,0,1
nfuller,0,42,noite,1,8,8,8,0,35.93038,93,2.542119,0,0,0,1
snodnipper,0,8,noite,1,1,1,1,2,4.683139,0,0.331338,0,0,0,1
mgp,0,32,manha,1,1,1,1,7,4.480347,0,0.31699,0,0,0,1
nfuller,0,11,noite,1,6,6,6,78,29.278532,54,2.071545,0,0,0,1
RasKasa,0,8,tarde,1,1,1,1,2,4.327883,0,0.306211,0,0,0,1
swankjesse,0,3,madrugada,1,1,0,1,0,4.687106,0,0.331626,0,0,1,1
swankjesse,1,13,madrugada,1,2,2,2,14,9.185718,0,0.649917,2,0,0,1
dmoneyUK,0,19,tarde,5,1,1,1,0,0,25,0,1,0,0,0
jwriteclub,0,2,manha,2,0,0,0,0,0,0,0,0,0,0,0
vicmosin,0,14,tarde,1,3,3,3,5,14.647258,409,1.036337,0,0,0,0
pguilbot,0,90,noite,2,3,3,3,11,8.403634,0,0.594582,3,0,0,0
swankjesse,0,36,manha,1,5,5,5,3,24.148227,78,1.708547,0,0,0,1
felipecsl,0,18,madrugada,1,1,1,1,4,4.548902,0,0.321845,0,0,0,1
nfuller,0,191,noite,2,11,12,12,55,64.352007,422,4.55305,0,1,0,1
MichaelEvans,0,70,tarde,1,2,2,2,7,9.236396,17,0.653496,0,0,0,1
swankjesse,0,10,manha,1,3,3,3,21,14.513105,16,1.026847,0,0,0,1
swankjesse,0,28,manha,1,4,5,4,29,19.143647,159,1.354455,1,0,0,1
swankjesse,0,5,madrugada,1,19,19,19,229,90.51131,41,6.40361,0,0,0,1
swankjesse,0,5,manha,1,3,3,3,38,14.707471,62,1.037094,0,0,0,1
swankjesse,0,100,madrugada,1,3,4,4,552,14.278469,66,1.006843,2,0,0,1
swankjesse,0,52,noite,1,13,13,13,6,63.912818,156,4.50658,0,0,1,1
minakov,0,3,manha,2,2,2,2,7,8.544166,0,0.602461,0,0,0,0
JakeWharton,0,104,manha,1,3,3,3,47,13.883174,0,0.978922,0,0,0,0
JakeWharton,0,27,noite,1,14,15,16,175,68.090019,380,4.76782,0,0,1,1
halizton,0,113,madrugada,1,2,2,2,20,0,0,0,0,0,0,1
JakeWharton,0,10,noite,1,1,1,1,17,4.920071,0,0.344513,0,0,0,1
JakeWharton,0,7,noite,1,1,1,1,23,4.858744,0,0.340219,0,0,0,1
JakeWharton,0,31,noite,1,3,3,3,28,15.073431,24,1.055472,0,0,0,0
gfx,0,64,manha,1,2,2,2,9,9.720112,8,0.680622,1,0,0,0
mgp,0,16,madrugada,1,1,1,1,2,4.753773,0,0.332868,0,0,0,1
JakeWharton,0,61,manha,2,11,15,15,641,129.580701,768,9.073492,0,3,0,0
RasKasa,0,6,madrugada,1,1,1,1,4,4.801411,0,0.336204,0,0,0,1
duanhongyi,0,17,madrugada,1,1,1,1,2,4.282091,0,0.29984,0,0,0,0
JakeWharton,0,6,tarde,1,1,0,1,0,4.772684,0,0.334191,0,0,1,1
swankjesse,0,8,madrugada,1,2,2,2,6,9.554142,13,0.669004,0,0,0,1
swankjesse,0,14,noite,1,2,2,2,2,9.674151,39,0.677407,0,0,0,1
the4thfloor,0,36,tarde,1,1,1,1,48,4.983036,0,0.34892,0,0,0,0
JakeWharton,0,6,manha,1,3,3,3,22,15.024119,12,1.052013,0,0,0,1
JakeWharton,0,9,manha,1,17,17,17,82,81.369304,558,5.69761,0,0,0,1
swankjesse,0,22,madrugada,1,3,3,3,11,15.295373,91,1.071009,0,0,0,1
swankjesse,0,9,tarde,1,1,1,1,0,5.033642,35,0.352465,0,0,0,1
GUIpsp,0,13,noite,1,1,1,1,2,5.115985,0,0.35823,2,0,0,0
JakeWharton,0,7,madrugada,1,13,42,13,389,60.779434,360,4.255679,2,0,0,1
Wopple,0,65,noite,1,2,2,2,3,9.668591,11,0.676985,0,0,0,1
pwerry,0,115,noite,1,5,5,5,23,22.929095,4,1.605471,0,0,0,0
nfuller,0,34,tarde,2,3,3,3,29,28.714242,20,2.010552,0,0,0,1
yegorius,0,39,noite,1,2,2,2,12,8.873542,0,0.621319,0,0,0,0
peknudsen,0,60,noite,1,1,1,1,2,4.514195,0,0.316081,0,0,0,1
Ponyets,0,37,manha,4,2,2,2,78,9.623759,44,0.673849,0,0,0,0
swankjesse,0,8,madrugada,1,2,2,2,17,9.490017,0,0.664484,0,0,0,1
JakeWharton,0,14,manha,2,6,6,6,116,56.487762,94,3.955108,0,0,0,1
JakeWharton,0,30,manha,2,8,8,8,63,74.467159,72,5.213772,0,0,0,1
JakeWharton,0,11,manha,1,3,3,3,10,14.513227,30,1.016134,0,0,0,1
swankjesse,0,45,madrugada,2,7,8,7,42,60.040887,104,4.203727,0,0,0,1
swankjesse,0,6,madrugada,1,1,1,1,0,4.985141,3,0.349032,0,0,0,1
swankjesse,0,11,madrugada,1,2,2,2,9,9.225152,0,0.645894,0,0,0,1
swankjesse,0,19,madrugada,2,2,2,2,0,14.244542,73,0.99733,0,0,0,1
swankjesse,0,11,madrugada,1,3,3,3,0,14.533317,45,1.017549,0,0,0,0
swankjesse,0,4,noite,1,1,0,1,0,4.772684,0,0.334162,0,0,1,1
swankjesse,0,12,tarde,2,2,2,2,52,19.31916,132,1.352642,0,0,0,1
swankjesse,0,31,madrugada,2,3,3,3,110,30.38946,32,2.127919,0,0,0,1
swankjesse,0,7,madrugada,2,2,2,2,134,19.616292,328,1.373565,0,0,0,1
swankjesse,0,18,madrugada,2,2,2,2,644,19.893102,82,1.392952,0,0,0,1
deronbrown,0,32,noite,1,2,2,2,51,9.33754,49,0.653832,0,0,0,0
nfuller,0,125,noite,1,5,5,5,17,24.217083,113,1.695725,0,0,0,0
pwerry,0,101,tarde,1,7,7,7,58,34.312924,88,2.402655,0,0,0,0
swankjesse,0,5,manha,2,1,1,1,122,9.975298,0,0.698494,0,0,0,1
swankjesse,0,5,madrugada,2,3,3,3,12,27.946638,140,1.956876,0,0,0,1
swankjesse,0,14,tarde,1,3,3,3,53,14.958467,18,1.04741,0,0,0,1
swankjesse,0,23,madrugada,1,4,4,4,22,19.208594,210,1.345016,0,0,0,1
alokmenghrajani,0,10,noite,1,0,1,1,10,4.52567,0,0.317908,0,1,0,1
unguiculus,0,20,tarde,1,1,1,1,5,4.481831,0,0.314829,0,0,0,1
swankjesse,0,6,manha,2,3,3,3,224,29.897105,314,2.100138,0,0,0,1
swankjesse,0,4,madrugada,1,1,1,1,103,4.951527,0,0.347833,0,0,0,1
swankjesse,0,53,tarde,1,2,2,2,351,9.747758,46,0.684756,0,0,0,1
swankjesse,0,4,noite,1,2,2,2,237,9.976467,114,0.700874,0,0,0,1
swankjesse,0,37,manha,1,2,3,6,0,10.24155,255,0.710717,0,0,3,1
swankjesse,0,23,madrugada,1,3,3,3,21,14.301678,76,0.992501,0,0,0,1
swankjesse,0,6,manha,1,0,2,4,394,10.096337,71,0.700661,0,4,1,0
StephenBarlow,0,6,noite,4,2,2,2,63,4.747522,20,0.329465,0,0,0,1
nfuller,0,10,noite,1,2,2,2,0,9.349942,8,0.648856,0,0,0,1
swankjesse,0,11,manha,1,2,2,2,55,9.692546,47,0.674891,0,0,0,1
swankjesse,0,11,madrugada,1,3,3,3,168,14.141682,54,0.984711,0,0,0,1
swankjesse,0,21,manha,3,3,3,3,321,44.34476,390,3.087959,0,0,0,1
swankjesse,0,37,madrugada,3,5,4,5,1559,66.031784,385,4.597607,0,0,1,1
swankjesse,0,29,noite,1,2,3,9,0,41.794789,384,2.977205,1,7,5,1
artem-zinnatullin,1,13,madrugada,4,3,3,3,192,19.279237,283,1.373335,2,0,0,1
swankjesse,0,52,madrugada,1,0,2,2,0,9.973038,540,0.720481,0,2,0,1
nfuller,0,142,noite,3,9,9,9,503,115.613563,679,8.352315,0,0,0,1
wjam,0,41,noite,1,0,9,9,627,42.910053,212,3.099968,0,9,0,0
wjam,0,92,tarde,1,2,2,2,11,9.328389,17,0.673914,0,0,0,0
HugoGresse,0,22,noite,3,1,1,1,22,4.914762,0,0.355059,1,0,0,0
nfukuzaki,0,15,manha,3,2,2,2,6,9.65158,25,0.697263,0,0,0,1
circlespainter,1,32,manha,1,2,2,2,4,9.402732,0,0.679285,0,0,0,1
swankjesse,0,40,manha,2,0,1,1,596,9.791895,0,0.709886,0,1,0,1
JakeWharton,0,43,noite,2,8,9,9,144,85.600505,362,6.227318,0,1,0,1
JakeWharton,0,32,noite,2,2,2,2,40,13.635909,41,0.991989,0,0,0,1
swankjesse,0,51,madrugada,2,3,3,3,80,28.486707,78,2.072348,0,0,0,1
swankjesse,0,7,madrugada,1,2,2,2,2,9.179911,20,0.66782,0,0,0,1
JakeWharton,0,11,tarde,1,1,1,1,0,5.084284,10,0.369873,0,0,0,1
nfukuzaki,0,11,manha,1,1,1,1,2,4.490561,0,0.326681,0,0,0,1
JakeWharton,0,6,madrugada,1,2,2,2,49,9.760083,0,0.710047,0,0,0,1
JakeWharton,0,10,noite,1,1,1,1,48,5.043508,0,0.366914,0,0,0,1
swankjesse,0,13,noite,3,5,5,5,53,52.742539,10,3.837007,0,0,0,1
ajwhite,0,125,noite,2,1,1,1,4,8.860002,0,0.644563,1,0,0,0
nfuller,0,45,tarde,3,10,3,13,141,63.246051,0,4.601134,0,3,10,1
nfuller,0,132,tarde,1,4,4,4,46,19.115466,0,1.390645,0,0,0,1
kryali,0,21,madrugada,2,1,1,1,16,9.348371,0,0.680091,0,0,0,1
quinnjn,0,54,madrugada,4,2,2,2,18,9.208552,66,0.681828,3,0,0,1
kenmasumitsu,0,45,tarde,1,2,2,2,5,9.546974,0,0.706886,0,0,0,0
lalbuquerque,0,37,madrugada,1,1,1,1,20,4.932233,0,0.365212,0,0,0,1
swankjesse,0,42,madrugada,2,4,4,4,114,33.025457,104,2.445403,1,0,0,1
nfuller,0,15,noite,1,3,3,3,12,14.568388,77,1.078726,0,0,0,1
aried3r,1,40,madrugada,1,0,1,1,120,4.930277,0,0.365066,1,1,0,0
aried3r,0,29,madrugada,2,1,1,1,7,8.852343,0,0.655479,0,0,0,1
aried3r,0,111,noite,4,1,1,2,415,9.584281,0,0.712201,3,1,0,1
hiddenmin,0,3,madrugada,1,1,1,1,8,5.017593,0,0.372855,0,0,0,1
cy6erGn0m,0,60,noite,1,1,1,1,1,4.44066,0,0.329983,0,0,0,0
nfuller,0,15,noite,1,1,0,1,0,4.781347,0,0.355289,0,0,1,1
swankjesse,0,21,manha,1,1,1,1,18,4.870081,0,0.361886,0,0,0,1
swankjesse,0,6,madrugada,1,1,1,1,13,4.735971,0,0.353387,0,0,0,1
swankjesse,0,58,madrugada,1,0,1,1,206,5.593272,0,0.417358,0,1,0,1
swankjesse,0,42,madrugada,1,1,1,1,0,4.942474,25,0.368796,0,0,0,1
swankjesse,0,18,noite,1,3,3,3,27,14.329759,8,1.069253,0,0,0,0
swankjesse,0,40,noite,1,1,1,1,0,4.92612,22,0.367578,0,0,0,1
swankjesse,0,61,noite,1,1,1,1,0,4.791809,97,0.357556,0,0,0,1
swankjesse,0,10,madrugada,1,1,1,1,110,4.88662,0,0.364616,0,0,0,1
swankjesse,0,12,madrugada,1,1,1,1,12,4.719253,0,0.352128,1,0,0,1
swankjesse,0,38,madrugada,1,2,2,2,62,9.685532,28,0.722688,0,0,0,1
swankjesse,0,12,madrugada,1,2,4,4,132,19.18006,182,1.441312,0,2,0,1
swankjesse,0,7,noite,1,4,6,6,250,29.092981,237,2.20223,0,2,0,1
JakeWharton,0,9,manha,2,1,1,1,8,9.275901,0,0.702152,0,0,0,1
JakeWharton,0,3,manha,1,1,1,1,2,4.823399,0,0.365114,0,0,0,1
swankjesse,0,10,madrugada,1,1,1,1,103,4.788927,0,0.362503,0,0,0,1
adriancole,0,89,noite,1,12,17,12,67,58.371007,215,4.467597,2,0,1,1
swankjesse,0,21,manha,1,1,1,1,16,4.801258,0,0.367472,0,0,0,1
JakeWharton,1,15,madrugada,2,4,4,4,87,23.957232,20,1.833571,0,0,0,1
JakeWharton,0,21,noite,1,2,2,2,0,9.251579,13,0.708067,0,0,0,1
swankjesse,0,12,manha,1,1,1,1,18,4.622584,0,0.353788,0,0,0,1
JakeWharton,0,8,manha,1,3,3,3,18,13.797335,26,1.05596,0,0,0,1
swankjesse,0,16,madrugada,1,1,1,1,12,4.855607,0,0.371618,1,0,0,1
swankjesse,0,48,madrugada,1,1,1,1,123,4.951221,0,0.378928,0,0,0,1
JakeWharton,0,26,manha,2,4,4,4,64,33.280607,20,2.547026,0,0,0,1
swankjesse,0,8,madrugada,1,2,2,2,2,9.186998,15,0.703097,0,0,0,1
nashira,0,96,madrugada,3,2,2,2,8,8.988672,24,0.687917,0,0,0,1
JakeWharton,0,39,madrugada,2,5,5,5,34,49.66884,51,3.801234,0,0,0,1
dmide,0,6,noite,1,1,1,1,3,4.835584,0,0.370075,0,0,0,0
longbai,0,5,manha,5,2,2,2,72,4.740527,18,0.3628,0,0,0,1
longbai,0,6,tarde,1,1,1,1,20,4.587128,0,0.35106,0,0,0,0
swankjesse,0,11,manha,1,2,2,2,8,9.720916,11,0.743957,0,0,0,1
swankjesse,0,9,manha,1,2,2,2,44,9.600462,10,0.734724,0,0,0,1
swankjesse,0,9,madrugada,1,7,6,7,74,33.636519,22,2.574158,0,0,1,1
ipsi,0,110,noite,1,4,4,4,80,19.699901,16,1.507607,2,0,0,0
busylee999,0,10,noite,1,2,2,2,12,9.070192,0,0.69413,0,0,0,0
nfuller,0,29,tarde,1,1,1,1,2,4.690723,0,0.358975,0,0,0,1
klyubin,0,50,manha,1,2,2,2,9,9.46775,6,0.724559,0,0,0,1
mikevoyt,0,18,madrugada,1,1,0,1,0,4.635708,0,0.354767,0,0,0,1
nfuller,0,147,tarde,4,17,22,22,4646,422.604005,1598,32.341512,0,5,0,1
kboyarshinov,0,13,manha,1,1,1,1,3,4.83663,0,0.370144,1,0,0,1
raggi,0,110,madrugada,4,2,2,2,98,36.807896,40,2.816812,0,0,0,1
JakeWharton,0,11,madrugada,2,2,2,2,15,19.305488,40,1.477411,0,0,0,1
swankjesse,0,10,noite,2,4,4,4,16,28.878657,65,2.210029,0,0,0,1
swankjesse,0,34,noite,2,2,2,2,7,19.278543,118,1.475333,0,0,0,1
nfuller,0,60,noite,2,3,3,3,41,27.651844,30,2.116101,0,0,0,1
nfuller,0,22,tarde,2,3,3,3,47,28.518374,50,2.182413,0,0,0,1
brennantaylor,0,16,madrugada,5,1,1,1,214,9.636662,0,0.737461,4,0,0,1
nfuller,0,24,noite,1,1,1,1,1,4.41589,0,0.337932,0,0,0,1
nfuller,0,144,noite,2,19,24,24,2267,222.174074,841,17.002195,0,5,0,0
jbornemann,1,56,madrugada,2,1,0,1,0,9.621941,0,0.747431,0,0,1,0
jbornemann,0,5,madrugada,4,5,5,5,59,49.077165,546,3.812305,0,0,0,1
joschi,0,32,noite,2,2,2,2,37,9.851964,68,0.765299,1,0,0,1
joschi,0,65,noite,4,2,2,2,130,20.156664,36,1.565766,3,0,0,1
nfuller,0,72,tarde,1,1,1,1,0,4.720649,4,0.366699,0,0,0,1
nfuller,0,34,tarde,1,1,1,1,3,4.81804,0,0.374265,0,0,0,1
nfuller,0,14,noite,1,3,3,3,38,14.222741,4,1.104816,0,0,0,1
swankjesse,0,7,madrugada,1,1,1,1,1,4.286589,0,0.33298,0,0,0,1
nfuller,0,128,noite,1,1,1,1,1,4.923099,0,0.386898,0,0,0,1
nfuller,0,29,tarde,1,1,1,1,0,4.906535,3,0.385596,0,0,0,1
nfuller,0,69,tarde,1,1,1,1,2,4.802188,0,0.377395,0,0,0,1
ajwhite,0,120,madrugada,1,1,1,1,4,4.419655,0,0.347333,0,0,0,1
JakeWharton,0,11,madrugada,1,1,1,1,2,4.70812,0,0.370003,0,0,0,1
JakeWharton,0,7,madrugada,1,2,2,2,30,9.529415,214,0.7489,0,0,0,1
alfishe,0,37,madrugada,1,1,1,1,2,4.811823,0,0.378153,1,0,0,0
nfuller,0,50,tarde,1,2,2,2,20,9.474768,10,0.744604,0,0,0,1
nfuller,0,49,tarde,1,4,10,6,56,28.353022,46,2.228209,0,2,2,1
JakeWharton,0,46,tarde,1,3,3,3,57,14.535067,10,1.142281,0,0,0,1
nfuller,0,228,noite,2,8,16,16,552,77.443971,798,6.086161,0,8,0,1
nfuller,0,53,noite,1,3,3,3,10,13.783443,2,1.083219,0,0,0,1
nfuller,0,50,noite,1,1,1,1,0,4.978613,28,0.391261,0,0,0,0
josketres,0,4,tarde,1,1,1,1,2,4.753773,0,0.373592,0,0,0,0
nfuller,0,210,tarde,3,9,13,11,764,98.652296,330,7.7529,0,2,0,1
nfuller,0,90,tarde,1,3,3,3,132,14.326242,148,1.125856,0,0,0,1
JakeWharton,0,21,manha,1,3,3,3,15,14.025749,0,1.102241,0,0,0,1
JakeWharton,0,5,manha,3,12,12,12,72,174.308789,927,13.698395,0,0,0,1
JakeWharton,0,5,tarde,1,7,7,7,22,33.374743,71,2.622812,0,0,0,1
