@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,8,11,15,9,10,16,12,17,14,18,1,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute description_length numeric
@attribute files_added numeric
@attribute files_changed numeric
@attribute src_churn numeric
@attribute files_deleted numeric
@attribute files_modified numeric
@attribute test_churn numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute created_at_week_day {terca-feira,quinta-Feira,quarta-feira,segunda-feira,sexta-feira,sabado,domingo}
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
1,noite,91,0,2,1,0,2,8,2,9.546081,0,0.151364,terca-feira,5,1
2,madrugada,6,0,2,33,0,2,0,2,18.479359,0,0.293012,terca-feira,10,1
1,madrugada,4,0,2,19,0,2,0,2,9.389064,0,0.148875,sabado,14,1
2,madrugada,6,0,14,117,0,14,103,14,78.05859,0,1.23771,sabado,44,1
1,noite,6,0,2,21,0,2,7,2,9.799092,0,0.155376,sexta-feira,8,1
3,madrugada,85,0,13,509,0,13,0,13,59.233922,0,0.939223,sexta-feira,21,1
1,madrugada,31,0,2,0,0,2,0,0,10.368555,2,0.179071,sexta-feira,0,0
1,madrugada,9,0,1,4,0,1,0,1,5.022798,0,0.079642,sexta-feira,0,1
1,madrugada,32,0,1,19,0,1,0,1,4.097178,0,0.064966,quinta-Feira,25,1
1,madrugada,33,0,1,19,0,1,0,1,4.120303,0,0.071447,quinta-Feira,6,0
1,madrugada,33,0,1,19,0,1,0,1,4.120303,0,0.071507,quinta-Feira,4,0
1,madrugada,33,0,1,19,0,1,0,1,4.120303,0,0.071161,quinta-Feira,0,0
2,tarde,11,0,4,184,0,4,183,4,37.63572,0,0.599049,quarta-feira,29,1
25,noite,2,5,70,3337,1,64,2225,71,74.135535,0,1.180018,terca-feira,9,0
1,tarde,30,0,1,2,0,1,0,1,4.492997,0,0.07791,terca-feira,0,0
3,tarde,30,0,3,2,0,3,0,1,4.492997,2,0.07791,terca-feira,0,0
1,tarde,30,0,1,2,0,1,0,1,4.492997,0,0.071515,terca-feira,0,0
2,tarde,14,0,2,0,0,2,20,2,18.857394,0,0.325681,sexta-feira,0,0
1,tarde,2,1,1,0,0,0,0,0,0,1,0,sexta-feira,0,0
1,noite,47,0,4,37,0,4,133,4,17.946148,0,0.311196,quinta-Feira,7,0
1,noite,49,0,2,1,0,2,7,2,9.545062,0,0.16565,quinta-Feira,4,0
1,madrugada,4,0,2,0,0,2,0,0,8.835916,2,0.141668,quinta-Feira,13,1
2,madrugada,32,0,1,0,0,1,0,0,9.109299,1,0.146051,quarta-feira,6,1
2,noite,36,0,5,8,0,5,0,2,4.456448,3,0.077277,terca-feira,0,0
2,noite,36,0,5,8,0,5,0,2,4.456448,3,0.07734,terca-feira,0,0
2,madrugada,7,2,23,281,0,21,307,23,132.096175,0,2.117926,terca-feira,53,1
194,madrugada,144,21,36,19565,3,12,0,10,1630.018225,28,26.13443,terca-feira,0,1
2,noite,16,1,16,986,0,15,629,16,134.16432,0,2.317113,sexta-feira,0,1
5,noite,189,5,19,3911,0,14,0,11,127.842236,5,2.049722,sexta-feira,0,1
1,noite,198,1,7,229,0,6,0,6,31.159311,1,0.540758,terca-feira,2,0
1,madrugada,198,1,7,229,0,6,0,6,31.159311,1,0.540758,terca-feira,2,0
1,madrugada,51,0,4,73,0,4,27,4,18.399544,0,0.298164,sabado,13,1
2,noite,49,0,5,102,0,5,64,5,45.71021,0,0.740733,sexta-feira,32,1
3,noite,43,15,21,2106,1,5,1703,20,196.458182,0,3.1836,sexta-feira,3,1
1,madrugada,48,0,4,40,0,4,27,4,18.355088,0,0.318544,quarta-feira,5,1
1,madrugada,56,0,3,69,0,3,0,3,13.183067,0,0.213631,sabado,34,1
2,tarde,12,0,7,270,0,7,38,6,31.649347,1,0.546607,quinta-Feira,0,0
35,noite,33,16,46,6740,7,23,4932,27,533.572639,4,8.646583,quarta-feira,29,1
2,noite,11,0,1,0,0,1,0,0,8.799118,1,0.14259,terca-feira,0,1
2,noite,32,0,6,234,0,6,51,5,26.344028,1,0.426906,segunda-feira,51,1
1,madrugada,52,0,6,112,0,6,576,6,27.583704,0,0.478696,quinta-Feira,7,0
1,noite,166,1,20,384,0,19,434,19,91.801332,1,1.59452,terca-feira,5,0
1,tarde,20,0,3,7,0,3,0,3,13.167508,0,0.22871,terca-feira,0,0
1,madrugada,10,1,3,124,0,2,155,3,14.985474,0,0.242991,terca-feira,3,0
1,madrugada,9,0,3,11,0,3,0,3,13.497262,0,0.234437,terca-feira,0,0
4,tarde,67,0,34,41,0,34,0,12,230.380288,0,3.735603,segunda-feira,41,1
1,madrugada,31,0,2,0,0,2,0,0,10.368555,2,0.180094,sabado,0,1
1,noite,39,1,2,11,0,1,97,2,9.458774,0,0.153625,quinta-Feira,0,1
1,tarde,184,0,1,2,0,1,0,1,4.464056,0,0.072503,quinta-Feira,14,1
2,madrugada,44,0,1,0,0,1,0,0,9.218215,1,0.149717,quinta-Feira,4,1
2,noite,24,0,1,4,0,1,0,1,9.049342,0,0.146974,quarta-feira,0,1
2,noite,7,0,2,0,0,2,8,2,13.760243,0,0.223486,terca-feira,13,1
1,madrugada,23,0,7,57,0,7,6,7,32.16022,0,0.558589,terca-feira,0,0
1,noite,36,0,5,39,0,5,6,5,23.559077,0,0.382633,segunda-feira,23,1
3,madrugada,192,1,6,65,0,5,18,5,29.008245,0,0.471136,quinta-Feira,10,1
1,madrugada,103,0,8,57,0,8,82,8,0,0,0,terca-feira,0,1
1,madrugada,55,2,5,177,1,2,0,4,19.991083,0,0.324686,terca-feira,0,1
10,madrugada,47,0,30,521,0,30,920,30,65.628027,0,1.065895,sexta-feira,40,1
2,noite,36,0,1,6,0,1,0,1,9.181689,0,0.149124,quinta-Feira,5,1
1,noite,47,0,1,0,0,1,0,0,4.839794,1,0.078605,quinta-Feira,3,1
3,noite,55,0,2,155,0,2,166,2,18.386021,0,0.298616,quinta-Feira,25,1
1,noite,44,0,1,3,0,1,0,1,4.654969,0,0.075603,quinta-Feira,5,1
2,madrugada,10,0,6,173,0,6,20,6,54.504887,0,0.946686,quinta-Feira,5,0
1,noite,29,0,3,3,0,3,0,2,14.000804,1,0.227393,quarta-feira,2,1
2,noite,74,0,2,137,0,2,0,1,17.956935,1,0.292751,terca-feira,0,1
2,madrugada,15,0,5,133,0,5,42,5,23.254213,0,0.379112,terca-feira,19,1
1,noite,22,0,6,25,0,6,54,6,28.258311,0,0.460699,terca-feira,7,1
1,madrugada,2,0,21,0,0,21,0,0,107.025925,0,1.754565,terca-feira,5,1
2,noite,20,2,5,517,0,3,142,5,37.483888,0,0.614505,segunda-feira,7,1
1,noite,15,1,3,265,0,2,0,3,13.939571,0,0.228523,segunda-feira,7,0
2,tarde,61,0,2,202,0,2,0,2,19.80304,0,0.324648,segunda-feira,9,1
