@relation 'vagrant-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,7,6,11,8,10,12,14,2,9,15,1,17,18,20,53'

@attribute requester {pearkes,kenorb,larsch,jtopper,altexdim,mwrock,amontalban,tpenguin,kamigerami,geo4orce,donaldguy,radarhere,interdev,evisboy,jzohrab,Eric-Guo,budhrg,oddtazz,snagy22000,sethvargo,rightsaidjames,krutcha,taurus-forever,erSitzt,mbrodala,pra85,evaryont,prateepb,kkremitzki,gavioto,williamonymous,tompscanlan,wjsager,mmickan,theengineear,daniel-sc,jlduran,cweagans,anatol,adamenger,velocity303,kamazee,sneal,gimler,gildegoma,kylegibson,michaldo,aqnouch,kriuz,petems,OmarIthawi,sschuberth,char16t,mitchellh,ianvanness,KaffeJunky123,metropolislights,geerlingguy,josephfrazier,kikitux,tomkins,captainill,tonyarkles,michaa76,rickard-von-essen,mkuzmin,chenz,reedloden,jharshman,rubenv,romulodl,timuralp,legal90,handlers,Panya,iamseth,ReadmeCritic,yoshiyaka,thachmai,signed8bit,oliviermeurice,fedorovdima,dmacvicar,amirbilu,Ingramz,invernizzi,dvorak,nikelmwann,aneeshusa,rogerhu,karthequian,dexterc,matthewcodes,gawbul,glamouracademy,gpkfr,jsyeo,htesligte,joseph-onsip,markus-perl,timotei,grafjo,javimuu,PatOShea,jcockhren,caleblloyd,electrofelix,knixeur,ctammes,iankronquist,janek-warchol,Fudoshiki,trivoallan,blueyed,bitprocessor,senglin,tbriggs-curse,justinlynn,tomfanning,jperville,loren-osborn,samphippen,philipwigg,krig,dharmab,myrjola,mirthy,phinze,jgoldschrafe,jrob,modernlegend,yanosz,konomae,dustymabe,ArloL,gajdaw,marc-ta,hubub,tknerr,glensc,cbednarski,issyl0,lonniev,JustinCampbell,pwnall,philoserf,tjanez,StefanScherer,cazzerson,mtwentyman,evverx,vbaskoff,driskell,Johntron,caseylang,benh57,bdwyertech,darkn3rd,pogliamarci,ievgenp,Mattias-,denisbr,jkburges,bheuvel,cristovaov,progamesigner,aidanhs,wkral,kaorimatz,densuke,adrianguenter,msabramo,dcbw,strzibny,oxygen0211,cisco87,jjasghar,ivuk,miguel250,peckpeck,alh84001,jeremyplichta,iNecas,Ryanbarnes420,chrisbaldauf,berendt,linyows,jim-minter,leocassarani,bergman,deviantintegral,c33s,mrahtz,mahnkong,agdula,taliesins,Stanzilla,dmangot,paul-krohn,brooksbrown,otagi,jfbibeau,frapposelli,purpleidea,bluehaoran,michaeldhopkins,notpeter,quirkey,stoned,thenewwazoo,randonn,jackywu,vvchik,ssugar,marsam,obnoxxx,MiLk,johnsonj,eidge,francisoud,follower,duro,aogail,Turbo87,Jamezz,valchonedelchev,timoguin,ibizaman,marxarelli,laetificat,trensen,edward010,davidsantoso,erwinvaneyk,hashar,choffee,agreenbhm,YpNo,mafrosis,tioteath,kev009,timsutton,frankbb,mixpix3ls,SchnWalter,channui,Scythril,terceiro,Keeguon,rgardler,aknrdureegaesr,blairham,radeksimko,alfonsodev,dragon788,simonjbeaumont,simonvetter,voxik,BlakeMesdag,clayallsopp,tomassrnka,thierrymarianne,clintoncwolfe,clinstid,hdeheer,windowsrefund,bvalerius,peterood,dcarley,fgrehm,johnclaus,AntonioMeireles,wkolean,simon3z,MobileWiseguyTX,mdirik,ermaker,tai-ga,lpabon,HerrBertling,databus23,willdurand,zmingee,maxlinc,tjouan,c0dxtr3m1st,frodenas,heydonovan,imjacobclark,joelhandwell,kalifg,tboettch,riquito,jquast,athak,oeuftete,svenXY,obfusk,michaeljb,malonecm,whitel,jcollins1991,aidanmorgan,maoueh,derdanne,julienvey,stephenwithav,jch,llamallama,ccutrer,philwrenn,KFishner,robkinyon,aspiers,Tarrant,cllns,konstantint,uchagani,awithersdd,jramnani,orenmazor,dimbleby,tmatilai,jschwarze,dlundgren,crypt1d,styro,danielsiwiec,davidjb,dannykansas,dup2,rogeriopradoj,ilucker,ebelew,mrwhelan,plu,matgnt,Xylakant,kbohnenberger,lunetics,chriskuehl,sprin,donckers,tboerger,mpoeter,jugglinmike,rtkrruvinskiy,abele,Gurpartap,jure,andytson,npvisual,igas,keithchambers,juliandunn,cdenneen,omehegan,simoleone,dmcrystax,gpoulin2,rclanan,sax,lsimons,jdmulloy,BackSlasher,s7726,sumkincpp,andrewmains12,ewigkeit1204,nmische,parisholley,justanshulsharma,acidum,gildub,fpletz,danielparks,synth3tk,b-dean,stvleung,emyl,stevemcc,vStone,EvanPurkhiser,ffrank,bbaugher,schauer,vassilevsky,aaadschutz,techtonik,amracks,keiths-osc,skeggse,sfx-public,Maks3w,BlackIkeEagle,dhoppe,cielavenir,akzhan,salimane,zr40,simono,bewiwi,KLVTZ,brettporter,calvinhp,ifnull,dougm,pdericson,PerilousApricot,az7arul,xstevecs,catsby,marnovdm,rockymadden,zigg,stonith,kalmanh,Freyskeyd,gpurkins,snowch,hippich,shtouff,cstrahan,targetx007,RabidGuppy,ramakrishnan,YungSang,agilebarbecue,goshakkk,szuliq,assens,takekazuomi,tupy,p0deje,cammoraton,felixrabe,also,sciurus,chr4,lamont-granquist,eykd,shadowfax-chc,JuanitoFatas,wtanaka,bclarkindy,benesch,javornikolov,bmcorser,ronnix,rasschaert,jingchan,jjshoe,mjfroehlich,brenttheisen,Mulkave,zeroem,bmorg,b-long,cuberri,zzamboni,timcooper,Arxisos,joanbarros,ndemonner,briandailey,odigity,davidkuridza,oscarrenalias,valioDOTch,philippfranke,pmenglund,miurahr,Coffee-fan,toooooooby,jaikdean,skoblenick,mattoxbeckman,ecoleman,novalagung,barrkel,skinofstars,mivok,justincwatt,pbitty,alimony,andyclarke,uwej711,cournape,rissem,jyggen,khiro,ex-nerd,freshteapot,mkremer,xraj,mway,schlamar,Fuhrmann,patrickheeney,bbinet,Krazylee,stormbrew,adamlazz,mafigit,johnbellone,ramondelafuente,mattes,johan-open-future,endemics,gldnspud,lheinlen-os,ajw0100,retr0h,kvilhaugsvik,eugeneware,shanegibbs,ryanuber,dstevenson,earnubs,elyast,gnawhleinad,mhahn,rmccue,danielbachhuber,maspwr,wouteroostervld,nickborromeo,frosario,chrischillibean,mpalmer,myoung34,seginoviax,morrizon,timgus,thanosa75,gustavobgama,masteinhauser,miketheman,glebm,smoyer,charlax,ryansb,joestump,graingert,lunohodov,sferik,jameydeorio,darthmuffins,MarcMeszaros,marcellodesales,picsolvebryan,tobiasbaehr,Ninir,Ninjamoose,oalders,Grunny,ampedandwired,martinezdelariva,acharlieh,adrianlzt,drpebcak,tnaoto,arthurnn,bbonamin,lndbrg,makern,scalp42,ShonM,mwarkentin,jpfuentes2,teaforthecat,mattalexx,till,bennlich,instilled,alangarf,ticosax,nikhilv,Sgoettschkes,athoune,elliotsegler,markpeek,millerdev,isaoshimizu,rconradharris,AJCStriker,phs,jaugustin,ziuchkovski,hatsuseno,andyfowler,canausa,tduffield,jeremyfelt,clintjhill,jackdesert,onejli,rimckenn,tmacedo,Schpidi,SpringMT,txchen,hikch,borgstrom,tehmaspc,catharsis,Tomdarkness,viq,sgronblo,3flex,virtuald,gwaldo,tuminoid,mpioli,copperlight,jeffasinger,jabclab,eggsby,ianheggie,jeremyquinton,daveloyall,grenade,czi,fcharlier,mrkafk,Caustic,PeteMichaud,bt5e,aleno,gregwork,mark-rushakoff,mikerowehl,tpltnt,Raman148,deltaroe,atomic-penguin,cmthornton,grepory,BreiteSeite,ndemoor,herdani,psi,beporter,gildas,erichelgeson,miguno,tsahara-iij,mlex,janth,shutej,Boohbah,ches,rajivr,ppp0,sevos,tejaycar,mcourtois,flozano,talexb,gwenci,michaelglass,StephenKing,erran,bmabey,tsugliani,tehranian,zvirusz,mpapis,znz,korya,Sauraus,nickanderson,saturnflyer,marcparadise,b2jrock,mightybs,commandtab,bdon,patcon,sthulb,koolhead17,benjixx,voronoipotato,mfournier,trlinkin,ngiger,scottmuc,jprosevear,tgarvey,kburwieck,davegudge,hecko,Aigeruth,dsesh,hwartig,ekalinin,wbates,tunix,econchick,jheise,drogerschariot,frankshearar,Loa,tawan,toretore,pronix,aszeszo,akalyaev,igorbonadio,cliles,Govinda-Fichtner,gilesbowkett,pmorton,johntdyer,gumayunov,hectcastro,nickrw,NeilW,raadad,cassianoleal,davidbirdsong,geetarista,onefrankguy,tobli,chorankates-sfdc,smdahlen,benprew,schisamo,jimmycuadra,jefflab,wormzer,wenlock,neil477,davedevelopment,jedvardsson,kentaro,janschumann,hmalphettes,rubbish,yujiorama,uggedal,nickchappell,martoe,lucaspiller,curzonj,masm,whiteley,aaa572,jblaine,grosser,frsantos,johnbarney,erikh,phunehehe,erictip,ereslibre,hh,ithinkihaveacat,samet,lolindrath,pastafari,dmajkic,magec,kainz,llonchj,yarikoptic,nicobrevin,eladroz,kbrock,rizzatti,ozanturksever,nwjsmith,jwhitley,hdorio,priestjim,jbraeuer,paulmars,chilicat,mattandersen,jasim,ryfow,morpheu,xiwenc,pbrisbin,gmsharky,jeremyd,lorello,obscurerichard,carlossg,paulv,petere,sbfaulkner,michaelthies,sl4m,YannRobert,gabetax,piavlo,smerrill,rrehbeindoi,julianhille,hugowetterberg,gaffo,Samuel29,danmidwood,bcwaldon,jtimberman,jmazzi,spk,benburkert,chipchilders,scoates,vaimo-wilko,mandarbarve,loe,conormcd,dansimau,5long,bobmaerten,marklap,jamtur01,jssjr,zsiddique,nathankleyn,muffs,videlalvaro,RLasinski,mattrobenolt,monvillalon,mxtthias,leth,oker1,kindjal,npeters,webcoyote,hollow,jmahowald,ryanlecompte,squarelover,jhf,LarsFronius,dbroeglin,nesQuick,rafmagana,bitprophet,calavera,theju,stevehodgkiss,andyl,skarab,dcolish,lorin,hvolkmer,Oakie3CR,rvermeulen,rtyler,andrewchalfant,withnale,mbbx6spp,wayneeseguin,jbochi,Achimh3011,dgholz,ndwns,ergonlogic,jjhuff,jsoriano,bobveznat,semarj,mephaust,straphka,jkutner,withnail,sroegner,mamciek,rtgibbons,jarmo,sigi,henare,sirl1on,zev,bgreenlee,richardiux,halcyonCorsair,LeftyBC,dgtized,hedgehog,paulsmith,cwarden,avit,russss,jbrown,lmars,alexey-chebotar,xuru,eriksencosta,mdellanoce,dizzyd,brycethornton,ticean,wjlroe,kevin1024,dctrwatson,ody,sjl,darrin-wortlehock,samerbuna,ambethia,mirell,josephholsten,tnm,brianloveswords,pelletier,xdissent,dax,simonsd,halcyon,gabemc,jeffrafter,pauln415,theaboutbox,RichardBronosky,svenfuchs,mlinderm,reset,nstielau,philips,ryansch,alanshields,mhorbul,stopdropandrew,bodepd,jwinter,wfarr,th34ut0m4t0r,rcreasey,patcoll,wsc,tonyla,TimDumol,morepanda,gammons,ramonvanalteren,jeffmccune,tail,aglarond,thbar,vishvananda,mdub,underlog,kvs,michaelbearne,mtrudel,evtuhovich,bpo,masterzen,tolbrino,lstoll,bnmrrs,scompt,dreamcat4,ctrabold,drnic,adamv,ankopainting,bixu}
@attribute num_commits numeric
@attribute description_length numeric
@attribute files_changed numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute src_files numeric
@attribute other_files numeric
@attribute created_at_day_turn {noite,madrugada,tarde,manha}
@attribute files_deleted numeric
@attribute src_churn numeric
@attribute created_at_week_day {terca-feira,domingo,sabado,quarta-feira,sexta-feira,quinta-Feira,segunda-feira}
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute commits_to_hottest_file numeric
@attribute status {0,1}

@data
gildegoma,9,240,9,0,9,8,1,madrugada,0,279,quarta-feira,70.836137,1.160856,23,1
pearkes,1,13,1,0,1,0,1,noite,0,0,terca-feira,0,0,2,1
ReadmeCritic,1,28,1,0,1,1,0,noite,0,8,segunda-feira,4.999955,0.081939,0,1
yoshiyaka,1,48,1,0,1,1,0,noite,0,2,segunda-feira,4.543631,0.074461,0,0
thachmai,1,13,1,0,1,1,0,madrugada,0,5,segunda-feira,4.63046,0.075884,0,1
signed8bit,1,126,1,0,1,1,0,madrugada,0,2,sabado,4.638752,0.07602,2,0
oliviermeurice,2,20,6,6,0,4,0,noite,0,91,quinta-Feira,27.582073,0.452014,0,1
fedorovdima,1,8,1,0,1,1,0,tarde,0,2,terca-feira,4.634319,0.076825,2,0
dmacvicar,1,44,2,0,2,1,0,noite,0,0,domingo,10.081554,0.167124,0,1
gildegoma,4,96,31,18,11,27,1,tarde,2,2193,domingo,150.078101,2.48788,21,1
amirbilu,1,54,1,0,1,1,0,noite,0,13,sexta-feira,5.138536,0.085183,0,1
Ingramz,2,159,2,0,2,2,0,manha,0,8,sexta-feira,8.218262,0.136236,15,1
mitchellh,3,46,8,0,8,7,1,madrugada,0,137,sexta-feira,39.733857,0.658675,19,1
invernizzi,1,83,1,0,1,1,0,madrugada,0,4,sexta-feira,4.401011,0.072956,0,1
dvorak,1,92,1,0,1,1,0,madrugada,0,2,sexta-feira,4.39999,0.072939,0,1
mitchellh,4,48,13,7,6,11,1,manha,0,273,quinta-Feira,57.481936,0.958037,15,1
legal90,1,139,1,0,1,1,0,noite,0,2,terca-feira,3.155488,0.052592,0,1
nikelmwann,2,83,3,0,3,2,1,tarde,0,40,terca-feira,17.624212,0.293738,15,1
aneeshusa,1,7,1,0,1,1,0,madrugada,0,3,terca-feira,4.363765,0.07273,1,1
aneeshusa,1,29,1,0,1,1,0,madrugada,0,2,terca-feira,4.376674,0.072945,1,0
rogerhu,2,16,1,0,1,1,0,madrugada,0,44,terca-feira,8.056037,0.134268,0,0
rogerhu,1,16,1,0,1,1,0,madrugada,0,16,terca-feira,3.993939,0.066566,0,0
karthequian,1,24,3,0,3,2,0,madrugada,0,6,domingo,13.595279,0.226589,2,1
dexterc,68,3,30,1,29,27,1,madrugada,0,1027,sexta-feira,404.311942,6.738565,15,0
dexterc,68,3,30,1,29,27,1,madrugada,0,1027,sexta-feira,404.311942,6.738565,15,0
matthewcodes,2,41,2,0,2,2,0,noite,0,2,quarta-feira,9.961907,0.166034,2,1
matthewcodes,1,41,1,0,1,1,0,noite,0,2,quarta-feira,4.820065,0.080335,2,1
gawbul,1,17,3,1,2,3,0,noite,0,23,quarta-feira,12.729467,0.21216,0,0
glamouracademy,1,7,1,0,1,1,0,noite,0,2,terca-feira,4.910228,0.081838,0,1
mitchellh,1,37,2,0,2,2,0,manha,0,6,terca-feira,8.80661,0.146778,0,1
sethvargo,2,30,21,6,12,6,11,noite,3,548,segunda-feira,66.442184,1.112132,2,1
gpkfr,1,93,1,0,1,1,0,madrugada,0,10,sexta-feira,4.017565,0.067247,0,0
jsyeo,2,22,9,0,9,8,0,tarde,0,20,terca-feira,35.748514,0.598378,0,0
htesligte,1,29,1,0,1,1,0,tarde,0,2,segunda-feira,4.028847,0.067437,0,0
joseph-onsip,1,6,1,0,1,1,0,madrugada,0,2,domingo,3.830608,0.064119,0,1
markus-perl,1,51,1,0,1,1,0,madrugada,0,10,domingo,4.437094,0.07427,0,1
timotei,1,44,1,0,1,1,0,tarde,0,2,sexta-feira,4.063074,0.06801,0,1
grafjo,1,71,3,0,3,3,0,noite,0,23,sabado,13.216011,0.221554,1,1
legal90,2,59,6,0,6,4,2,tarde,0,120,sexta-feira,30.699232,0.514643,16,1
javimuu,1,9,0,0,0,0,0,tarde,0,0,sexta-feira,0,0,0,0
PatOShea,1,23,1,0,1,1,0,manha,0,2,sexta-feira,4.657925,0.078086,4,1
jcockhren,4,206,3,0,3,3,0,noite,0,38,quinta-Feira,25.805864,0.43261,7,1
sethvargo,1,7,2,0,2,2,0,noite,0,8,quinta-Feira,10.098133,0.169282,4,1
mitchellh,9,50,16,2,13,14,1,noite,1,379,quinta-Feira,115.870721,1.943782,16,1
mitchellh,3,54,5,3,2,3,0,tarde,0,94,quinta-Feira,17.564243,0.298996,0,1
mitchellh,14,113,38,18,19,27,1,manha,1,1039,quinta-Feira,151.08106,2.571855,11,1
caleblloyd,1,7,1,0,1,1,0,madrugada,0,26,quinta-Feira,4.761641,0.081057,1,1
electrofelix,1,108,1,0,1,1,0,tarde,0,17,quarta-feira,4.217403,0.071793,2,0
knixeur,1,31,2,0,2,2,0,manha,0,4,quarta-feira,8.724303,0.148514,0,1
ctammes,1,23,1,0,1,1,0,tarde,0,18,terca-feira,4.010038,0.068367,0,0
ctammes,1,18,1,0,1,1,0,tarde,0,2,terca-feira,4.281683,0.072998,0,1
iankronquist,1,23,1,0,1,1,0,madrugada,0,2,sabado,4.719744,0.080467,6,0
gildegoma,1,270,6,0,6,6,0,tarde,0,71,segunda-feira,27.740548,0.462345,6,1
janek-warchol,1,74,1,0,1,1,0,noite,0,7,quinta-Feira,4.63488,0.079147,6,0
mitchellh,8,21,15,2,13,14,0,madrugada,0,344,quinta-Feira,35.234477,0.601677,1,1
Fudoshiki,1,74,1,0,1,1,0,tarde,0,2,domingo,4.715331,0.080521,6,0
trivoallan,2,22,1,0,1,1,0,noite,0,8,sexta-feira,4.295592,0.073353,1,0
blueyed,1,8,1,0,1,1,0,tarde,0,19,sexta-feira,4.55889,0.077849,0,1
handlers,6,40,6,2,4,4,0,madrugada,0,38,sexta-feira,27.488787,0.469409,6,1
bitprocessor,2,55,4,0,1,4,0,tarde,3,48,quinta-Feira,0,0,0,1
senglin,2,122,4,0,4,3,0,manha,0,11,quarta-feira,14.43908,0.246567,2,1
tbriggs-curse,2,139,1,0,1,1,0,manha,0,4,quarta-feira,8.410859,0.143627,0,1
justinlynn,2,17,1,0,1,1,0,manha,0,16,quarta-feira,9.602857,0.163982,0,1
tomfanning,1,27,7,2,5,7,0,tarde,0,49,terca-feira,31.416149,0.536474,0,1
rickard-von-essen,1,25,7,1,6,7,0,manha,0,76,domingo,29.612634,0.505698,4,1
jperville,1,219,10,0,10,8,0,madrugada,0,25,domingo,43.979714,0.751046,5,1
loren-osborn,6,65,4,3,1,3,0,madrugada,0,138,sexta-feira,13.507172,0.230663,0,0
samphippen,2,136,2,1,1,2,0,tarde,0,6,sabado,9.186231,0.156999,0,1
philipwigg,1,30,1,0,1,1,0,noite,0,2,sexta-feira,4.122523,0.070457,6,1
krig,4,24,4,1,3,1,3,manha,0,2,quinta-Feira,14.353173,0.245306,0,1
dharmab,1,28,1,0,1,1,0,madrugada,0,4,quinta-Feira,4.467776,0.076357,7,0
samphippen,2,238,2,0,2,2,0,noite,0,22,terca-feira,13.313648,0.227543,0,1
myrjola,1,20,2,0,2,2,0,manha,0,15,domingo,8.88815,0.151907,0,0
mirthy,1,52,1,0,1,1,0,madrugada,0,32,sexta-feira,5.144411,0.087923,1,1
phinze,1,78,2,0,2,2,0,madrugada,0,7,quinta-Feira,8.56126,0.14632,2,1
jgoldschrafe,1,42,1,0,1,1,0,noite,0,18,segunda-feira,4.065613,0.069485,3,1
jrob,3,30,5,0,5,4,0,madrugada,0,10,segunda-feira,23.102835,0.39485,2,1
modernlegend,1,6,1,0,1,1,0,madrugada,0,2,segunda-feira,4.276571,0.073091,0,1
jrob,1,45,3,0,3,2,0,noite,0,7,domingo,14.038547,0.239933,2,0
yanosz,1,148,2,0,2,2,0,tarde,0,2,sabado,9.438282,0.16131,10,0
konomae,1,98,2,0,2,2,0,tarde,0,2,sabado,9.443568,0.1614,10,1
dustymabe,1,23,1,0,1,1,0,noite,0,4,quinta-Feira,4.636032,0.079234,0,1
ArloL,1,44,1,0,1,0,0,madrugada,0,0,quarta-feira,5.16367,0.088252,3,1
sethvargo,2,5,2,0,2,2,0,noite,0,140,terca-feira,20.87175,0.356719,1,1
sethvargo,1,3,2,0,2,1,0,noite,0,2,terca-feira,9.411643,0.160854,0,1
gajdaw,1,27,1,0,1,1,0,tarde,0,2,terca-feira,4.482347,0.076608,2,1
marc-ta,6,11,9,0,9,7,1,noite,0,129,segunda-feira,62.714443,1.071851,24,1
hubub,250,1,157,1,153,139,4,tarde,3,2229,segunda-feira,1380.169171,24.584708,0,1
tknerr,1,33,1,0,1,1,0,manha,0,2,sabado,4.719744,0.080665,11,0
glensc,1,31,3,2,1,3,0,tarde,0,50,sexta-feira,13.07698,0.223498,2,0
glensc,1,18,2,1,1,2,0,tarde,0,16,sexta-feira,8.25084,0.141015,0,1
cbednarski,2,12,1,0,1,1,0,noite,0,11,quarta-feira,5.019515,0.085788,4,1
issyl0,1,17,1,0,1,0,1,tarde,0,0,quarta-feira,4.245653,0.072562,22,1
lonniev,1,165,3,0,3,3,0,noite,0,19,terca-feira,13.32734,0.227777,3,1
JustinCampbell,1,65,1,0,1,0,0,noite,0,0,segunda-feira,4.773226,0.081579,8,1
JustinCampbell,1,8,1,0,1,0,0,noite,0,0,segunda-feira,4.663971,0.079712,8,1
JustinCampbell,1,10,1,0,1,1,0,noite,0,8,segunda-feira,4.843036,0.082772,2,1
pwnall,1,40,1,0,1,1,0,tarde,0,2,sabado,4.138973,0.070739,11,1
pwnall,1,37,1,0,1,1,0,tarde,0,6,sabado,4.843359,0.082778,1,1
philoserf,1,21,1,0,1,1,0,manha,0,2,sexta-feira,4.718474,0.080643,10,0
tjanez,2,100,1,0,1,1,0,tarde,0,12,quinta-Feira,4.460804,0.07624,9,1
StefanScherer,1,67,1,0,1,1,0,manha,0,5,quinta-Feira,3.787741,0.064736,2,0
StefanScherer,1,41,1,0,1,1,0,manha,0,2,quinta-Feira,4.667312,0.079769,10,1
sethvargo,1,7,16,0,16,6,0,madrugada,0,18,quinta-Feira,77.584059,1.325991,6,1
cazzerson,2,21,3,0,3,3,0,noite,0,57,sexta-feira,13.067736,0.223341,6,0
mtwentyman,1,28,1,0,1,1,0,noite,0,2,sexta-feira,4.716394,0.080608,10,0
evverx,1,11,1,0,1,1,0,madrugada,0,4,sexta-feira,4.647159,0.079425,2,1
vbaskoff,1,62,1,0,1,1,0,manha,0,4,quarta-feira,4.567751,0.078067,11,0
driskell,1,151,1,0,1,1,0,tarde,0,2,segunda-feira,4.340131,0.074177,16,1
Johntron,1,169,2,0,2,2,0,madrugada,0,23,sabado,8.704174,0.148763,17,1
caseylang,1,13,1,0,1,1,0,noite,0,4,sexta-feira,4.449135,0.07604,3,1
benh57,1,114,1,0,1,1,0,noite,0,2,terca-feira,3.689364,0.063055,5,1
bdwyertech,6,34,10,0,10,8,0,noite,0,25,terca-feira,26.169248,0.447259,5,1
sethvargo,1,5,1,0,1,1,0,manha,0,4,terca-feira,4.961362,0.084795,6,1
darkn3rd,1,19,1,0,1,1,0,tarde,0,2,segunda-feira,4.505847,0.07701,0,1
pogliamarci,1,80,2,0,2,0,0,madrugada,0,0,segunda-feira,10.04345,0.171654,5,1
ievgenp,1,30,3,0,3,3,0,tarde,0,29,domingo,13.234469,0.226192,3,1
PatOShea,1,20,1,0,1,1,0,madrugada,0,8,domingo,4.519031,0.077235,16,1
PatOShea,1,17,1,0,1,1,0,madrugada,0,2,domingo,4.337425,0.074131,16,0
PatOShea,1,37,1,0,1,1,0,noite,0,5,sabado,4.34563,0.074271,16,0
PatOShea,1,38,1,0,1,1,0,tarde,0,3,sabado,4.189332,0.0716,10,1
PatOShea,1,14,1,0,1,1,0,tarde,0,20,sabado,4.635371,0.079223,10,1
Mattias-,2,233,2,0,2,2,0,tarde,0,22,sabado,8.939169,0.15278,13,1
denisbr,1,127,1,0,1,1,0,noite,0,2,sexta-feira,4.028847,0.068857,0,1
jkburges,1,49,3,0,3,3,0,manha,0,27,sexta-feira,12.884878,0.220196,0,1
PatOShea,7,22,4,0,4,4,0,madrugada,0,156,sexta-feira,26.36385,0.450545,14,1
PatOShea,1,30,1,0,1,1,0,madrugada,0,33,sexta-feira,4.726181,0.080768,6,1
bheuvel,1,43,1,0,1,1,0,noite,0,3,quarta-feira,4.30727,0.073609,0,1
benh57,3,21,1,0,1,1,0,manha,0,30,quarta-feira,4.37642,0.074791,8,1
sethvargo,1,4,6,0,6,6,0,noite,0,28,segunda-feira,28.200889,0.481947,1,1
cristovaov,1,5,1,0,1,1,0,tarde,0,2,segunda-feira,4.40887,0.075347,3,0
sethvargo,1,14,1,0,1,1,0,tarde,0,3,segunda-feira,5.151373,0.088036,2,1
progamesigner,1,9,1,0,1,1,0,manha,0,6,segunda-feira,4.202936,0.071828,2,1
aidanhs,1,7,1,0,1,1,0,noite,0,2,sabado,4.034498,0.068949,2,1
wkral,2,138,1,0,1,1,0,noite,0,5,sabado,8.475214,0.14484,11,1
kaorimatz,1,107,1,0,1,1,0,manha,0,2,sabado,4.59171,0.078472,9,1
densuke,2,8,1,0,1,1,0,manha,0,8,sabado,4.565198,0.078017,0,0
sethvargo,1,15,1,0,1,1,0,noite,0,5,sexta-feira,4.056808,0.069339,0,1
sethvargo,1,7,1,0,1,1,0,noite,0,2,sexta-feira,4.407487,0.075333,0,1
sethvargo,2,20,2,0,2,1,1,noite,0,78,sexta-feira,13.003813,0.22226,25,1
sethvargo,1,14,1,0,1,1,0,noite,0,2,sexta-feira,4.33756,0.074137,1,1
gildegoma,1,36,2,0,2,2,0,tarde,0,4,sexta-feira,9.387286,0.160447,2,1
sethvargo,2,29,7,0,7,6,1,manha,0,227,sexta-feira,30.587407,0.522788,26,1
sethvargo,1,4,1,0,1,1,0,madrugada,0,2,sexta-feira,4.73715,0.080965,10,1
sethvargo,3,4,2,0,2,1,1,madrugada,0,7,sexta-feira,4.450411,0.076063,4,1
sethvargo,3,6,8,0,8,8,0,madrugada,0,94,sexta-feira,34.707485,0.593182,8,1
sethvargo,6,15,4,0,4,4,0,noite,0,192,quinta-Feira,8.80151,0.150431,5,1
sethvargo,3,9,4,0,4,4,0,noite,0,35,quinta-Feira,18.439766,0.314941,4,1
adrianguenter,1,61,1,0,1,1,0,manha,0,8,quinta-Feira,3.80884,0.065052,5,1
PatOShea,9,37,2,0,2,2,0,tarde,0,18,terca-feira,0,0,0,0
mitchellh,3,27,5,0,5,4,1,madrugada,0,44,terca-feira,29.61479,0.505441,20,1
msabramo,1,77,4,0,4,4,0,manha,0,19,quinta-Feira,17.769957,0.3042,4,1
dcbw,1,91,1,0,1,1,0,madrugada,0,28,quarta-feira,4.199076,0.071883,6,1
strzibny,2,57,4,0,3,4,0,manha,1,50,terca-feira,12.894005,0.22073,3,1
strzibny,1,38,1,0,1,1,0,manha,0,1,quarta-feira,4.17445,0.071462,3,0
oxygen0211,3,81,5,0,5,5,0,tarde,0,51,segunda-feira,25.038484,0.428628,5,0
cisco87,2,7,2,0,2,2,0,manha,0,2,segunda-feira,4.355255,0.074557,4,1
jjasghar,1,8,1,0,1,1,0,noite,0,2,sexta-feira,4.706941,0.080577,2,1
jjasghar,1,8,1,0,1,1,0,noite,0,4,sexta-feira,4.753436,0.081373,2,1
