@relation 'scikit-learn-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,6,10,11,12,1,9,16,17,8,14,18,15,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {madrugada,noite,manha,tarde}
@attribute description_length numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute created_at_week_day {terca-feira,domingo,sexta-feira,segunda-feira,sabado,quinta-Feira,quarta-feira}
@attribute files_deleted numeric
@attribute test_churn numeric
@attribute new_entropy numeric
@attribute files_added numeric
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute src_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
2,manha,24,2,2,2,quarta-feira,0,6,17.813472,0,0,0.369156,5,7,1
1,madrugada,39,2,2,2,quarta-feira,0,1,6.726222,0,0,0.13939,3,7,1
1,noite,21,1,1,0,terca-feira,0,0,3.646808,0,0,0.075574,0,3,1
4,tarde,12,3,3,1,terca-feira,0,0,30.374004,0,2,0.633261,17,0,0
1,manha,19,1,1,1,terca-feira,0,0,4.127404,0,0,0.085534,1,5,1
1,madrugada,95,0,3,3,terca-feira,0,0,13.946764,3,0,0.289025,964,0,0
2,madrugada,9,1,1,0,terca-feira,0,0,9.442315,0,0,0.195677,0,8,1
2,noite,56,2,2,2,segunda-feira,0,0,4.412829,0,0,0.091449,18,8,0
2,madrugada,21,1,1,0,domingo,0,0,5.037994,0,1,0.104404,0,4,1
3,noite,27,2,2,0,sabado,0,0,8.550895,0,0,0.177206,0,0,1
2,tarde,35,2,2,0,sabado,0,0,17.310623,0,0,0.35874,0,47,1
2,tarde,13,1,1,1,sabado,0,0,4.49574,0,0,0.093168,4,0,1
1,tarde,18,1,1,1,sabado,0,0,4.093084,0,0,0.084824,2,8,1
1,manha,51,1,1,1,sabado,0,0,4.349338,0,0,0.090134,6,0,1
2,noite,25,1,1,1,sexta-feira,0,0,4.376047,0,0,0.090688,27,2,0
2,tarde,47,3,3,2,sexta-feira,0,44,18.508516,0,0,0.383562,100,41,1
1,tarde,39,1,1,1,sexta-feira,0,0,4.448386,0,0,0.092186,5,0,1
1,manha,28,1,1,0,quinta-Feira,0,0,4.624414,0,0,0.095833,0,0,1
1,noite,8,2,2,2,quarta-feira,0,24,8.841116,0,0,0.183217,5,0,1
16,tarde,8,10,10,9,quarta-feira,0,466,89.580861,0,1,1.856422,22,12,1
2,tarde,20,2,2,2,terca-feira,0,161,18.176232,0,0,0.376674,0,0,1
1,tarde,17,1,1,1,terca-feira,0,0,4.227719,0,0,0.087613,2,5,1
1,manha,29,1,1,1,terca-feira,0,0,4.906929,0,0,0.101688,4,0,1
2,noite,72,9,12,9,segunda-feira,0,380,104.858167,3,2,2.17302,516,21,1
3,manha,44,1,1,1,domingo,0,0,9.046113,0,0,0.187466,333,2,1
1,madrugada,5,1,1,0,domingo,0,0,4.5283,0,0,0.093842,0,2,0
1,madrugada,18,1,1,1,sexta-feira,0,0,4.424167,0,0,0.091684,3,4,1
2,noite,42,1,1,1,quinta-Feira,0,0,4.744035,0,0,0.098314,21,0,1
1,tarde,11,1,1,1,quarta-feira,0,0,4.231414,0,0,0.087691,2,4,1
3,noite,16,3,3,2,terca-feira,0,42,9.342572,0,0,0.193614,24,0,1
1,manha,63,1,1,1,terca-feira,0,0,4.155704,0,0,0.086122,1,0,1
1,manha,43,1,1,1,terca-feira,0,0,4.287007,0,0,0.088843,11,2,1
1,madrugada,10,2,2,2,terca-feira,0,5,8.870592,0,0,0.183833,1,4,1
1,madrugada,138,2,2,2,terca-feira,0,21,9.010786,0,0,0.186738,16,11,1
5,noite,43,3,3,2,segunda-feira,0,149,17.892585,0,0,0.370804,11,6,1
1,noite,68,1,2,2,segunda-feira,0,0,9.317449,1,0,0.193094,274,8,0
2,madrugada,37,2,2,2,segunda-feira,0,6,8.911299,0,0,0.184677,151,0,0
2,tarde,10,1,1,0,domingo,0,0,9.236564,0,0,0.191417,0,2,1
1,noite,39,1,1,1,sabado,0,0,4.393714,0,0,0.091055,9,18,0
1,tarde,11,1,1,1,sabado,0,0,4.020081,0,0,0.083312,2,2,1
2,manha,23,1,1,0,sabado,0,0,9.577647,0,0,0.198486,0,42,1
1,madrugada,10,1,1,1,sabado,0,0,4.355872,0,0,0.09027,2,14,1
1,noite,15,1,1,0,sexta-feira,0,0,4.939119,0,0,0.102358,0,1,1
8,madrugada,179,3,5,3,sexta-feira,1,67,9.25208,1,0,0.192305,189,0,1
1,madrugada,47,2,2,2,quinta-Feira,0,33,9.193507,0,0,0.191087,5,2,1
2,madrugada,61,2,2,2,quinta-Feira,0,50,9.438087,0,0,0.196171,19,11,0
1,madrugada,32,1,1,1,quinta-Feira,0,0,4.478043,0,0,0.093076,105,4,0
3,madrugada,40,1,1,1,quarta-feira,0,0,4.539767,0,0,0.094361,48,4,0
1,tarde,43,2,2,2,terca-feira,0,16,8.786668,0,0,0.182815,14,15,0
1,tarde,21,1,1,0,terca-feira,0,0,4.967529,0,0,0.103354,0,13,1
2,madrugada,10,5,5,4,terca-feira,0,60,39.328302,0,0,0.818261,26,69,0
2,noite,43,12,12,11,segunda-feira,0,182,53.99483,0,0,1.123411,290,57,1
1,noite,4,0,0,0,sexta-feira,0,0,0,0,0,0,0,0,0
250,manha,2,206,211,174,sexta-feira,0,986,1461.227764,5,8,36.059905,3061,0,1
250,manha,1,206,211,174,sexta-feira,0,986,1461.227764,5,8,31.344357,3061,0,1
1,madrugada,5,0,0,0,sexta-feira,0,0,0,0,0,0,0,0,0
18,madrugada,77,12,17,11,sexta-feira,1,227,18.419744,4,0,0.383241,729,14,1
4,noite,75,5,5,5,quarta-feira,0,197,4.574807,0,0,0.095184,272,4,0
1,noite,74,3,3,3,quarta-feira,0,0,4.574807,0,0,0.095184,105,4,0
1,tarde,28,1,1,0,quarta-feira,0,0,4.489734,0,0,0.093414,0,5,1
2,noite,64,1,1,1,terca-feira,0,0,3.560099,0,0,0.074072,18,1,1
2,noite,8,1,1,1,domingo,0,0,8.826796,0,0,0.183652,20,7,0
3,tarde,2,1,1,0,domingo,0,0,4.537338,0,0,0.094405,0,3,1
2,tarde,79,3,3,2,domingo,0,40,22.554281,0,0,0.469267,190,64,1
2,manha,12,2,2,2,domingo,0,0,18.412615,0,0,0.383095,22,17,1
1,noite,10,1,1,1,sabado,0,0,4.439769,0,0,0.092374,11,2,1
1,noite,7,1,1,1,sabado,0,0,4.243144,0,0,0.088283,2,15,1
3,madrugada,9,1,1,1,sabado,0,0,4.133649,0,0,0.086005,69,9,0
7,tarde,34,2,2,2,sexta-feira,0,100,4.269854,0,0,0.08884,78,2,0
2,tarde,20,1,1,1,sexta-feira,0,0,4.68218,0,0,0.097419,51,5,1
2,madrugada,16,2,2,2,sexta-feira,0,56,17.839962,0,0,0.371186,12,13,0
1,madrugada,13,1,1,0,sexta-feira,0,0,4.551196,0,0,0.094694,0,5,1
2,noite,6,3,3,2,quarta-feira,0,13,4.392269,0,0,0.091387,32,11,1
1,madrugada,18,1,1,1,quarta-feira,0,0,4.498756,0,0,0.093603,2,3,1
1,noite,42,2,2,2,segunda-feira,0,0,8.296604,0,0,0.172623,4,13,1
1,manha,19,1,1,1,domingo,0,0,4.518573,0,0,0.094015,6,16,1
1,noite,19,1,1,0,sexta-feira,0,0,4.806926,0,0,0.100015,0,1,1
1,manha,7,0,0,0,quinta-Feira,0,0,0,0,0,0,0,0,0
3,madrugada,57,2,2,2,quinta-Feira,0,29,18.774214,0,0,0.390625,2,13,1
1,noite,5,1,1,1,quarta-feira,0,0,4.406966,0,0,0.091693,4,0,1
1,noite,24,1,1,0,segunda-feira,0,0,4.383977,0,0,0.091215,0,0,1
1,tarde,92,2,2,2,domingo,0,0,8.889447,0,0,0.184958,266,17,0
3,madrugada,14,2,2,2,sabado,0,8,4.467266,0,0,0.092948,5,1,1
6,noite,84,2,2,2,sexta-feira,0,81,9.135285,0,0,0.190073,331,7,1
1,noite,27,2,2,2,quinta-Feira,0,17,9.051742,0,0,0.188334,20,8,1
1,manha,7,1,1,1,quinta-Feira,0,0,3.957633,0,0,0.082344,2,1,0
2,madrugada,56,1,1,1,segunda-feira,0,0,9.708948,0,0,0.202009,56,2,1
1,manha,76,1,1,1,domingo,0,0,4.491088,0,0,0.093443,11,2,1
1,manha,65,2,2,1,domingo,0,0,9.557998,0,0,0.19887,2,3,1
1,noite,22,1,1,0,sabado,0,0,4.987821,0,0,0.10378,0,1,1
3,noite,35,2,2,2,sexta-feira,0,15,4.23738,0,0,0.088166,4,0,1
54,tarde,1,106,109,86,sexta-feira,0,513,739.588149,3,3,15.388379,1266,390,0
3,manha,16,1,1,0,sexta-feira,0,0,8.925108,0,0,0.185701,0,1,1
1,manha,31,2,2,1,quinta-Feira,0,0,9.273373,0,0,0.192948,2,9,1
1,manha,29,1,1,1,quinta-Feira,0,0,4.851499,0,0,0.100943,13,0,0
5,noite,51,2,2,2,quarta-feira,0,0,9.517384,0,0,0.198025,285,9,1
1,tarde,7,1,1,0,quarta-feira,0,0,4.697274,0,1,0.097734,0,7,1
1,tarde,47,1,1,0,quarta-feira,0,0,4.677349,0,0,0.09732,0,9,1
1,manha,34,1,1,1,quarta-feira,0,0,4.638008,0,0,0.096501,2,0,1
1,manha,62,1,1,1,quarta-feira,0,0,4.830053,0,0,0.100497,5,2,1
1,manha,5,2,2,1,quarta-feira,0,0,8.884958,0,0,0.184866,4,16,1
1,madrugada,6,1,1,1,quarta-feira,0,0,4.512435,0,0,0.093888,4,4,1
4,noite,33,1,1,1,terca-feira,0,0,4.938261,0,0,0.102749,30,0,1
1,noite,20,1,1,0,terca-feira,0,0,4.336584,0,1,0.09023,0,7,1
1,manha,6,1,1,1,terca-feira,0,0,4.292129,0,0,0.089305,2,12,1
1,madrugada,13,1,1,1,terca-feira,0,0,3.87963,0,0,0.080722,2,0,1
1,madrugada,81,8,8,7,terca-feira,0,23,36.474586,0,0,0.758913,30,22,1
1,madrugada,30,1,1,1,domingo,0,0,4.555265,0,0,0.094872,2,2,0
1,manha,6,1,1,1,sabado,0,2,3.831785,0,0,0.079804,0,0,1
5,noite,5,1,1,0,quarta-feira,0,0,4.439252,0,0,0.092652,0,1,0
1,noite,14,1,1,0,quarta-feira,0,0,4.759144,0,0,0.099328,0,2,1
2,noite,37,1,1,0,quarta-feira,0,0,4.845248,0,0,0.101126,0,2,0
1,manha,7,1,1,1,quarta-feira,0,4,4.694546,0,0,0.097979,0,21,1
1,tarde,61,1,1,1,terca-feira,0,0,4.140591,0,0,0.086418,9,4,0
2,manha,16,57,57,54,terca-feira,0,76,320.562101,0,2,6.69044,96,192,0
1,manha,11,1,1,1,terca-feira,0,0,4.406558,0,0,0.091969,2,5,1
1,manha,13,1,1,1,terca-feira,0,0,4.360297,0,0,0.091004,1,6,1
1,madrugada,16,30,30,27,terca-feira,0,18,129.888453,0,2,2.710897,46,124,0
1,manha,116,1,1,1,segunda-feira,0,0,4.335398,0,0,0.090484,4,12,1
50,noite,47,14,19,13,domingo,2,642,36.858122,3,1,0.769265,3750,48,1
4,tarde,4,80,80,34,domingo,0,20,898.306085,0,1,18.748535,236,286,0
3,madrugada,54,1,1,1,domingo,0,0,8.840725,0,0,0.184515,22,12,1
26,noite,13,13,15,14,sabado,0,131,124.722476,2,0,2.603082,524,25,0
1,madrugada,15,1,1,0,sabado,0,0,4.714882,0,0,0.098404,0,13,1
4,noite,10,3,5,3,sexta-feira,0,9,8.754251,2,1,0.182898,63,0,0
2,noite,18,1,1,1,quinta-Feira,0,0,4.696692,0,0,0.098125,8,0,1
1,madrugada,16,1,1,1,quinta-Feira,0,0,4.356215,0,0,0.091012,4,3,0
1,madrugada,35,1,1,1,quinta-Feira,0,0,4.565474,0,0,0.095384,5,21,0
1,manha,24,1,1,1,quarta-feira,0,0,0,0,0,0,2,0,1
2,noite,21,1,2,2,terca-feira,0,41,13.771699,1,0,0.287725,31,4,1
3,tarde,52,1,1,0,terca-feira,0,0,14.228802,0,0,0.297275,0,11,1
1,tarde,30,1,1,1,terca-feira,0,0,4.335632,0,0,0.090582,4,3,1
1,manha,77,2,2,2,terca-feira,0,11,9.038345,0,0,0.188833,3,21,1
1,madrugada,19,1,1,1,segunda-feira,0,0,4.355134,0,0,0.09099,4,3,1
1,noite,148,3,4,3,quinta-Feira,0,0,0,1,1,0,44,0,1
3,noite,6,1,1,0,quinta-Feira,0,0,9.628138,0,0,0.201156,0,0,1
38,madrugada,84,12,13,6,quinta-Feira,0,206,33.160107,1,2,0.692786,241,22,0
1,madrugada,38,0,0,0,quinta-Feira,0,0,0,0,0,0,0,0,1
4,tarde,5,1,1,0,quarta-feira,0,0,4.786606,0,0,0.100002,0,0,0
4,noite,118,2,2,2,terca-feira,0,47,8.834388,0,0,0.185183,10,4,1
1,tarde,64,1,1,1,terca-feira,0,0,4.326459,0,0,0.09069,4,2,1
1,tarde,48,1,1,1,terca-feira,0,0,4.383365,0,0,0.091883,4,2,0
1,madrugada,69,2,4,0,terca-feira,0,0,0,2,2,0,0,0,1
1,tarde,20,4,4,4,segunda-feira,0,0,18.176312,0,0,0.381005,89,20,1
1,madrugada,4,1,1,1,sabado,0,0,4.351879,0,0,0.091223,6,3,1
9,noite,3,7,8,7,sexta-feira,0,20,70.25522,1,0,1.472679,334,49,0
2,manha,8,1,1,1,sexta-feira,0,0,9.338111,0,0,0.195744,4,13,1
2,manha,4,1,1,1,sexta-feira,0,0,4.429308,0,0,0.092846,3,7,0
1,madrugada,19,3,3,0,sexta-feira,0,0,13.238117,0,0,0.277495,0,11,1
2,noite,65,3,3,3,quinta-Feira,0,0,29.145203,0,0,0.610938,52,0,1
1,noite,2,1,1,1,quinta-Feira,0,0,4.014536,0,0,0.084152,1,0,0
2,noite,4,1,1,1,quinta-Feira,0,0,9.182597,0,0,0.192484,15,2,1
1,noite,2,2,2,2,quinta-Feira,0,0,7.776825,0,0,0.163017,6,2,1
1,tarde,30,1,1,1,quinta-Feira,0,0,4.637069,0,0,0.097202,19,7,1
