@relation 'kuma-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,2,5,7,10,11,12,13,8,17,1,15,18,14,9,53'

@attribute description_length numeric
@attribute created_at_day_turn {noite,madrugada,manha,tarde}
@attribute intra_branch {true,false}
@attribute num_commits numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute doc_files numeric
@attribute files_added numeric
@attribute new_entropy numeric
@attribute created_at_week_day {quinta-Feira,quarta-feira,sabado,sexta-feira,terca-feira,domingo,segunda-feira}
@attribute src_churn numeric
@attribute entropy_diff numeric
@attribute other_files numeric
@attribute files_deleted numeric
@attribute status {0,1}

@data
117,noite,true,10,66,67,61,0,1,543.799352,sexta-feira,2,3.733156,3,0,1
10,noite,false,1,1,1,1,0,0,4.80028,quinta-Feira,2,0.032954,0,0,1
9,madrugada,true,2,2,2,1,1,0,9.126837,quinta-Feira,0,0.062655,0,0,1
28,madrugada,true,2,3,5,2,0,2,13.926477,quinta-Feira,32,0.095604,0,0,1
45,madrugada,true,7,7,7,1,0,0,33.420797,quinta-Feira,24,0.22943,0,0,1
17,madrugada,false,2,2,2,1,0,0,19.429817,quarta-feira,10,0.133383,1,0,1
10,madrugada,false,1,4,4,1,3,0,17.875541,quarta-feira,34,0.122714,0,0,1
11,madrugada,true,2,2,2,2,0,0,9.558253,quarta-feira,9,0.065616,0,0,1
7,manha,false,1,1,1,0,1,0,4.067396,terca-feira,0,0.027922,0,0,1
30,manha,false,2,6,16,1,11,1,57.627453,terca-feira,12,0.395606,4,9,1
22,noite,false,1,1,1,0,0,0,5.832786,segunda-feira,0,0.040041,0,0,1
34,madrugada,false,2,2,2,1,1,0,13.946892,domingo,21,0.09575,0,0,1
13,noite,false,1,1,1,0,1,0,4.256197,sabado,0,0.02922,0,0,1
11,manha,false,1,1,1,0,0,0,5.1175,sabado,0,0.035134,0,0,0
10,noite,false,1,1,1,0,0,0,4.585038,sexta-feira,0,0.031479,0,0,1
7,noite,false,1,1,1,0,1,0,4.34912,sexta-feira,0,0.029859,0,0,1
40,noite,false,1,121,121,1,0,0,318.887039,sexta-feira,8,2.189741,0,0,1
9,noite,false,1,1,1,0,1,0,4.698122,sexta-feira,0,0.032261,0,0,1
12,madrugada,false,2,1,1,1,0,0,0,sexta-feira,10,0,0,0,1
8,madrugada,false,1,1,1,1,0,0,4.606143,quinta-Feira,4,0.03163,0,0,1
8,madrugada,true,1,1,1,1,0,0,4.79347,quinta-Feira,4,0.032916,0,0,1
9,noite,true,1,2,2,2,0,0,9.852599,quarta-feira,9,0.067656,0,0,1
8,noite,true,1,1,1,1,0,0,4.69572,quarta-feira,4,0.032245,0,0,1
12,noite,true,1,1,1,1,0,0,4.650923,quarta-feira,6,0.031937,0,0,1
80,noite,false,3,4,4,3,0,0,14.893563,quarta-feira,13,0.102272,0,0,1
12,madrugada,false,1,1,1,0,0,0,4.755087,quarta-feira,0,0.018578,1,0,0
136,manha,false,2,3,3,3,0,0,25.13898,sexta-feira,227,0.098218,0,0,1
24,madrugada,false,1,1,1,0,1,0,4.862271,sexta-feira,0,0.018997,0,0,1
68,manha,false,1,1,1,0,1,0,4.496467,quinta-Feira,0,0.017568,0,0,1
61,madrugada,false,1,0,1,0,1,1,4.522219,quarta-feira,0,0.017668,0,0,1
61,noite,false,1,1,1,0,1,0,4.659484,terca-feira,0,0.018205,0,0,1
