@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R7,2,5,6,9,8,10,14,1,11,12,17,18,16,19,53'

@attribute num_commits numeric
@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute intra_branch {false,true}
@attribute description_length numeric
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute other_files numeric
@attribute created_at_week_day {domingo,quarta-feira,terca-feira,segunda-feira,sexta-feira,quinta-Feira,sabado}
@attribute files_changed numeric
@attribute src_files numeric
@attribute new_entropy numeric
@attribute entropy_diff numeric
@attribute test_churn numeric
@attribute commits_on_files_touched numeric
@attribute status {0,1}

@data
2,madrugada,false,11,0,0,2,0,sabado,2,2,12.885054,0.146402,0,12,1
1,noite,false,31,0,0,2,0,sexta-feira,2,2,9.503981,0.107985,0,5,1
4,noite,false,13,0,0,2,0,quinta-Feira,2,2,25.812542,0.293285,0,12,1
5,noite,false,41,2,6,13,2,segunda-feira,21,16,86.609637,0.990101,118,4,1
12,noite,false,14,0,16,11,9,segunda-feira,27,18,241.672483,2.767196,114,0,1
1,noite,false,66,0,0,1,0,sexta-feira,1,1,4.614538,0.052837,0,1,1
2,noite,false,21,0,0,3,0,quinta-Feira,3,3,24.213172,0.277245,0,0,1
4,noite,false,13,0,0,4,0,segunda-feira,4,4,48.089796,0.550637,0,17,1
1,noite,false,52,0,0,1,0,sexta-feira,1,1,4.642087,0.053153,0,4,1
1,noite,false,95,0,0,2,0,quinta-Feira,2,2,9.215503,0.105519,0,4,1
1,madrugada,false,27,0,0,1,0,quarta-feira,1,1,4.720302,0.054048,0,0,1
1,noite,false,34,0,0,3,0,terca-feira,3,3,13.261195,0.151843,0,8,1
3,tarde,false,40,0,1,5,1,segunda-feira,6,5,47.805249,0.547684,0,13,1
1,tarde,false,57,0,0,2,0,segunda-feira,2,2,9.151656,0.104847,0,0,1
1,tarde,false,19,0,0,1,0,sabado,1,1,4.512398,0.051697,0,0,1
17,noite,false,45,4,15,21,3,sexta-feira,40,23,66.242888,0.758917,0,8,1
1,tarde,false,5,0,0,66,66,terca-feira,66,0,315.352424,3.612894,0,8,1
1,madrugada,false,27,0,0,1,0,sexta-feira,1,1,4.700763,0.053855,0,11,1
1,tarde,false,41,0,0,1,0,quarta-feira,1,1,4.723311,0.054114,0,7,1
1,noite,false,7,0,0,1,0,segunda-feira,1,1,4.453569,0.051023,0,1,1
2,tarde,false,31,0,0,3,0,segunda-feira,3,3,13.694829,0.156897,0,3,1
1,tarde,false,7,0,0,3,0,domingo,3,3,14.36011,0.164519,0,4,0
39,madrugada,false,134,0,3,66,8,quarta-feira,69,58,472.858899,5.417386,0,15,1
2,tarde,false,60,0,0,1,0,segunda-feira,1,1,4.134724,0.04737,0,6,1
1,noite,false,27,0,0,2,0,sexta-feira,2,2,9.22999,0.105745,0,1,1
1,madrugada,false,5,0,0,2,0,sexta-feira,2,2,9.182766,0.105205,0,1,0
1,tarde,false,44,0,0,2,0,quinta-Feira,2,2,9.81818,0.112485,0,10,1
0,noite,false,6,0,0,0,0,sabado,0,0,0,0,0,0,0
1,noite,false,129,0,0,1,0,quinta-Feira,1,1,4.666988,0.053663,0,6,1
2,manha,false,73,0,0,1,1,quinta-Feira,1,0,4.226566,0.048599,0,11,1
1,tarde,false,95,0,7,4,0,quarta-feira,11,11,51.472863,0.59186,25,5,1
1,tarde,false,57,1,0,2,2,domingo,3,2,9.082229,0.10479,0,3,0
6,madrugada,false,60,0,3,8,1,sexta-feira,11,9,66.58127,0.768207,0,18,0
5,tarde,false,47,0,5,10,2,segunda-feira,15,12,38.504562,0.444261,0,21,1
18,tarde,false,4,0,5,28,1,quarta-feira,33,28,464.942998,5.364456,0,29,0
33,tarde,false,73,3,15,39,11,quarta-feira,57,37,488.866424,5.686578,0,21,1
39,tarde,false,98,3,16,41,11,quarta-feira,60,39,470.339799,5.480104,0,20,1
1,tarde,false,14,0,0,2,0,quinta-Feira,2,2,8.806665,0.10261,0,7,1
2,noite,false,29,0,0,2,0,quarta-feira,2,2,8.916942,0.103896,0,4,1
1,noite,false,21,0,0,1,0,quarta-feira,1,1,4.807835,0.056019,0,4,1
3,tarde,false,85,0,0,3,0,domingo,3,3,13.901032,0.161969,0,15,1
1,madrugada,false,41,0,0,5,1,quarta-feira,5,4,23.567936,0.274605,0,28,1
1,noite,false,31,0,0,2,0,terca-feira,2,2,9.500314,0.1113,0,5,1
1,tarde,false,27,0,10,3,4,terca-feira,13,9,61.711678,0.722979,20,14,1
1,tarde,false,38,0,0,5,1,terca-feira,5,4,23.567936,0.276108,0,26,0
3,tarde,false,43,0,5,26,1,segunda-feira,31,30,129.49341,1.508776,0,39,0
1,tarde,false,12,0,0,1,0,segunda-feira,1,1,5.077435,0.059484,0,2,1
1,tarde,false,17,0,0,1,1,segunda-feira,1,0,4.451174,0.052147,0,4,1
1,tarde,false,30,0,0,1,0,sexta-feira,1,1,4.535966,0.05314,0,8,1
1,tarde,false,93,0,10,7,5,terca-feira,17,12,80.738011,0.945868,20,31,0
4,tarde,false,29,0,12,28,16,sexta-feira,40,24,227.842921,2.669243,20,41,0
1,madrugada,false,48,0,0,1,1,quinta-Feira,1,0,4.571414,0.053555,0,0,1
2,tarde,false,13,0,0,1,0,quarta-feira,1,1,9.783255,0.114614,0,7,1
10,noite,false,28,0,1,7,0,domingo,8,8,154.051174,1.804743,0,24,1
