@relation 'diaspora-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R6,7,2,9,8,10,11,12,15,13,1,14,18,17,16,53'

@attribute description_length numeric
@attribute num_commits numeric
@attribute created_at_day_turn {manha,noite,madrugada,tarde}
@attribute files_deleted numeric
@attribute files_added numeric
@attribute files_modified numeric
@attribute files_changed numeric
@attribute src_files numeric
@attribute src_churn numeric
@attribute doc_files numeric
@attribute created_at_week_day {quarta-feira,segunda-feira,domingo,sabado,sexta-feira,quinta-Feira,terca-feira}
@attribute other_files numeric
@attribute entropy_diff numeric
@attribute new_entropy numeric
@attribute test_churn numeric
@attribute status {0,1}

@data
19,1,noite,0,0,2,2,2,6,0,sabado,0,0.123489,9.338089,0,1
13,1,noite,0,0,2,2,2,6,0,sabado,0,0.124135,9.362527,0,0
32,2,noite,0,0,5,5,2,6,3,sabado,0,0.532116,40.740898,0,1
4,1,madrugada,0,1,1,2,2,26,0,sabado,0,0.127364,9.648778,0,1
10,1,tarde,0,0,2,2,2,6,0,sexta-feira,0,0,0,0,1
10,2,tarde,0,0,4,4,3,32,1,sexta-feira,0,0.115446,8.775022,0,1
4,1,noite,0,0,2,2,2,12,0,quarta-feira,0,0,0,0,1
45,2,tarde,0,0,7,7,3,23,3,domingo,1,0.167596,12.771702,0,1
57,2,tarde,0,0,13,13,4,20,9,domingo,0,1.340791,102.175113,0,1
8,1,manha,0,0,2,2,0,0,2,domingo,0,0.118042,8.995399,0,1
12,1,noite,0,0,4,4,4,12,0,sabado,0,0.247074,18.828258,0,0
36,1,noite,0,0,3,3,0,0,3,sexta-feira,0,0.17859,13.609447,0,1
10,2,manha,0,0,3,3,3,130,0,quinta-Feira,0,0.116394,8.869825,62,1
39,4,madrugada,12,0,25,37,32,319,0,segunda-feira,5,1.67121,127.449043,553,1
5,11,madrugada,0,0,20,20,8,42,14,segunda-feira,0,2.191467,167.124683,0,1
48,60,noite,46,107,129,282,154,5949,21,domingo,2,30.182217,2300.422196,2608,0
10,2,manha,3,4,3,10,7,250,0,domingo,0,0.295255,22.503663,2,1
14,1,madrugada,0,0,2,2,2,2,0,domingo,0,0.118562,9.036527,4,1
28,1,manha,0,0,1,1,0,0,1,sexta-feira,0,0.060951,4.645531,0,1
47,1,madrugada,4,3,20,27,17,427,10,sexta-feira,1,1.381322,105.281067,0,1
9,1,madrugada,0,0,2,2,1,2,1,quarta-feira,0,0.116163,8.889407,0,0
120,1,noite,0,0,1,1,1,3,0,terca-feira,0,0.060921,4.662011,0,0
40,2,madrugada,3,2,15,20,14,1117,5,terca-feira,1,1.076941,82.081911,0,1
17,1,madrugada,0,0,1,1,1,32,0,terca-feira,0,0.058436,4.471815,0,0
20,1,noite,5,1,9,15,9,61,2,segunda-feira,4,0.589598,45.119169,19,1
180,1,noite,0,17,12,29,21,775,6,segunda-feira,2,1.757951,134.527453,283,1
17,1,madrugada,0,0,1,1,1,32,0,segunda-feira,0,0.058436,4.471815,0,0
9,1,noite,0,0,3,3,3,1,0,domingo,0,0.172305,13.294732,21,1
34,1,noite,6,5,8,19,4,22,6,domingo,9,0.723629,55.153546,0,1
25,1,noite,10,0,1,11,0,0,1,domingo,10,0.059255,4.571991,0,1
8,1,tarde,0,1,1,2,2,207,0,domingo,0,0.120449,9.288279,0,1
69,2,madrugada,3,2,7,12,10,233,2,domingo,0,0.615268,47.445529,0,1
176,1,tarde,2,1,16,19,3,71,16,sexta-feira,0,0.966206,74.510904,0,1
20,4,madrugada,0,0,6,6,3,33,3,sexta-feira,0,0.411251,31.714471,0,1
17,1,tarde,0,0,1,1,0,0,1,quinta-Feira,0,0.060328,4.652362,0,1
59,1,manha,0,1,0,1,0,0,0,quinta-Feira,1,0,0,0,1
94,1,manha,0,0,1,1,0,0,0,quinta-Feira,1,0.061584,4.749024,0,1
9,1,madrugada,0,0,5,5,1,2,4,quinta-Feira,0,0.293252,22.613906,0,1
55,1,manha,0,0,1,1,0,0,1,quarta-feira,0,0.057983,4.466056,0,0
8,1,madrugada,0,0,4,4,2,23,1,quarta-feira,1,0.232835,17.933668,0,1
11,1,madrugada,0,0,7,7,0,0,7,quarta-feira,0,0.411185,31.671746,0,1
2,1,noite,0,0,5,5,5,25,0,terca-feira,0,0.309466,23.83597,0,0
72,2,noite,1,1,2,4,4,258,0,terca-feira,0,0.245346,18.897869,0,1
4,2,noite,0,0,1,1,1,10,0,terca-feira,0,0.056143,4.324472,0,1
5,1,noite,0,0,1,1,1,8,0,terca-feira,0,0.056,4.319613,0,0
4,1,noite,0,0,1,1,1,6,0,terca-feira,0,0.054812,4.228023,0,1
9,1,tarde,2,0,1,3,3,24,0,terca-feira,0,0.057097,4.404242,0,0
157,30,tarde,9,12,32,53,24,1389,8,terca-feira,8,3.725437,286.94319,2172,1
4,23,tarde,0,0,2,2,2,180,0,segunda-feira,0,1.672102,128.789826,0,1
12,1,tarde,0,0,1,1,0,0,1,segunda-feira,0,0.057115,4.405559,0,1
6,3,madrugada,0,0,2,2,0,0,0,domingo,2,0.108514,8.35568,0,1
5,1,madrugada,0,0,2,2,1,0,1,sabado,0,0.114032,8.760173,9,1
32,1,noite,0,0,2,2,0,0,2,sexta-feira,0,0.11872,9.120364,0,1
23,1,noite,0,0,1,1,0,0,1,sexta-feira,0,0.060361,4.637085,0,1
11,1,noite,0,2,8,10,5,103,5,sexta-feira,0,0.597724,46.038493,2,1
24,1,noite,0,0,1,1,0,0,1,sexta-feira,0,0.056641,4.351319,0,0
45,1,tarde,0,0,3,3,2,1,2,sexta-feira,0,0.169229,13.000572,10,1
12,2,madrugada,0,0,8,8,8,529,0,sexta-feira,0,0.374946,28.743265,1,1
16,4,tarde,5,9,11,25,13,391,9,quinta-Feira,1,1.262657,96.628466,252,0
52,3,tarde,1,4,5,10,2,0,6,quinta-Feira,1,0.558281,42.72408,34,1
32,1,tarde,0,0,2,2,0,0,2,quinta-Feira,0,0.112495,8.608996,0,1
37,1,madrugada,0,0,1,1,0,0,0,quinta-Feira,1,0.057116,4.370992,0,1
113,1,madrugada,0,0,4,4,2,28,2,quinta-Feira,0,0.238333,18.357057,0,1
4,1,noite,0,0,2,2,0,0,2,quarta-feira,0,0.112026,8.573088,0,1
49,1,noite,0,0,1,1,0,0,1,quarta-feira,0,0.062277,4.765913,0,1
30,1,noite,0,0,1,1,1,1,0,quarta-feira,0,0.063927,4.892224,0,1
2,1,noite,0,0,2,2,2,120,0,quarta-feira,0,0.123516,9.452454,0,1
58,2,tarde,0,0,8,8,0,0,7,quarta-feira,1,0.443529,33.951136,0,1
11,1,tarde,0,0,1,1,0,0,1,quarta-feira,0,0.064301,4.922057,0,1
30,1,madrugada,1,0,4,5,0,0,4,quarta-feira,1,0.234546,18.026473,0,1
7,2,madrugada,5,0,5,10,7,249,2,quarta-feira,1,0.280342,21.5462,203,1
45,4,noite,0,0,1,1,0,0,1,terca-feira,0,0.056855,4.37991,0,0
9,1,noite,0,0,3,3,1,4,0,terca-feira,2,0.172696,13.303814,0,1
46,1,noite,3,0,5,8,1,12,4,terca-feira,3,0.297814,22.942412,0,1
36,1,tarde,0,4,13,17,6,277,9,terca-feira,2,0.998404,76.73641,18,1
17,1,noite,0,0,1,1,0,0,0,domingo,1,0.066914,5.142915,0,0
41,2,tarde,0,0,1,1,0,0,1,domingo,0,0.118626,9.117457,0,0
10,3,noite,0,0,3,3,2,3,1,sabado,0,0.236911,18.208752,0,0
49,7,noite,0,0,3,3,3,40,0,sabado,0,0.751255,57.740614,0,1
15,2,tarde,0,3,9,12,11,244,0,sabado,0,0.35484,27.259588,360,1
52,1,tarde,0,4,5,9,7,66,0,sexta-feira,2,0.528114,40.590312,169,1
17,2,tarde,0,0,1,1,1,4,0,sexta-feira,0,0.059228,4.552204,0,1
10,1,tarde,0,0,1,1,0,0,0,sexta-feira,1,0.051423,3.952324,0,0
37,1,tarde,0,0,3,3,1,1,2,sexta-feira,0,0.184849,14.207348,0,1
37,1,manha,0,0,2,2,2,8,0,quinta-Feira,0,0.11593,8.91031,0,1
15,1,noite,0,0,1,1,0,0,1,quarta-feira,0,0.0496,3.812342,0,1
18,20,manha,0,0,9,9,9,0,0,quarta-feira,0,1.408877,108.288201,1119,1
21,1,tarde,0,0,1,1,1,2,0,terca-feira,0,0.061093,4.6957,0,1
7,1,tarde,0,0,2,2,2,10,0,terca-feira,0,0.122313,9.401171,0,1
8,1,madrugada,0,0,1,1,0,0,1,terca-feira,0,0.062118,4.774474,0,1
26,1,noite,0,0,1,1,0,0,0,domingo,1,0.056055,4.308434,0,1
6,10,noite,0,6,22,28,19,189,5,domingo,3,1.903031,146.269459,0,0
9,2,noite,0,0,2,2,0,0,1,domingo,1,0.182766,14.047615,0,0
95,5,noite,0,2,4,6,4,6,0,sexta-feira,1,0.289818,22.224302,44,1
10,1,noite,0,0,1,1,1,0,0,quinta-Feira,0,0.062045,4.757839,48,1
5,1,madrugada,0,0,1,1,1,3,0,quinta-Feira,0,0.057164,4.383567,0,1
5,1,madrugada,0,0,11,11,0,0,0,quarta-feira,11,0.757702,58.10341,0,0
5,1,madrugada,0,0,2,2,2,17,0,quarta-feira,0,0.121339,9.304721,0,1
5,1,madrugada,0,0,1,1,1,8,0,quarta-feira,0,0.066215,5.077609,0,1
7,1,madrugada,0,0,27,27,27,87,0,quarta-feira,0,1.62227,124.401859,0,1
4,1,madrugada,0,0,1,1,0,0,0,quarta-feira,1,0.063186,4.845308,0,1
35,1,madrugada,0,0,1,1,0,0,1,segunda-feira,0,0.057899,4.43994,0,0
60,1,madrugada,0,1,23,24,19,103,4,sabado,1,1.420525,109.001014,59,1
215,12,madrugada,4,3,23,30,25,370,4,quarta-feira,0,2.235649,171.459908,529,1
2,1,madrugada,0,0,2,2,2,6,0,quarta-feira,0,0.114248,8.762097,0,1
26,5,manha,0,0,3,3,1,8,2,domingo,0,0.36108,27.692499,0,0
7,1,tarde,0,0,2,2,2,70,0,sexta-feira,0,0.119457,9.15602,0,1
7,1,tarde,0,0,1,1,1,2,0,segunda-feira,0,0.061219,4.692218,0,1
9,1,madrugada,0,0,2,2,2,78,0,segunda-feira,0,0.125036,9.583587,0,1
49,2,noite,0,0,2,2,1,2,1,domingo,0,0.125498,9.619011,0,1
9,1,madrugada,0,0,1,1,0,0,1,domingo,0,0.05987,4.589011,0,1
10,2,madrugada,0,0,8,8,6,23,0,domingo,2,0.586757,44.974751,92,1
8,1,noite,0,0,2,2,0,0,2,sexta-feira,0,0.116446,8.920652,0,1
11,1,manha,0,0,1,1,1,4,0,sexta-feira,0,0.063896,4.894929,0,1
112,2,madrugada,0,1,3,4,2,112,1,sexta-feira,0,0.115714,8.864541,0,0
10,1,noite,0,0,2,2,0,0,1,quinta-Feira,1,0.1198,9.177553,0,0
41,1,noite,0,0,1,1,0,0,1,quinta-Feira,0,0.047254,3.607855,0,0
66,5,tarde,0,0,4,4,0,0,4,quarta-feira,0,0.486968,37.180452,0,0
58,7,tarde,0,0,6,6,0,0,6,quarta-feira,0,0.553166,42.23471,0,0
26,1,tarde,0,0,1,1,0,0,1,quarta-feira,0,0.060961,4.654467,0,1
59,1,noite,0,0,1,1,0,0,1,terca-feira,0,0.055735,4.255421,0,0
87,4,tarde,1,1,36,38,20,718,16,terca-feira,2,3.063186,233.876279,0,1
63,1,tarde,1,0,15,16,9,38,7,segunda-feira,0,0.910216,69.539669,0,1
18,1,tarde,0,0,1,1,1,3,0,segunda-feira,0,0.056121,4.285267,0,1
29,2,tarde,1,0,12,13,8,612,3,domingo,2,1.300249,99.452505,0,1
48,1,tarde,2,0,4,6,3,8,4,domingo,0,0.226895,17.354481,0,1
8,1,tarde,0,0,2,2,2,20,0,sabado,0,0.107993,8.260027,24,1
26,166,madrugada,61,126,150,337,164,13111,32,sabado,3,0,0,5236,1
16,2,noite,0,0,2,2,0,0,2,sexta-feira,0,0.165793,12.680947,0,0
8,2,madrugada,0,0,4,4,4,46,0,sexta-feira,0,0.480281,36.735056,0,1
2,1,tarde,0,0,2,2,2,6,0,quarta-feira,0,0.112478,8.603028,0,1
10,1,madrugada,0,0,1,1,1,0,0,terca-feira,0,0.060094,4.596364,24,0
24,2,noite,0,1,4,5,0,0,4,segunda-feira,1,0.538992,41.225278,0,1
8,5,noite,1,7,13,21,0,0,14,segunda-feira,1,1.058512,80.961175,0,1
2,1,tarde,0,0,4,4,4,23,0,segunda-feira,0,0.23782,18.190004,0,1
3,54,tarde,0,0,6,6,5,420,1,segunda-feira,0,4.740285,362.56796,0,0
15,2,madrugada,0,0,5,5,5,48,0,segunda-feira,0,0.296187,22.63987,8,1
32,1,noite,0,0,3,3,1,2,2,domingo,0,0.186322,14.242184,0,1
6,1,noite,0,0,1,1,0,0,1,domingo,0,0.059088,4.516628,0,1
7,1,noite,0,0,1,1,0,0,1,domingo,0,0.061751,4.674448,0,1
19,1,tarde,0,0,2,2,0,0,2,domingo,0,0.121769,9.218165,0,1
11,1,tarde,0,0,1,1,0,0,1,domingo,0,0.060893,4.609728,0,1
19,1,tarde,0,0,2,2,0,0,2,domingo,0,0.112574,8.522119,0,1
8,1,madrugada,0,0,1,1,1,6,0,domingo,0,0.064356,4.871898,0,1
17,2,noite,0,0,4,4,0,0,4,sabado,0,0,0,0,1
6,2,noite,0,0,1,1,1,9,0,sabado,0,0.123389,9.340865,0,1
30,1,noite,0,0,7,7,7,120,0,sabado,0,0.409205,30.977908,87,1
11,43,manha,0,1,6,7,3,2950,3,sabado,0,2.621626,198.462885,0,1
7,1,madrugada,0,0,2,2,2,10,0,sabado,0,0.118145,8.943826,0,1
27,1,madrugada,0,0,1,1,1,6,0,sexta-feira,0,0.060987,4.613754,0,1
3,3,madrugada,0,0,10,10,6,107,4,sexta-feira,0,0.652501,49.362199,94,1
29,1,noite,0,0,2,2,0,0,2,quinta-Feira,0,0.111656,8.446827,0,1
14,3,noite,0,0,1,1,0,0,1,quinta-Feira,0,0,0,0,1
20,25,noite,11,6,176,193,41,1030,139,quinta-Feira,4,16.096442,1222.787726,0,1
22,5,madrugada,1,1,38,40,40,963,0,quinta-Feira,0,6.780339,515.224521,0,1
80,17,tarde,4,21,28,53,11,691,29,terca-feira,5,7.459383,566.823693,344,1
17,1,madrugada,0,0,1,1,0,0,1,terca-feira,0,0.059909,4.549935,0,1
102,6,noite,3,3,150,156,33,346,119,segunda-feira,4,9.419983,715.423165,0,0
32,2,madrugada,0,0,7,7,7,90,0,segunda-feira,0,0.472531,35.887414,43,1
19,1,madrugada,0,0,1,1,1,4,0,segunda-feira,0,0.065399,4.966894,0,1
21,2,noite,0,0,1,1,1,6,0,domingo,0,0.117139,8.896365,0,1
33,3,tarde,0,0,1,1,0,0,1,domingo,0,0.0556,4.222659,0,1
112,80,tarde,11,6,177,194,41,1208,139,domingo,5,8.997516,683.336869,0,0
66,4,madrugada,0,1,3,4,4,106,0,domingo,0,0.49888,37.88859,127,1
7,1,noite,0,0,1,1,0,0,1,sabado,0,0.065872,4.999908,0,1
9,2,madrugada,2,1,6,9,7,59,0,sabado,0,0.178802,13.556044,110,1
15,1,tarde,0,2,3,5,5,58,0,sexta-feira,0,0.2974,22.547722,98,1
33,1,madrugada,4,0,4,8,4,317,2,sexta-feira,2,0.221268,18.544193,0,1
96,5,madrugada,110,1,26,137,1,9,23,sexta-feira,142,1.468128,123.041875,0,1
17,1,madrugada,0,0,8,8,5,35,0,sexta-feira,3,0.463574,38.851558,0,1
117,22,noite,6,3,151,160,35,1259,117,quinta-Feira,7,22.676306,1900.47146,0,0
98,2,madrugada,1,1,4,6,5,34,0,quinta-Feira,0,0.281051,23.554506,4,1
19,1,tarde,0,0,1,1,1,2,0,quarta-feira,0,0.051512,4.317167,0,0
2,1,tarde,0,0,2,2,2,6,0,quarta-feira,0,0.104443,8.7532,0,1
4,2,madrugada,0,0,3,3,1,72,0,quarta-feira,2,0.294574,24.687789,0,1
11,1,manha,0,0,1,1,1,10,0,terca-feira,0,0.053142,4.453724,0,1
8,2,madrugada,0,0,5,5,5,40,0,terca-feira,0,0.490235,41.085922,22,1
14,1,tarde,0,0,1,1,1,3,0,segunda-feira,0,0.057093,4.784848,0,1
19,1,madrugada,0,0,3,3,3,35,0,segunda-feira,0,0.160163,13.423712,0,1
9,1,madrugada,0,0,3,3,3,4,0,domingo,0,0.160742,13.472243,10,1
62,2,madrugada,0,0,8,8,4,35,2,domingo,2,0.855712,71.676697,341,1
25,3,noite,0,1,2,3,3,93,0,sabado,0,0.436514,36.563588,76,1
57,5,manha,2,13,27,42,23,1097,8,sexta-feira,2,4.193737,351.07826,116,0
11,1,madrugada,0,1,1,2,2,16,0,sexta-feira,0,0.113608,9.510666,0,1
21,2,noite,0,1,1,2,0,0,0,quinta-Feira,1,0.011945,1,0,0
11,1,noite,0,0,1,1,0,0,1,quarta-feira,0,0.04902,4.103949,0,1
14,4,madrugada,1,1,7,9,9,148,0,quarta-feira,0,0.216711,18.143117,0,1
15,3,tarde,0,0,3,3,0,0,0,terca-feira,3,0.383893,32.139625,0,1
12,1,madrugada,0,0,2,2,2,8,0,terca-feira,0,0.106447,8.901635,15,1
14,1,madrugada,0,0,2,2,2,32,0,segunda-feira,0,0.113051,9.45392,0,1
7,6,madrugada,0,0,8,8,4,40,4,segunda-feira,0,0.848465,70.95344,26,1
7,2,noite,0,0,4,4,4,22,0,domingo,0,0.418441,34.992385,28,1
55,2,noite,0,2,7,9,4,111,0,domingo,5,0.567447,47.453124,0,1
4,1,tarde,0,0,2,2,2,12,0,domingo,0,0.104921,8.774092,0,1
3,8,madrugada,0,0,5,5,5,38,0,domingo,0,0.560097,46.838482,6,1
9,1,madrugada,1,1,1,3,3,18,0,sabado,0,0.116515,9.72591,62,1
22,1,noite,0,0,1,1,0,0,1,sexta-feira,0,0.046948,3.918934,0,0
9,1,noite,0,1,5,6,6,9,0,sexta-feira,0,0.327155,27.30876,65,1
12,1,manha,0,0,2,2,2,2,0,sexta-feira,0,0.111468,9.304622,2,1
20,3,madrugada,0,0,1,1,1,139,0,quarta-feira,0,0.15614,13.033528,0,0
14,2,madrugada,0,2,5,7,3,27,3,quarta-feira,1,0.444514,37.10505,0,1
11,2,noite,0,0,2,2,2,20,0,terca-feira,0,0.229306,19.140964,0,0
30,2,noite,0,0,3,3,3,10,0,terca-feira,0,0.327453,27.333646,16,1
35,1,tarde,0,0,1,1,0,0,0,terca-feira,1,0.053071,4.430017,0,1
43,2,madrugada,0,0,1,1,1,7,0,domingo,0,0.109188,9.099957,0,1
33,2,madrugada,0,2,17,19,14,190,3,sabado,1,1.060627,88.296742,0,1
161,4,madrugada,0,0,2,2,2,35,0,sexta-feira,0,0.165781,13.8012,0,1
2,1,madrugada,0,0,4,4,4,13,0,sexta-feira,0,0.220551,18.360817,0,1
5,2,madrugada,0,0,2,2,2,4,0,sexta-feira,0,0.21524,17.918629,39,1
18,1,madrugada,0,0,4,4,3,50,0,quinta-Feira,1,0.220358,18.345007,0,1
6,2,madrugada,0,1,1,2,2,4,0,quinta-Feira,0,0.21901,18.223103,14,1
8,1,madrugada,0,0,3,3,2,6,0,quarta-feira,1,0.162753,13.5421,306,1
21,2,noite,0,1,2,3,2,78,0,terca-feira,1,0,0,0,1
15,1,tarde,0,0,1,1,1,2,0,terca-feira,0,0.060055,4.993991,0,1
11,1,noite,0,0,3,3,3,7,0,segunda-feira,0,0.15983,13.292191,0,1
3,41,tarde,0,0,3,3,2,337,0,segunda-feira,1,3.52211,292.914173,0,1
92,2,tarde,0,0,2,2,2,78,0,segunda-feira,0,0.218558,18.176223,0,1
3,4,tarde,0,0,3,3,3,32,0,segunda-feira,0,0.502473,41.676871,7,1
10,2,madrugada,0,0,3,3,1,5,0,segunda-feira,2,0.223391,18.538938,0,1
33,2,tarde,1,1,22,24,23,201,2,domingo,0,1.338607,111.089806,60,1
16,1,madrugada,0,2,3,5,2,24,3,domingo,0,0.260008,21.577846,0,1
2,2,madrugada,0,0,2,2,2,32,0,domingo,0,0.192619,15.985273,0,1
4,1,madrugada,1,0,3,4,4,180,0,domingo,0,0.162713,13.503381,0,1
7,1,noite,0,0,6,6,6,166,0,sabado,0,0.344035,28.551188,0,1
2,1,noite,0,0,2,2,2,12,0,sabado,0,0.107611,8.93052,0,1
8,2,tarde,0,0,6,6,5,104,1,sabado,0,0.646233,53.630303,0,1
15,2,manha,6,0,0,6,1,123,0,sabado,5,0,0,0,1
36,6,tarde,0,3,4,7,6,304,1,sexta-feira,0,0.180479,15.029311,0,1
24,3,tarde,1,0,2,3,3,144,0,segunda-feira,0,0,0,25,1
28,4,madrugada,0,0,2,2,0,0,0,domingo,2,0.052747,4.395053,0,1
10,1,noite,0,0,1,1,0,0,0,sabado,1,0.056395,4.699001,0,0
4,3,noite,0,0,1,1,0,0,0,sabado,1,0.177168,14.76211,0,1
42,1,noite,0,0,1,1,1,5,0,sabado,0,0.058,4.832697,0,0
8,2,noite,0,0,4,4,4,110,0,sabado,0,0.428343,35.69076,0,0
32,1,noite,0,0,1,1,1,3,0,sabado,0,0.049327,4.11011,0,1
34,1,noite,0,0,1,1,0,0,1,sabado,0,0.055484,4.623072,0,1
24,1,tarde,0,0,0,0,0,0,1,sabado,0,0,0,0,1
5,1,tarde,0,0,1,1,0,0,0,sabado,1,0.059025,4.918108,0,1
17,2,madrugada,0,1,1,2,2,14,0,sexta-feira,0,0.224537,18.698933,44,1
12,1,madrugada,0,0,5,5,3,5,2,sexta-feira,0,0.264285,22.008997,0,0
7,1,madrugada,0,0,2,2,2,4,0,quinta-Feira,0,0.115892,9.651177,15,1
44,2,noite,0,0,3,3,3,8,0,quarta-feira,0,0.280352,23.334212,32,1
30,2,manha,0,0,8,8,4,9,0,quarta-feira,4,0.839839,69.901249,132,1
18,2,noite,0,0,1,1,1,36,0,terca-feira,0,0.110424,9.190825,0,1
21,1,tarde,0,0,4,4,4,13,0,terca-feira,0,0.218082,18.151336,0,1
15,1,madrugada,0,0,3,3,0,0,3,terca-feira,0,0.155634,12.953699,0,1
10,1,noite,0,0,1,1,0,0,1,segunda-feira,0,0.056624,4.697585,0,1
2,1,noite,0,0,2,2,2,6,0,segunda-feira,0,0.1034,8.596383,0,1
13,2,noite,0,0,1,1,0,0,1,segunda-feira,0,0.100524,8.339528,0,1
48,1,noite,0,0,1,1,0,0,1,segunda-feira,0,0.049763,4.128402,0,1
62,3,noite,0,0,1,1,1,32,0,sabado,0,0.06017,4.991757,0,1
3,6,noite,0,1,76,77,6,102,69,quinta-Feira,2,4.787758,398.03771,0,0
21,1,tarde,0,0,1,1,0,0,0,quarta-feira,1,0.058596,4.871446,0,1
72,5,tarde,0,0,6,6,1,1,4,terca-feira,1,0.384659,31.979197,0,1
40,1,tarde,0,0,1,1,0,0,0,terca-feira,1,0.053411,4.440388,0,1
10,1,noite,1,1,2,4,0,0,3,quarta-feira,1,0.158376,13.153636,0,1
43,1,tarde,0,0,3,3,2,14,1,quarta-feira,0,0.165184,13.719004,0,1
8,1,tarde,0,0,1,1,1,2,0,segunda-feira,0,0.056117,4.655548,0,1
36,9,manha,0,2,15,17,18,1088,0,segunda-feira,0,4.290612,356.349504,297,1
9,2,manha,2,4,19,25,16,384,8,sabado,1,1.520002,126.241147,44,1
8,2,madrugada,0,0,2,2,2,80,0,sabado,0,0.218044,18.109316,10,1
11,1,madrugada,0,1,1,2,2,13,0,sabado,0,0.114602,9.507515,0,1
118,3,tarde,0,1,5,6,5,44,0,sexta-feira,1,0.364569,30.244951,88,1
11,1,madrugada,0,0,1,1,1,3,0,sexta-feira,0,0.058244,4.832017,0,1
7,1,noite,0,0,2,2,2,4,0,quarta-feira,0,0.113151,9.387176,0,1
55,1,tarde,0,0,4,4,4,56,0,quarta-feira,0,0.225456,18.704042,0,1
19,1,tarde,0,0,2,2,2,16,0,quarta-feira,0,0.110694,9.18322,0,1
21,1,tarde,0,0,3,3,0,0,3,quarta-feira,0,0.165807,13.755478,0,1
3,1,madrugada,0,0,1,1,0,0,0,quarta-feira,1,0.046736,3.875041,0,1
7,1,madrugada,0,0,1,1,0,0,1,quarta-feira,0,0.053554,4.440336,0,1
10,1,madrugada,0,0,2,2,2,6,0,quarta-feira,0,0.103519,8.583204,0,1
26,1,madrugada,0,0,2,2,1,2,0,quarta-feira,1,0.107459,8.90983,0,1
34,6,manha,0,0,5,5,3,173,2,terca-feira,0,0.053616,4.445553,0,1
35,2,tarde,0,0,1,1,0,0,1,segunda-feira,0,0.112274,9.309097,0,1
66,1,madrugada,1,2,2,5,2,11,3,domingo,0,0.218484,18.106161,0,1
14,1,tarde,0,0,2,2,2,10,0,sabado,0,0.110734,9.213409,0,1
64,1,manha,0,0,3,3,0,0,2,sexta-feira,1,0.144614,12.032337,0,1
51,2,madrugada,0,0,7,7,1,3,6,sexta-feira,0,0.391968,32.615652,0,1
66,2,madrugada,9,5,4,18,2,122,10,sexta-feira,7,0.914821,76.122274,0,1
9,1,noite,0,0,4,4,4,8,0,quinta-Feira,0,0.223581,18.603819,0,1
2,2,noite,1,0,5,6,6,360,0,quarta-feira,0,0.540625,44.989971,0,1
3,28,madrugada,0,0,7,7,6,231,0,quarta-feira,1,2.721721,226.500285,56,1
38,1,madrugada,0,3,7,10,0,0,10,domingo,0,0.530807,44.023226,0,1
19,3,noite,0,0,3,3,3,130,0,sabado,0,0.499249,41.405872,24,0
8,2,tarde,0,0,1,1,0,0,1,sabado,0,0.107404,8.90765,0,1
4,1,noite,0,0,2,2,2,72,0,quinta-Feira,0,0.110391,9.157402,0,1
8,1,madrugada,0,0,3,3,0,0,3,quinta-Feira,0,0.160362,13.302714,0,1
3,2,madrugada,2,0,19,21,18,99,7,quinta-Feira,0,1.971149,163.515729,41,1
16,1,noite,0,0,5,5,3,7,2,quarta-feira,0,0.271818,22.548533,0,0
7,2,madrugada,1,3,4,8,4,77,0,quarta-feira,4,0.757764,62.86026,0,1
3,1,madrugada,0,0,2,2,2,62,0,quarta-feira,0,0.115173,9.554129,0,1
74,2,madrugada,0,0,5,5,5,28,0,terca-feira,0,0.560648,46.484515,148,1
58,17,madrugada,0,0,4,4,0,0,4,terca-feira,0,0.814105,67.499183,0,1
8,3,madrugada,0,1,2,3,0,0,3,terca-feira,0,0.092497,7.660693,0,1
7,1,tarde,0,0,20,20,20,172,0,segunda-feira,0,1.015819,84.07891,0,1
10,3,tarde,0,2,1,3,3,142,0,segunda-feira,0,0,0,0,1
11,1,madrugada,0,0,6,6,0,0,6,segunda-feira,0,0.319692,26.461783,0,1
