      appium ( )  projeto
      0.24 (   576)  test_cases_per_kloc
      0.24 (   203)  prior_interaction_issue_events
      0.24 (   349)  team_size
      0.24 (   696)  sloc
      0.24 (    19)  prior_interaction_commit_comments
      0.23 (   448)  requester_succ_rate
      0.23 (    15)  at_mentions_description
      0.23 (   345)  first_response
      0.22 (   247)  prior_interaction_issue_comments
      0.21 (   766)  stars
      0.21 (   665)  asserts_per_kloc
      0.2  (   196)  following
      0.2  (   620)  project_age
      0.19 (    24)  forward_links
      0.19 (   133)  intra_branch
      0.19 (   304)  followers
      0.19 (   159)  prior_interaction_commits
      0.18 (    33)  ci
      0.17 (    43)  integrator_follows_req
      0.14 (    92)  req_follows_integrator
      0.1  (   177)  watcher_project
      0.07 (    67)  prior_interaction_pr_comments
      0    (     0)  conflict
      hazelcast ( )  projeto
      0.66 (     2)  prior_interaction_commit_comments
      0.65 (    19)  files_deleted
      0.61 (   234)  files_name
      0.55 (   122)  new_entropy
      0.54 (   165)  commits_on_files_touched
      0.54 (    58)  files_added
      0.52 (     9)  forward_links
      0.52 (    26)  other_files
      0.51 (   142)  entropy_diff
      0.51 (    96)  hotness
      0.49 (    77)  test_churn
      0.48 (    85)  commits_to_hottest_file
      0.43 (    63)  prior_interaction_pr_events
      0.43 (     9)  intra_branch
      0.42 (    88)  prev_pullreqs
      0.41 (   156)  project_succ_rate
      0.39 (   198)  prev_pull_reqs_project
      0.38 (   119)  requester_succ_rate
      0.38 (   222)  created_at_day_turn
      0.37 (   163)  files_changed
      0.36 (   310)  description_length
      0.34 (    54)  first_response
      0.33 (    56)  prior_interaction_commits
      0.33 (   185)  src_churn
      0.33 (   214)  num_commits
      0.33 (    14)  following
      0.32 (   119)  asserts_per_kloc
      0.32 (     8)  main_team_member
      0.32 (   125)  perc_external_contribs
      0.32 (   107)  requester
      0.3  (   321)  created_at_week_day
      0.3  (   174)  files_modified
      0.3  (   141)  src_files
      0.3  (    33)  at_mentions_comments
