      appium ( )  projeto
      0.25 (   609)  prior_interaction_issue_events
      0.25 (    84)  files_added
      0.24 (   599)  team_size
      0.24 (   795)  project_age
      0.23 (   668)  prior_interaction_issue_comments
      0.23 (   255)  files_modified
      0.22 (   762)  requester_age
      0.21 (     5)  integrator_follows_req
      0.21 (   229)  other_files
      0.21 (    11)  files_deleted
      0.21 (   425)  prior_interaction_commits
      0.21 (   109)  asserts_per_kloc
      0.21 (    39)  req_follows_integrator
      0.21 (   246)  files_changed
      0.2  (   223)  sloc
      0.2  (   158)  main_team_member
      0.2  (  1353)  requester
      0.18 (   594)  stars
      0.17 (   341)  following
      0.16 (   505)  followers
      0.16 (   331)  test_lines_per_kloc
      0.16 (   124)  prior_interaction_pr_comments
      0.13 (    92)  watcher_project
      0.12 (    34)  ci
      0.12 (   277)  test_cases_per_kloc
      0.03 (    23)  prior_interaction_commit_comments
      0    (     0)  conflict
      0    (     0)  test_churn
      0    (     0)  doc_files
      scala-ide ( )  projeto
      0.54 (     1)  req_follows_integrator
      0.49 (   175)  files_name
      0.41 (   107)  hotness
      0.4  (   146)  commits_on_files_touched
      0.4  (   129)  entropy_diff
      0.39 (     3)  prior_interaction_commit_comments
      0.37 (   107)  commits_to_hottest_file
      0.36 (     5)  at_mentions_description
      0.36 (   188)  new_entropy
      0.34 (    84)  num_commits
      0.34 (    54)  at_mentions_comments
      0.33 (   114)  created_at_day_turn
      0.3  (   230)  description_length
      0.3  (    26)  intra_branch
      0.3  (   171)  files_modified
      0.3  (    51)  test_churn
      0.29 (   120)  files_added
      0.25 (   166)  src_files
      0.25 (   203)  files_changed
      0.24 (   135)  prev_pullreqs
      0.23 (   118)  workload
      0.23 (   207)  project_succ_rate
      0.23 (    99)  other_files
      0.22 (     5)  main_team_member
      0.22 (   258)  src_churn
      0.21 (    43)  files_deleted
      0.21 (   127)  prior_interaction_issue_comments
      0.21 (   107)  prior_interaction_issue_events
      0.21 (    47)  forward_links
      0.21 (   159)  first_response
      0.21 (   223)  sloc
      0.2  (   289)  created_at_week_day
      0.2  (   173)  requester_succ_rate
      0.18 (   184)  perc_external_contribs
      0.18 (    74)  team_size
      0.18 (   293)  prev_pull_reqs_project
      0.18 (   150)  stars
      0.17 (   123)  prior_interaction_pr_events
      0.17 (   188)  test_lines_per_kloc
      0.16 (    98)  followers
      0.16 (   195)  project_age
      0.15 (   178)  requester_age
      0.15 (   199)  asserts_per_kloc
      0.15 (   302)  requester
      0.14 (   155)  prior_interaction_commits
      0.13 (   168)  prior_interaction_pr_comments
      0.12 (    63)  following
      0.08 (    35)  watcher_project
      0    (     0)  integrator_follows_req
      0    (     0)  test_cases_per_kloc
      0    (     0)  ci
      0    (     0)  conflict
      0    (     0)  doc_files
      scala-js ( )  projeto
      0.62 (    42)  num_commits
      0.6  (    15)  at_mentions_comments
      0.55 (   118)  files_name
      0.54 (    61)  new_entropy
      0.53 (    46)  commits_on_files_touched
      0.5  (    47)  project_succ_rate
      0.5  (     5)  files_deleted
      0.49 (     4)  main_team_member
      0.49 (    19)  files_added
      0.48 (    46)  entropy_diff
      0.46 (    23)  first_response
      0.46 (    41)  files_changed
      0.46 (     1)  req_follows_integrator
      0.45 (    31)  test_lines_per_kloc
      0.45 (    49)  created_at_day_turn
      0.45 (     8)  team_size
      0.43 (    55)  src_churn
      0.43 (    70)  description_length
      0.42 (    48)  test_churn
      0.41 (    43)  commits_to_hottest_file
      0.4  (    26)  project_age
      0.39 (    35)  asserts_per_kloc
      0.39 (    47)  files_modified
      0.38 (    40)  perc_external_contribs
      0.38 (    87)  created_at_week_day
      0.38 (    28)  hotness
      0.38 (    58)  prev_pull_reqs_project
      0.36 (    52)  prev_pullreqs
      0.34 (     3)  ci
      0.34 (    50)  forward_links
      0.33 (     1)  other_files
      0.33 (    20)  followers
      0.31 (    24)  stars
      0.31 (    34)  sloc
      0.31 (    45)  requester
      0.27 (    31)  prior_interaction_issue_comments
      0.26 (    39)  src_files
      0.25 (    25)  requester_age
      0.24 (    19)  workload
      0.23 (    39)  requester_succ_rate
      0.22 (    25)  prior_interaction_commits
      0.21 (    41)  prior_interaction_pr_events
      0.2  (    13)  prior_interaction_commit_comments
      0.19 (     8)  following
      0.18 (    30)  prior_interaction_issue_events
      0.09 (     5)  watcher_project
      0.08 (    22)  prior_interaction_pr_comments
      0.07 (     1)  doc_files
      0    (     0)  conflict
      0    (     0)  test_cases_per_kloc
      0    (     0)  intra_branch
      0    (     0)  integrator_follows_req
      0    (     0)  at_mentions_description
      scikit-learn ( )  projeto
      0.59 (   455)  files_name
      0.44 (   586)  description_length
      0.4  (   390)  created_at_day_turn
      0.4  (   434)  num_commits
      0.39 (    97)  files_deleted
      0.38 (   532)  commits_on_files_touched
      0.38 (   200)  files_added
      0.38 (   653)  new_entropy
      0.38 (   360)  files_changed
      0.37 (   630)  entropy_diff
      0.36 (   471)  commits_to_hottest_file
      0.36 (    66)  at_mentions_description
      0.36 (   790)  created_at_week_day
      0.36 (   418)  files_modified
      0.35 (   381)  src_files
      0.35 (   140)  forward_links
      0.34 (   359)  test_churn
      0.34 (   529)  hotness
      0.34 (    30)  doc_files
      0.33 (   571)  src_churn
      0.28 (    61)  other_files
      0.26 (  1423)  requester
      0.25 (   734)  prev_pull_reqs_project
      0.25 (   568)  perc_external_contribs
      0.25 (   369)  at_mentions_comments
      0.24 (   575)  sloc
      0.24 (   492)  test_cases_per_kloc
      0.23 (   286)  first_response
      0.23 (   273)  prev_pullreqs
      0.23 (   557)  test_lines_per_kloc
      0.23 (   751)  workload
      0.22 (   267)  requester_succ_rate
      0.22 (    28)  main_team_member
      0.22 (   600)  asserts_per_kloc
      0.21 (   353)  team_size
      0.21 (   727)  project_succ_rate
      0.21 (   236)  prior_interaction_issue_events
      0.21 (   239)  prior_interaction_issue_comments
      0.2  (   429)  project_age
      0.2  (   478)  stars
      0.2  (   273)  followers
      0.2  (   263)  prior_interaction_commits
      0.19 (    58)  prior_interaction_commit_comments
      0.18 (   357)  requester_age
      0.18 (   238)  prior_interaction_pr_events
      0.18 (    50)  integrator_follows_req
      0.17 (    63)  req_follows_integrator
      0.15 (   199)  prior_interaction_pr_comments
      0.13 (    69)  ci
      0.12 (    72)  intra_branch
      0.11 (   259)  following
      0.1  (    35)  watcher_project
      0    (     0)  conflict
      vagrant ( )  projeto
      0.53 (   201)  files_name
      0.46 (   930)  requester
      0.4  (   139)  num_commits
      0.4  (   126)  files_changed
      0.4  (   334)  description_length
      0.37 (    82)  forward_links
      0.37 (    53)  test_churn
      0.36 (   226)  created_at_day_turn
      0.36 (    58)  other_files
      0.36 (    61)  files_added
      0.36 (    50)  doc_files
      0.35 (   382)  created_at_week_day
      0.35 (   413)  new_entropy
      0.34 (   272)  hotness
      0.33 (   376)  entropy_diff
      0.33 (   308)  src_churn
      0.33 (   264)  commits_to_hottest_file
      0.33 (   151)  files_modified
      0.32 (   285)  commits_on_files_touched
      0.32 (   123)  src_files
      0.32 (    46)  requester_succ_rate
      0.31 (    12)  files_deleted
      0.31 (   279)  perc_external_contribs
      0.31 (    70)  prior_interaction_issue_events
      0.29 (   131)  at_mentions_comments
      0.29 (    98)  prev_pullreqs
      0.29 (   308)  workload
      0.29 (   394)  project_succ_rate
      0.29 (    11)  at_mentions_description
      0.28 (    81)  prior_interaction_pr_events
      0.27 (   210)  first_response
      0.27 (   203)  test_lines_per_kloc
      0.26 (   187)  asserts_per_kloc
      0.25 (   469)  prev_pull_reqs_project
      0.24 (    82)  prior_interaction_issue_comments
      0.24 (   193)  test_cases_per_kloc
      0.24 (   193)  following
      0.23 (   367)  sloc
      0.22 (   228)  requester_age
      0.22 (   393)  stars
      0.22 (   349)  project_age
      0.21 (   201)  team_size
      0.21 (   184)  followers
      0.2  (   110)  ci
      0.19 (    70)  prior_interaction_commits
      0.18 (    42)  watcher_project
      0.18 (     5)  prior_interaction_pr_comments
      0.18 (     4)  prior_interaction_commit_comments
      0.17 (    22)  intra_branch
      0.16 (    38)  req_follows_integrator
      0.13 (    38)  main_team_member
      0    (     0)  conflict
      0    (     0)  integrator_follows_req
