@relation 'scala-js-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R1,4,48,53'

@attribute created_at_week_day {domingo,quinta-Feira,quarta-feira,segunda-feira,terca-feira,sexta-feira,sabado}
@attribute forward_links {true,false}
@attribute prior_interaction_pr_events numeric
@attribute status {0,1}

@data
quarta-feira,false,199,1
quarta-feira,false,197,1
quarta-feira,false,196,1
terca-feira,false,186,1
terca-feira,false,185,1
terca-feira,false,199,1
terca-feira,false,181,1
terca-feira,false,180,1
terca-feira,false,179,1
segunda-feira,false,178,1
segunda-feira,false,177,1
segunda-feira,false,175,1
domingo,false,192,1
sabado,false,197,1
sabado,false,196,1
sabado,false,196,1
sabado,false,197,1
sabado,false,176,1
sabado,false,196,1
sabado,false,197,1
sexta-feira,false,173,1
sexta-feira,false,196,1
sexta-feira,false,169,1
sexta-feira,false,168,1
quinta-Feira,false,166,1
quinta-Feira,false,165,1
quarta-feira,false,201,1
quarta-feira,false,162,1
quarta-feira,false,202,1
quarta-feira,false,201,1
terca-feira,false,206,1
segunda-feira,false,159,1
sexta-feira,false,159,0
quinta-Feira,false,156,1
quinta-Feira,true,155,1
quarta-feira,false,153,1
quarta-feira,false,150,1
quarta-feira,false,147,1
terca-feira,false,144,1
terca-feira,false,144,1
terca-feira,false,143,1
segunda-feira,false,145,1
sexta-feira,false,149,1
quinta-Feira,false,230,1
quinta-Feira,false,145,1
terca-feira,false,143,1
segunda-feira,false,142,1
segunda-feira,false,141,1
domingo,false,228,1
quinta-Feira,false,230,1
quarta-feira,false,140,1
quarta-feira,false,229,1
quarta-feira,false,228,1
terca-feira,false,225,1
terca-feira,false,137,1
terca-feira,false,222,1
terca-feira,false,219,1
segunda-feira,false,218,1
segunda-feira,false,215,1
segunda-feira,false,212,1
segunda-feira,false,135,1
domingo,false,133,1
sabado,false,210,1
sexta-feira,false,208,1
sexta-feira,false,132,1
quinta-Feira,false,131,1
quinta-Feira,false,129,0
quarta-feira,false,206,1
terca-feira,false,204,1
segunda-feira,false,129,1
segunda-feira,false,127,1
segunda-feira,false,126,1
sabado,false,203,1
quinta-Feira,false,136,1
quarta-feira,false,136,1
quarta-feira,false,135,1
quarta-feira,false,211,1
quarta-feira,false,210,1
terca-feira,false,133,1
terca-feira,false,131,1
terca-feira,false,130,1
terca-feira,false,207,1
segunda-feira,false,208,1
segunda-feira,false,206,1
sexta-feira,false,130,0
quinta-Feira,false,130,1
quinta-Feira,false,204,1
quinta-Feira,false,128,1
quarta-feira,false,125,1
terca-feira,false,203,1
terca-feira,false,123,1
terca-feira,false,122,1
segunda-feira,false,120,1
segunda-feira,false,118,1
segunda-feira,false,199,1
segunda-feira,false,198,1
sabado,false,197,1
sexta-feira,false,196,1
quinta-Feira,false,195,1
quarta-feira,false,193,1
terca-feira,false,193,1
terca-feira,false,10,1
terca-feira,false,190,1
segunda-feira,false,187,1
segunda-feira,false,185,1
domingo,true,184,0
sexta-feira,false,184,1
sexta-feira,false,117,1
sexta-feira,false,115,1
sexta-feira,false,114,1
sexta-feira,false,113,1
quinta-Feira,false,180,1
quinta-Feira,false,179,1
quinta-Feira,false,178,1
quinta-Feira,false,177,1
quarta-feira,false,173,1
quarta-feira,false,109,1
quarta-feira,false,107,1
quarta-feira,false,171,1
quarta-feira,false,170,1
terca-feira,false,170,1
segunda-feira,false,6,1
segunda-feira,false,167,1
segunda-feira,false,103,1
sabado,false,101,1
sabado,false,0,0
sexta-feira,false,100,1
quarta-feira,false,99,1
terca-feira,false,96,1
sexta-feira,false,94,1
sexta-feira,false,11,1
quinta-Feira,false,89,1
quinta-Feira,false,19,1
quarta-feira,true,88,0
quarta-feira,false,157,1
quarta-feira,false,156,1
quarta-feira,false,153,1
terca-feira,false,86,1
terca-feira,false,84,1
terca-feira,false,82,1
segunda-feira,false,80,1
segunda-feira,false,146,1
segunda-feira,false,145,1
segunda-feira,false,142,1
segunda-feira,false,73,1
segunda-feira,false,72,1
segunda-feira,false,69,1
segunda-feira,false,138,1
domingo,true,18,1
domingo,false,131,1
domingo,false,9,1
domingo,false,8,1
sabado,false,129,1
sabado,false,128,1
sabado,false,127,1
sabado,true,125,0
sabado,false,124,0
sabado,false,121,1
sabado,false,65,1
sexta-feira,false,120,1
sexta-feira,false,117,1
sexta-feira,false,116,1
sexta-feira,true,115,0
sexta-feira,false,59,1
sexta-feira,false,57,1
quinta-Feira,true,55,0
quinta-Feira,false,54,1
quarta-feira,false,51,1
terca-feira,false,15,1
terca-feira,false,49,1
terca-feira,false,47,1
segunda-feira,false,46,1
segunda-feira,false,107,1
segunda-feira,false,14,1
sexta-feira,false,13,1
quinta-Feira,false,43,1
quarta-feira,false,0,1
quarta-feira,false,42,1
quarta-feira,false,41,1
segunda-feira,false,12,1
segunda-feira,false,40,1
segunda-feira,false,37,1
segunda-feira,false,9,1
domingo,false,7,1
sabado,false,9,1
sexta-feira,false,8,1
sexta-feira,false,36,1
sexta-feira,false,7,1
sexta-feira,false,5,0
quinta-Feira,false,1,1
quinta-Feira,true,0,0
quinta-Feira,false,1,1
quarta-feira,false,35,1
terca-feira,false,34,1
terca-feira,false,8,1
segunda-feira,false,32,0
domingo,false,0,0
sabado,false,3,1
sabado,false,1,0
sexta-feira,false,0,0
sexta-feira,false,6,1
quinta-Feira,false,31,1
quinta-Feira,false,5,1
quinta-Feira,true,61,0
quarta-feira,false,30,1
terca-feira,false,27,1
terca-feira,false,56,1
terca-feira,false,26,1
terca-feira,false,25,1
segunda-feira,false,24,1
segunda-feira,false,23,1
domingo,false,4,1
domingo,false,22,1
domingo,false,1,1
domingo,false,39,1
sabado,false,1,0
sexta-feira,false,21,1
quinta-Feira,false,20,1
quinta-Feira,false,0,1
terca-feira,false,0,1
sexta-feira,false,0,1
quinta-Feira,false,19,1
domingo,false,18,1
domingo,false,17,1
domingo,false,21,1
domingo,false,11,1
sexta-feira,false,10,1
sexta-feira,false,9,1
sexta-feira,false,8,1
quinta-Feira,false,7,1
quinta-Feira,false,6,1
quarta-feira,false,0,1
terca-feira,false,5,1
segunda-feira,false,3,1
sexta-feira,false,2,1
quinta-Feira,false,7,1
segunda-feira,false,6,1
sexta-feira,false,1,1
quinta-Feira,false,4,0
quinta-Feira,false,0,1
sabado,false,0,1
quarta-feira,false,3,1
segunda-feira,false,0,1
domingo,false,2,1
sexta-feira,false,1,1
quarta-feira,false,0,1
sexta-feira,false,3,1
terca-feira,false,2,1
terca-feira,false,1,1
segunda-feira,false,0,1
terca-feira,false,0,1
quinta-Feira,false,2,0
quarta-feira,false,1,0
segunda-feira,false,0,1
quarta-feira,false,0,1
