@relation 'rosdistro-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,8,33,44,52,53'

@attribute forward_links {false,true}
@attribute files_added numeric
@attribute project_age numeric
@attribute req_follows_integrator {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
false,0,1499,false,1,0
false,0,1499,false,0,0
false,0,1499,false,-1,0
false,0,1499,false,-1,1
false,0,1499,false,15,0
false,0,1499,false,25,0
false,0,1499,false,-1,0
false,0,1499,false,-1,1
false,0,1499,false,5,1
false,0,1499,false,-1,1
true,0,1499,false,7,0
false,0,1499,false,-1,1
false,0,1499,true,-1,1
false,0,1498,false,17,1
false,0,1498,false,-1,1
false,0,1498,false,6,0
true,0,1498,false,13,0
false,0,1498,false,-1,1
false,0,1498,true,-1,1
false,0,1498,false,-1,0
false,0,1498,false,2,0
false,0,1497,false,-1,1
false,0,1497,false,-1,1
false,0,1496,true,-1,1
false,0,1496,true,-1,1
false,0,1496,false,-1,1
false,0,1496,false,-1,1
false,0,1496,false,32,0
false,0,1495,true,222,1
false,0,1495,false,-1,1
false,0,1495,false,-1,1
false,0,1493,false,9,0
false,0,1493,false,16,0
false,0,1493,true,123,0
false,0,1493,false,-1,1
false,0,1493,false,-1,1
false,0,1493,true,211,0
false,0,1493,false,388,1
false,0,1493,false,392,1
false,0,1492,true,-1,1
false,0,1492,false,34,1
false,0,1492,false,2,1
false,0,1492,false,17,0
false,0,1492,false,113,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1492,false,1,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1492,false,-1,1
false,0,1491,true,-1,1
false,0,1491,true,-1,1
false,0,1491,false,460,1
false,0,1491,false,122,0
false,0,1491,false,123,1
false,0,1491,false,-1,1
false,0,1491,false,-1,1
false,0,1491,false,-1,1
false,0,1491,false,12,0
false,0,1491,false,1183,0
false,0,1490,false,2676,1
false,0,1490,false,2677,1
false,0,1490,false,2680,1
false,0,1490,false,0,1
false,0,1490,false,2685,1
false,0,1490,false,40,1
false,0,1490,false,26,1
false,0,1490,false,1,0
false,0,1490,false,10,1
false,0,1490,false,0,1
false,0,1490,false,5,1
false,0,1490,false,-1,1
false,0,1489,false,2,0
false,0,1489,false,-1,1
false,0,1489,false,96,1
false,4,1489,false,6,1
false,0,1489,false,-1,1
false,0,1489,false,-1,1
false,0,1489,false,-1,1
false,0,1488,false,11,1
false,0,1488,false,-1,1
false,0,1487,true,-1,1
false,0,1487,false,1,1
false,0,1487,false,3,1
false,0,1487,false,-1,1
false,0,1487,false,-1,1
false,0,1486,false,-1,1
false,0,1486,false,-1,1
false,0,1486,false,-1,1
false,0,1486,false,-1,1
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1485,true,-1,1
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1485,false,362,0
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1485,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,-1,1
false,0,1484,false,153,1
false,0,1484,false,79,1
false,0,1484,false,-1,1
false,0,1484,true,-1,1
false,0,1484,false,-1,1
false,0,1483,false,-1,1
false,0,1483,false,-1,1
false,0,1483,false,-1,1
false,0,1483,false,21,1
false,0,1483,false,22,1
false,0,1482,true,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1482,false,-1,1
false,0,1481,false,-1,1
false,0,1481,false,-1,1
false,0,1481,false,-1,1
false,0,1481,false,-1,1
false,0,1481,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1480,false,-1,1
false,0,1478,false,-1,1
false,0,1478,false,-1,1
false,0,1478,false,-1,1
false,0,1478,false,-1,1
false,0,1478,false,381,1
false,0,1477,true,-1,1
false,0,1477,false,4,1
false,0,1477,false,211,1
false,0,1477,true,-1,1
false,0,1477,false,1128,1
false,0,1476,false,-1,1
false,0,1476,true,-1,1
false,0,1476,false,-1,1
false,0,1476,false,-1,1
false,0,1476,true,-1,1
false,0,1476,true,-1,1
false,0,1475,false,-1,1
false,0,1475,false,-1,1
false,0,1475,true,-1,1
false,0,1475,true,-1,1
false,0,1475,false,7,1
false,0,1475,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1474,false,-1,1
false,0,1473,false,-1,1
false,0,1473,false,-1,1
false,0,1473,false,-1,1
false,0,1472,true,18,1
false,0,1472,true,-1,1
false,0,1472,false,-1,1
false,0,1472,false,-1,1
false,0,1471,false,12,1
false,0,1471,false,15,1
false,0,1471,false,18,1
false,0,1471,false,353,1
false,0,1471,false,366,1
false,0,1470,true,52,1
false,0,1470,false,19,1
false,0,1470,false,0,1
false,0,1470,false,4,1
false,0,1470,false,0,1
false,0,1470,false,61,1
false,0,1470,false,-1,1
false,0,1470,false,16,1
false,0,1469,false,5,1
false,0,1469,false,64,1
false,0,1469,false,66,1
false,0,1469,false,0,1
false,0,1469,false,0,1
false,0,1469,false,-1,1
false,0,1469,false,-1,1
false,0,1469,false,-1,0
false,0,1469,false,2,1
false,0,1469,false,3,1
false,0,1469,false,11,0
false,0,1469,false,-1,0
false,0,1469,false,3,1
false,0,1468,false,26,1
false,0,1467,false,20,1
false,0,1467,false,23,1
false,0,1467,false,26,0
false,0,1467,false,30,0
false,0,1467,false,3,1
false,0,1467,false,8,1
false,0,1466,false,215,1
false,0,1466,false,217,1
false,0,1466,false,223,1
false,0,1466,false,231,1
false,0,1466,true,1,1
false,0,1465,false,-1,1
false,0,1465,false,-1,1
false,0,1465,false,-1,1
false,0,1465,false,2,0
false,0,1464,false,-1,1
false,0,1464,false,-1,1
false,0,1464,false,13,0
false,0,1464,false,19,1
false,0,1464,false,-1,1
false,0,1464,false,-1,1
false,0,1463,false,-1,1
false,0,1463,false,-1,1
false,0,1463,false,-1,1
false,0,1463,false,-1,1
false,0,1463,false,-1,1
false,0,1463,false,41,0
false,0,1463,false,-1,1
false,0,1463,false,-1,1
false,0,1462,false,-1,1
false,0,1462,false,-1,1
false,0,1462,false,-1,1
false,0,1462,false,394,0
false,0,1462,false,-1,1
false,0,1462,true,15,1
false,0,1462,true,-1,1
false,0,1462,true,-1,1
false,0,1462,true,-1,1
false,0,1462,true,-1,1
false,0,1462,false,-1,1
