@relation 'pouchdb-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,14,17,36,44,53'

@attribute forward_links {false,true}
@attribute other_files numeric
@attribute new_entropy numeric
@attribute requester {pgte,greenkeeperio-bot,d0ugal,nolanlawson,daleharvey,adamlofts,tangollama,cdaringe,nickcolley,unpete,AntonioVdlC,tonylukasavage,iivvoo,garethbowen,Hypercubed,dahjelle,mroeder,sgenoud,beardicus,jacwright,bbenezech,anaran,pixelistik,willholley,KlausTrainer,Arslanbekov,fivetanley,daedlock,joshblour,RichiH,tmct,fiatjaf,mudcube,jerem,EuAndreh,wheresrhys,filoozom,garrensmith,wilk,lupomontero,rubensayshi,carloshanson,stephenlautier,bdchauvette,janraasch,swashcap,Charlotteis,mwksl,tohagan,colinskow,adamvert,ermouth,ntwcklng,scottmtp,omsmith,robertkowalski,denis-sokolov,nicolasbrugneaux,olafura,karolklp,mattbailey,Dashed,bedney,karlwestin,michalchochol,sirkitree,calvinmetcalf,kkirsche,jhs,victorkohl,slaskis,marten-de-vries,janl,nichoth,thriqon,suziwen,mainakae,yaronyg,dholth,AGBrown,jo,gr2m,viskin,alax,neojski,RichardLitt,sphaso,ronag,jjd314,oliviertassinari,yungchin,svnlto,cyrusbowman,ialbescu,jchris,tannerlinsley,tOkeshu,shimaore,slang800,tyler-johnson,JakeChampion,jez0990,rsutphin,BigBlueHat,gabrielnau,glynnbird,robertkeizer,lokeshj,anubes19,backspace,tomsun,KSchreyer,rudasn,jacargentina,cschwarz,webinista,runlevelsix,gitter-badger,yurtaev,vvo,ktarasz,azu,tomraithel,ahizzle,redgeoff,refractalize,runetvilum,frankrousseau,ssured,desertzebra,commandoline,PeterDaveHello,explorigin,ajkerrigan,dereke,guglie,redtrumpet,jprichardson,haustraliaer,bmihelac,klaemo,falmp,mdebski,yunhaia,qs44,adamshih,ig3,trokster,erikwaing,jtbarker,davedoesdev,valotas,krists,saubaer,vw52,virgie,sygi}
@attribute req_follows_integrator {false,true}
@attribute status {0,1}

@data
false,0,9.243956,beardicus,false,1
false,1,4.062027,greenkeeperio-bot,false,1
false,1,4.273726,greenkeeperio-bot,false,0
false,1,4.547213,greenkeeperio-bot,false,1
false,1,5.375987,nolanlawson,false,0
false,4,18.572679,nolanlawson,false,1
false,1,4.062027,greenkeeperio-bot,false,0
false,1,4.36833,greenkeeperio-bot,false,1
true,1,4.064607,greenkeeperio-bot,false,0
true,1,4.36833,greenkeeperio-bot,false,0
false,1,17.102051,daleharvey,false,0
false,1,4.064607,greenkeeperio-bot,false,1
false,1,4.070635,greenkeeperio-bot,false,0
false,0,4.576743,jacwright,false,1
false,0,8.325554,sgenoud,false,1
false,2,89.461872,nolanlawson,false,1
false,1,4.34717,greenkeeperio-bot,false,0
false,1,4.220925,greenkeeperio-bot,false,0
false,1,4.437325,greenkeeperio-bot,false,1
false,1,4.352237,greenkeeperio-bot,false,0
false,1,8.731787,greenkeeperio-bot,false,1
false,1,8.700387,greenkeeperio-bot,false,0
false,1,8.712089,greenkeeperio-bot,false,1
false,1,4.224378,greenkeeperio-bot,false,0
false,1,8.615436,greenkeeperio-bot,false,0
false,1,8.370925,greenkeeperio-bot,false,1
false,1,4.387996,nolanlawson,false,0
false,2,18.647195,daleharvey,false,1
false,1,8.41809,greenkeeperio-bot,false,0
false,1,8.451504,greenkeeperio-bot,false,0
false,0,0,nolanlawson,false,0
false,1,18.444583,nolanlawson,true,1
false,1,4.189004,greenkeeperio-bot,false,1
false,1,4.321793,greenkeeperio-bot,false,1
false,1,4.256954,greenkeeperio-bot,false,1
false,1,4.672931,greenkeeperio-bot,false,1
false,1,4.675952,greenkeeperio-bot,false,1
false,2,41.771277,nolanlawson,true,1
false,1,9.39208,nolanlawson,true,1
false,0,4.773433,daleharvey,false,1
false,0,9.64263,bbenezech,false,1
false,0,9.402845,nolanlawson,true,1
false,0,4.749906,anaran,false,1
false,1,4.319724,greenkeeperio-bot,false,1
false,2,4.041139,nolanlawson,true,1
false,1,4.32195,greenkeeperio-bot,false,1
false,1,4.295671,greenkeeperio-bot,false,1
false,0,9.094266,nolanlawson,false,1
false,0,56.014183,daleharvey,false,0
false,0,4.456654,pixelistik,false,1
false,1,4.262691,greenkeeperio-bot,false,0
false,0,0,nolanlawson,false,1
false,0,4.717339,nolanlawson,true,1
false,1,4.249244,greenkeeperio-bot,false,1
false,1,4.312933,greenkeeperio-bot,false,1
false,1,4.296799,greenkeeperio-bot,false,1
false,1,4.350194,greenkeeperio-bot,false,1
false,1,4.611739,greenkeeperio-bot,false,1
false,0,4.793443,nolanlawson,true,1
false,0,4.311356,willholley,false,0
false,1,18.833498,daleharvey,false,1
false,1,23.628951,nolanlawson,true,1
false,2,14.08306,nolanlawson,false,0
false,2,9.68942,nolanlawson,false,0
false,0,4.80209,daleharvey,false,1
false,0,13.951703,KlausTrainer,false,0
false,1,4.631797,daleharvey,false,1
false,0,8.982649,daleharvey,false,1
false,0,57.878408,nickcolley,true,1
false,0,9.514577,daleharvey,false,1
false,0,72.806598,Arslanbekov,false,1
false,2,54.922534,daleharvey,false,1
false,0,17.400396,willholley,false,1
false,0,4.601911,daleharvey,false,1
false,1,4.308915,greenkeeperio-bot,false,1
