@relation 'candlepin-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R4,24,27,33,50,52,53'

@attribute forward_links {false,true}
@attribute prev_pull_reqs_project numeric
@attribute sloc numeric
@attribute project_age numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
false,983,44345,1196,8,1441,1
false,982,44345,1195,21,1,1
false,981,44367,1195,21,4,1
false,979,44345,1194,112,1,1
false,978,44366,1191,121,4338,1
false,977,44338,1190,18,2,1
false,976,44345,1190,4,3,1
false,975,44342,1189,132,171,1
false,974,44342,1189,0,3,1
false,973,44342,1184,40,-1,1
false,972,44714,1177,137,203,1
false,971,44752,1177,137,70,1
false,970,44752,1177,35,4707,1
false,969,44695,1168,43,12704,1
false,968,44455,1168,138,2938,1
false,967,44752,1168,138,2631,1
false,966,44695,1168,138,1479,1
false,965,44695,1167,16,0,1
false,963,44699,1163,172,7362,1
false,962,44699,1163,171,-1,1
false,961,44699,1162,167,165,1
false,960,44699,1161,11,2,1
false,959,44699,1161,165,5,1
false,958,44699,1160,163,-1,1
false,957,44699,1159,10,0,0
false,956,44695,1159,4,3,1
false,955,44699,1156,155,3624,1
false,954,44699,1154,154,7002,1
false,953,44694,1152,169,37,1
false,952,44667,1148,145,5680,1
false,951,44667,1148,145,1068,1
false,950,44667,1148,170,-1,1
false,949,44651,1147,164,2,1
false,948,44651,1147,47,-1,1
false,947,44651,1146,163,-1,1
false,946,44614,1142,50,4688,1
false,945,44614,1140,169,-1,1
false,944,44614,1140,168,-1,1
false,943,44614,1139,159,5,1
false,942,44614,1139,140,64,1
false,941,44614,1138,157,-1,1
false,940,44614,1138,136,22,1
false,939,44614,1135,152,4715,1
false,938,44583,1134,167,-1,1
false,937,44583,1134,51,23,1
false,936,44583,1134,128,166,1
false,935,44582,1134,0,3,1
false,934,44573,1133,130,237,1
false,933,44572,1132,156,22,1
false,932,44571,1132,41,114,1
false,931,44572,1131,128,1461,1
false,930,44563,1127,38,1148,1
false,929,44571,1126,163,7303,1
false,928,44563,1125,164,15,1
false,927,44563,1125,161,-1,1
false,926,44611,1119,62,45,1
false,925,44611,1118,163,1639,1
false,924,44611,1117,161,-1,1
false,923,44611,1114,165,-1,1
false,922,44593,1114,149,-1,1
false,921,44593,1113,163,879,1
false,920,44593,1113,164,-1,1
false,919,44593,1113,163,-1,1
false,918,44593,1111,47,-1,1
false,917,44593,1110,168,4346,1
false,916,44593,1110,166,1306,1
false,915,44593,1106,183,-1,1
false,914,44517,1105,41,70,1
false,913,44514,1105,181,9,1
false,912,44514,1105,152,172,1
false,911,44514,1105,69,20578,1
false,910,44514,1104,178,1372,1
false,909,44514,1103,177,2500,1
false,908,44514,1100,182,-1,1
false,907,44487,1100,181,5,1
false,906,44487,1100,177,282,1
false,905,43585,1099,64,-1,1
false,904,43585,1098,187,1410,1
false,903,43585,1098,176,1365,1
false,902,43585,1098,175,-1,1
false,901,43189,1093,177,5413,1
