@relation 'scala-ide-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,45,52,53'

@attribute created_at_day_turn {noite,tarde,manha,madrugada}
@attribute forward_links {false,true}
@attribute files_added numeric
@attribute integrator_follows_req {false,true}
@attribute first_response numeric
@attribute status {0,1}

@data
madrugada,false,0,false,1065,1
noite,false,0,false,15,1
tarde,false,0,false,0,1
noite,true,0,false,13,0
tarde,false,0,false,5,1
noite,false,0,false,18,1
madrugada,false,8,false,17,1
madrugada,false,72,false,16,1
madrugada,false,0,false,17,1
noite,false,0,false,27,1
noite,false,0,false,16,1
madrugada,false,0,false,11,1
noite,false,0,false,1,1
manha,false,1,false,0,1
noite,false,0,false,15,1
tarde,false,0,false,16,1
tarde,false,0,false,15,1
tarde,false,0,false,16,1
noite,false,0,false,0,1
tarde,true,234,false,31,0
tarde,false,0,false,4,1
noite,false,0,false,3,1
madrugada,false,0,false,16,1
madrugada,false,0,false,17,1
tarde,false,0,false,3,1
madrugada,false,12,false,0,0
noite,false,1,false,0,1
noite,false,1,false,15,1
noite,false,0,false,17,0
noite,false,0,false,3,1
noite,false,0,false,15,1
madrugada,false,0,false,0,1
noite,false,24,false,355,1
noite,false,0,false,1,1
tarde,false,0,false,4,1
noite,false,0,false,0,1
madrugada,false,0,false,16,1
madrugada,false,0,false,22,1
madrugada,false,2,false,17,1
tarde,false,0,false,5,1
madrugada,false,0,false,15,1
tarde,false,0,false,2,1
madrugada,false,0,false,16,1
madrugada,false,0,false,16,0
tarde,false,0,false,1,1
noite,false,0,false,15,1
tarde,false,4,false,0,1
noite,false,0,false,15,1
tarde,false,0,false,16,1
manha,false,0,false,29,1
manha,false,0,false,29,1
manha,false,0,false,16,1
manha,false,1,false,0,1
tarde,true,0,false,7,0
tarde,true,0,false,0,0
tarde,false,0,false,107,1
noite,false,0,false,15,1
tarde,false,3,false,0,1
tarde,false,0,false,15,1
noite,false,0,false,1,1
tarde,false,0,false,16,1
tarde,false,0,false,15,1
tarde,false,0,false,16,1
noite,false,0,false,15,1
tarde,true,268,false,0,0
tarde,false,0,false,14,1
noite,false,0,false,0,1
tarde,false,0,false,15,1
tarde,false,1,false,0,1
tarde,false,0,false,19,0
noite,false,0,false,15,1
tarde,false,1,false,4,1
tarde,false,0,true,15,1
tarde,false,2,false,15,1
noite,true,16,false,16,1
noite,false,0,false,15,1
tarde,false,0,false,37,1
tarde,false,4,false,3,1
tarde,false,1,false,97,1
manha,false,0,false,296,1
tarde,false,0,false,16,1
tarde,false,2,false,15,1
tarde,false,9,false,40,1
noite,true,0,false,15,1
tarde,true,0,false,261,1
noite,false,0,false,16,1
tarde,false,0,false,7,0
tarde,false,0,false,0,1
tarde,false,0,false,16,1
manha,false,0,false,15,1
noite,false,0,false,48,1
noite,false,3,false,29,1
tarde,false,13,false,1347,1
tarde,false,2,false,-1,0
tarde,true,0,false,14,0
tarde,false,0,false,23,1
tarde,false,0,false,-1,0
tarde,false,1,false,2,1
madrugada,false,1,false,1,1
tarde,false,0,false,12,1
noite,true,0,false,25,0
noite,true,0,false,14,1
noite,false,1,false,13,1
noite,false,0,false,26,1
tarde,false,0,false,5,1
noite,false,0,false,13,1
noite,false,0,false,25,1
noite,false,0,false,4,1
tarde,false,0,false,13,1
tarde,false,0,false,14,1
tarde,false,0,false,7,1
noite,false,0,false,1,1
noite,false,0,false,13,1
noite,false,0,false,14,1
tarde,false,0,false,13,1
tarde,false,0,false,24,0
tarde,false,0,false,13,1
tarde,false,1,false,14,1
madrugada,false,0,false,14,1
tarde,false,0,false,14,1
madrugada,true,0,false,13,1
noite,false,0,false,15,1
madrugada,false,0,false,17,1
madrugada,false,99,false,13,1
noite,true,1,false,14,1
tarde,false,0,false,43,1
noite,false,3,false,0,1
madrugada,false,0,false,13,1
noite,false,11,false,0,1
tarde,false,0,false,14,1
tarde,true,37,false,13,1
tarde,false,3,false,14,1
tarde,false,0,false,13,1
tarde,false,8,false,9,1
tarde,false,4,false,13,1
madrugada,false,0,false,13,1
noite,false,1,false,13,1
noite,false,0,false,13,1
tarde,false,0,false,13,0
manha,false,0,false,9,1
madrugada,true,6,false,13,0
manha,false,0,false,13,1
noite,false,0,false,43,1
tarde,false,3,false,30,1
noite,false,0,false,13,1
madrugada,false,7,false,13,1
madrugada,false,0,false,15,1
tarde,false,0,false,14,1
noite,false,1,false,13,1
tarde,false,0,false,17,1
manha,false,102,false,10,1
tarde,false,0,false,13,1
tarde,false,0,false,13,1
noite,false,22,false,13,1
tarde,false,0,false,13,1
madrugada,true,22,false,15,1
noite,false,19,false,14,1
noite,false,0,false,0,1
noite,false,0,false,6,1
manha,false,60,false,233,1
noite,false,0,false,12,1
madrugada,false,0,false,12,1
tarde,false,20,true,12,1
tarde,false,0,false,13,0
manha,false,11,false,0,1
tarde,false,0,false,12,1
tarde,true,7,false,0,0
tarde,false,0,false,0,1
noite,true,22,false,5,0
tarde,false,0,false,2762,1
madrugada,false,0,false,12,0
tarde,false,5,false,82,1
tarde,false,0,false,12,1
tarde,false,2,false,9,1
tarde,false,0,false,12,1
tarde,false,0,false,12,1
tarde,false,6,false,9,1
tarde,false,0,false,12,1
madrugada,false,1,false,2,0
noite,false,0,false,13,1
noite,true,16,false,6,0
tarde,false,0,false,41,1
tarde,false,0,false,22,0
tarde,false,0,false,17,1
noite,false,0,true,14,1
tarde,false,0,false,28,1
tarde,false,0,false,13,1
tarde,false,0,false,16,1
tarde,false,0,false,12,1
tarde,false,0,false,12,1
tarde,false,0,false,11,1
tarde,false,4,false,13,1
noite,false,4,false,16,1
tarde,true,41,false,81,1
noite,false,2,false,10,1
tarde,false,1,false,2,1
noite,true,4,false,33,0
noite,false,42,false,10,1
noite,false,0,false,0,1
tarde,true,0,false,5,0
noite,false,8,true,0,1
madrugada,false,197,false,0,0
noite,false,25,false,11,0
madrugada,false,0,false,10,1
noite,false,0,false,12,1
noite,false,7,false,10,1
noite,false,1,false,1,1
madrugada,false,0,false,23,1
madrugada,false,1,false,10,0
noite,false,0,false,10,1
tarde,false,0,true,10,0
tarde,false,0,true,10,1
madrugada,false,5,false,0,1
tarde,false,0,false,11,1
tarde,false,1,true,2,0
tarde,true,0,true,12,0
tarde,false,0,false,10,1
noite,false,0,false,0,1
tarde,false,0,false,11,1
noite,false,4,false,458,1
noite,false,1,false,10,1
tarde,false,0,false,86,1
tarde,false,0,false,10,1
manha,false,0,false,142,1
tarde,false,0,false,14,1
noite,false,0,false,11,1
tarde,false,4,false,10,1
tarde,false,0,false,20,1
noite,false,0,false,7,1
noite,false,0,false,10,1
noite,false,0,false,13,1
noite,false,2,false,11,1
manha,true,4,false,11,1
tarde,false,0,false,9,1
noite,false,0,false,9,1
tarde,false,4,false,10,0
tarde,false,0,false,25,1
tarde,false,2,false,17,1
tarde,false,1,false,10,1
madrugada,false,44,false,0,1
noite,false,1,false,10,1
noite,false,13,false,31,0
tarde,true,23,false,0,0
