@relation 'node-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R10,30,36,38,40,42,48,50,52,53'

@attribute files_modified numeric
@attribute asserts_per_kloc numeric
@attribute requester {eversojk,bengl,TheAlphaNerd,Fishrock123,jasnell,evanlucas,trevnorris,thlorenz,mhdawson,JacksonTian,lpinca,gareth-ellis,santigimeno,kapouer,drywolf,benjamingr,claudiorodriguez,ofrobots,tomreece,lance,bsegault,cjihrig,WebReflection,Trott,orangemocha,jbergstroem,matthewloring,thefourtheye,joaocgreis,fast0490f,FB55,rvagg,dirceu,kevinoid,mithun-daa,pittyplatsch,alexpenev-s,shigeki,svozza,watilde,phillipj,fanatid,luoziyong,fansworld-claudio,thekemkid,AndreasMadsen,whitlockjc,geek,gnash48,erg0dic,stevemao,mscdex,therewillbecode,axvm,gibm,bnoordhuis,RWOverdijk,entertainyou,othiym23,targos,princejwesley,pmuellr,omsmith,mike182uk,stefanmb,silverwind,arnav-gudibande,robertchiras,eljefedelrodeodeljefe,strawbrary,indutny,zdebyman,firedfox,billautomata,DungarMT,mcollina,zbinlin,kthelgason,vkurchatkin,ronkorving,sam-github,dnalborczyk,chrisdew,SeekTheError,kahwee,Shambhavi,estliberitas,nettofarah,pinggod,glenholmes,zkat,jray319,silentroach,kaero,Ralt,hgwood,jrit,andrewmash,mpotra,mjcuva,MrOutput,chinedufn,tristanls,dimhotepus,IgorKlopov,vaibhav93,NoahRoseLedesma,Avinash-Raj,mikeal,TriAnMan,arlolra,BridgeAR,juliepagano,braydonf,agl,ChALkeR,ncopa,imyller,iarna,a0viedo,ojss,dcposch,tflanagan,JungMinu,raineroviir,osmanager,aayn,Necromos,pra85,piepmatz,romankl,focusaurus,fdaciuk,TimothyGu,techjeffharris,lumberj,dturing,Cangit,chicoxyzzy,Qard,Jimbly,drewfish,obastemur,Chris911,felixfbecker,seokju-na,garrows,wKich,Nibbler999,kunalspathak,drjokepu,richardlau,cusspvz,pgeiss,luckduvip,MichaelTheriot,thejefflarson,exinfinitum,bryce-gibson,littledan,kohei-takata,danielsan,iWuzHere,misterdjules,zeusdeux,greenjava,zoubin,sung-su,saru95,feross,rmg,Sequoia,tomgco,daguej,barisvelioglu,richardsun29,davidvgalbraith,mafintosh,ChuckLangford,ryansobol,designfrontier,jfromaniello,bripkens,iamchenxin,jsheely,dschenkelman,nikolas,juancho1,mbarinov,setun-90,saadq,addaleax,woollybogger,Sup,ashleygwilliams,dnakamura,nicholaswyoung,chrisJohn404,Xotic750,AdriVanHoudt,skilledDeveloper,saghul,lmarkus,martinbark,gagern,yorkie,hidekiy,calvinmetcalf,joerg-krause,baloo,wurde,brycebaril,scottsb,vdemedes,Y--,jkrems,jonathanp,tangxinfa,jscissr,bsnote,gireeshpunathil,pabigot,gromnitsky,martfors,aredridel,TejasManohar,rifler,Zirak,lordjabez,srl295,yosuke-furukawa,minesworld,pmq20,jmm,DaftMonk,neilstuartcraig,thinkingdust,john-yan,hellopao,saquibkhan,hmalphettes,SPGB,mccraveiro,aks-,jas-,fredericosilva,zertosh,emilyaviva,rodmachen,suitupalex,usta,narqo,baslr,fernandezpablo85,birnam,zhangrenyang,mLuby,sitegui,ifdattic,darobin,domenic,Gum-Joe,PabloSuarez,micnic,Skomski,hemanth,calebboyd,reggi,hustxiaoc,dhodder,idoby,Martii,smith-kyle,fabiosantoscode,thorn0,dougshamoo,TooTallNate,MJefferson,pdilyard,jwueller,zyxar,brendanashworth,mareksrom,kulkarniankita,zcbenz,johannhof,sbourdelin,xiangshouding,PaulVI,brodybits,justinmchase,lfortin,mobinni,tjconcept,dgerber,mzgol,vaseker,joepie91,psharma1209,IonicaBizau,sevoma,abbr,DannyNemer,tunniclm,AhoyM,mtharrison,foliveira,daveboivin,agcolom,julianduque,viirya,akroeger1984,walkerlee,mnkhouri,charlierudolph,yoshokatana,saljam,joozek78,sambthompson,yjhjstz,jhamhader,sxa555,jasonkarns,mansona,bmeck,toddself,hertzg,socketpair,MattMS,alexrepin,skeggse,bahamas10,diversario,apechimp,jmdyck,itkoren,OleksandrChekhovskyi,wraithan,manvalls,nathan7,subzey,rlidwka,yury-s,yanxyz,martinheidegger,tellnes,3y3,monsanto,phersh,piscisaureus,Olegas,pierreinglebert,petschekr,mogadanez,sxyizhiren,dominictarr,webPapaya,m0ppers,davidtpate,skenqbx,MauriceButler,michalzagrodzki,joshgummersall,saarons,fsbatista,fhemberger,smikes,chrisdickinson,robertkowalski,mikemaccana,petkaantonov,maqnouch,ivan,enaqx,coderaiser,fastest963,ChrisYip,jomo,hoho,jekrb,standup75,danvarga,alexyursha,ajcrites,not-implemented,modeswitch,Gioyik,super-turbo,adrianblynch,tako-black,Frijol,kaspars,AlexKVal,phlco,coderhaoxin,jagoda,MayhemYDG,fengmk2,xoddong,connor4312,anio,mdarse,runeli,abbshr,Schmoopiie,fundon,laino,pesho,okuryu,blakmatrix,nkt,olov,bnb,MBullington,JCMais,SgtPooki,timoxley,nvcexploder,pmed,kenperkins,Havvy,reqshark,goto-bus-stop,shinnn,kevinmehall,emilyrose,uxp,e-jigsaw,jimmyhsu,charmander,thewazir,ceejbot,skaapgif,ryanseys,cfsghost,remixz,popomore,lllama,zerhacken,lxe,snostorm,sonewman,Demurgos,DsXack,ontouchstart,jonathanong,curtiszimmerman,mathiask88,3674823674252,seishun,a8m,pascalduez,wizicer,toastynerd,jray,sairion,qzaidi,bcbcb,drcapulet,mhart,jongyeol,pwnate,isaacs,MicTech,btd,qbit,ysmood,iamphill,RubenVerborgh,Zuckonit,mathiasbynens,haroldfredshort,chrisalley,jessecogollo,ruimarinho,fixe,crandmck,loyd,ziyunfei,caitp,Cydox,amir-s,rudi-cilibrasi,timruffles,markstos,gdi2290,teppeis,iankronquist,bajtos,rootslab,Jinkwon,algesten,srijs,alvynmcq,wizardzloy,bk2204,smcmurray,ghostbar,ahmdrefat,imjacobclark,leobalter,tkellen,kevinohara80,maraca,xjamundx,maxogden}
@attribute requester_succ_rate numeric
@attribute following numeric
@attribute main_team_member {false,true}
@attribute prior_interaction_pr_events numeric
@attribute prior_interaction_commits numeric
@attribute first_response numeric
@attribute status {0,1}

@data
160,390.576928,othiym23,0.148148,32,false,0,0,1,0
86,279.754633,targos,0.368421,7,true,20,113,2,0
2,279.754633,trevnorris,0.192308,24,true,21,79,16,1
2,279.741818,jasnell,0.145161,39,true,181,382,1,0
2,279.741818,evanlucas,0.6375,60,true,45,155,0,1
2,279.741818,princejwesley,0.2,29,false,4,15,855,0
1,279.741818,thefourtheye,0.268293,75,true,9,20,9,0
2,279.741818,bnoordhuis,0.790698,29,true,62,112,0,1
3,262.637166,trevnorris,0.196078,24,true,19,79,74,0
324,262.637166,pmuellr,0,5,true,0,1,28,1
3,279.812672,omsmith,0,3,true,2,18,42,0
1,279.804126,targos,0.351351,7,true,18,108,5,1
5,262.637166,TheAlphaNerd,0.243243,145,true,66,1539,3,0
0,271.544321,mike182uk,0,23,false,0,4,4,1
11,446.020871,rvagg,0.353234,17,true,83,486,575,0
3,271.544321,stefanmb,0.444444,17,true,6,17,367,0
2,271.544321,Trott,0.48227,41,true,288,652,16,1
1,271.535819,silverwind,0.137931,34,true,80,114,12,1
1,271.575072,arnav-gudibande,0,4,false,0,0,-1,0
1,271.575072,geek,0.153846,28,true,4,12,1,1
3,271.575072,robertchiras,0,0,false,0,0,79,0
3,390.576928,shigeki,0.166667,7,true,17,44,409,0
96,271.575072,ofrobots,0.315789,11,true,24,101,30,0
2,271.575072,trevnorris,0.18,24,true,17,73,4,1
9,446.020871,bnoordhuis,0.794393,29,true,62,113,164,0
3,271.575072,lance,0,11,true,0,2,27,1
0,271.575072,santigimeno,0.393939,8,true,19,90,5,0
1,271.575072,Trott,0.483986,41,true,287,637,386,0
2,271.575072,eljefedelrodeodeljefe,0.166667,43,true,16,32,630,0
1,271.575072,strawbrary,0,0,false,0,6,101,0
7,390.496065,bnoordhuis,0.793427,29,true,59,111,0,1
3,271.563105,cjihrig,0.333333,19,true,62,140,16,0
26,252.40401,TheAlphaNerd,0.25,145,true,66,1514,1,0
5,271.581525,indutny,0.181102,17,true,65,141,0,1
1,271.581525,bnoordhuis,0.792453,29,true,56,108,1,1
2,271.581525,zdebyman,0,0,false,0,0,29,0
2,271.581525,firedfox,0,11,false,0,5,45,1
18,271.581525,Trott,0.485714,41,true,286,632,1,0
2,271.594229,Trott,0.483871,41,true,284,634,84,1
1,390.496065,bnoordhuis,0.796209,29,true,57,103,2,0
49,446.020871,bnoordhuis,0.8,29,true,53,103,1,0
49,390.496065,bnoordhuis,0.803828,29,true,52,103,3,0
24,271.594229,bnoordhuis,0.802885,29,true,51,101,24,1
1,271.594229,billautomata,0,45,false,2,4,5,0
34,271.594229,indutny,0.18254,17,true,64,140,0,0
1,271.594229,DungarMT,0,0,false,0,0,16,1
1,271.589976,mhdawson,0.4375,4,true,11,19,738,1
1,271.589976,billautomata,0,45,false,0,0,73,0
1,271.589976,mscdex,0.157895,1,true,75,203,26,1
4,271.589976,geek,0.166667,28,false,2,6,13,0
2,271.589976,Fishrock123,0.560976,17,true,35,296,0,0
3,271.589976,mcollina,0.333333,281,true,15,29,3,1
2,271.57722,omsmith,0,3,true,1,11,0,0
1,271.57722,mcollina,375,281,true,14,27,146,0
2,271.573334,zbinlin,1,0,false,0,2,5,0
1,271.573334,kthelgason,0.5,26,true,4,27,4088,1
3,271.573334,vkurchatkin,0.114286,15,true,3,15,14,0
1,271.573334,evanlucas,0.632911,60,true,43,142,36,1
2,271.560577,ronkorving,0.285714,2,false,2,15,374,0
1,271.560577,Trott,0.482014,41,true,285,642,928,1
1,271.560577,Trott,0.483755,41,true,284,638,50,0
10,271.560577,Trott,0.481884,41,true,283,637,2208,1
1,271.542102,Trott,0.48,41,true,281,637,268,1
2,262.72451,rvagg,0.35,17,true,83,512,447,1
2,271.652874,sam-github,0.15,8,true,0,7,0,1
1,271.573183,Trott,0.478102,41,true,281,634,32,1
1,271.573183,mscdex,0.146667,1,true,74,199,29,1
2,271.573183,Trott,0.47619,41,true,281,628,71,1
33,271.573183,dnalborczyk,0,0,false,0,0,265,0
2,271.580111,omsmith,0,3,false,0,2,0,0
1,271.580111,Trott,0.474265,41,true,280,624,2,1
1,271.575859,chrisdew,0,18,false,1,2,122,1
1,271.555078,stefanmb,0.411765,17,true,5,11,1,1
1,271.555078,Trott,0.472325,41,true,279,624,5,1
8,271.555078,geek,0.181818,28,false,1,6,119,0
1,271.532245,cjihrig,0.338235,19,true,67,153,666,0
1,271.491674,SeekTheError,0,6,false,0,0,363,0
52,271.487422,Trott,0.47037,41,true,276,625,769,1
2,271.487422,Trott,0.468401,41,true,275,631,14,1
1,271.487422,TheAlphaNerd,0.257143,145,true,62,1489,7,0
1,271.487422,santigimeno,375,8,true,24,96,13,1
1,271.487422,Trott,0.466418,41,true,273,625,862,1
4,271.487422,trevnorris,0.163265,24,true,17,69,0,1
2,271.487422,bnoordhuis,0.805825,29,true,51,109,4,1
2,271.487422,princejwesley,0,29,true,4,17,154,1
1,271.487422,cjihrig,0.328358,19,true,67,161,92,1
0,271.487422,rvagg,0.351759,17,true,78,513,15,0
2,271.487422,kahwee,0,7,false,0,0,492,0
1,271.487422,mcollina,0.285714,281,true,10,24,18,1
1,271.487422,phillipj,0.142857,2,true,2,5,75,0
975,271.487422,Shambhavi,0,0,false,0,0,-1,0
68,390.128433,rvagg,0.353535,17,true,77,509,596,0
70,445.680582,rvagg,0.35533,17,true,76,505,600,0
1,271.487422,ronkorving,0.166667,2,false,1,10,12,1
1,271.487422,rvagg,0.357143,17,true,73,498,1,0
1,271.487422,Trott,0.464419,41,true,278,635,24,1
2,271.487422,indutny,184,17,true,62,138,0,0
2,271.487422,mscdex,0.135135,1,true,73,195,14,1
2,271.487422,eljefedelrodeodeljefe,0.181818,43,true,14,27,6,0
2,271.487422,mscdex,0.123288,1,true,72,193,80,1
3,271.487422,cjihrig,0.318182,19,true,69,163,2,1
3,271.487422,estliberitas,0.222222,16,true,19,76,0,1
1,271.487422,nettofarah,0,127,false,0,4,228,1
1,271.487422,Trott,0.462406,41,true,275,631,664,1
1,271.487422,indutny,0.185484,17,true,61,134,0,0
4,271.487422,Trott,0.464151,41,true,273,627,0,0
2,271.487422,stefanmb,375,17,true,5,13,2,1
1,262.813889,pinggod,0,14,false,0,0,13,0
1,271.487422,Trott,0.463878,41,true,272,632,18,1
6,271.487422,glenholmes,0,0,false,0,0,-1,0
224,271.487422,zkat,0.181818,56,true,14,57,4,0
1,271.593649,cjihrig,0.307692,19,true,67,161,1176,1
2,271.576163,estliberitas,0.176471,16,true,18,74,7051,1
3,271.576163,bnoordhuis,0.804878,29,true,54,85,32,1
1,271.576163,evanlucas,0.628205,60,true,44,132,1,1
14,271.576163,JacksonTian,75,134,true,26,71,0,0
1,271.576163,evanlucas,0.623377,60,true,43,120,3197,1
4,271.576163,Trott,0.461832,41,true,270,628,69,1
1,271.576163,rvagg,0.358974,17,true,72,483,0,0
1,271.576163,dirceu,0,8,true,1,9,1,1
3,271.576163,Fishrock123,0.555556,17,true,32,251,16,1
3,271.576163,mscdex,0.111111,1,true,69,186,1,1
2,271.576163,Trott,0.45977,41,true,268,632,0,1
4,271.576163,jray319,0,1,false,0,2,55,0
1,271.576163,santigimeno,0.387097,8,true,28,115,1083,0
2,271.576163,silentroach,0,71,false,0,2,55,0
1,271.576163,santigimeno,0.366667,8,true,27,115,1379,1
1,271.576163,kaero,1,40,false,1,2,149,0
93,271.576163,Trott,0.461538,41,true,268,633,11,0
3,271.576163,Ralt,0,17,false,0,0,36,0
1,271.576163,hgwood,0,16,false,0,4,154,1
1,271.576163,eljefedelrodeodeljefe,0.222222,43,true,12,26,44834,0
3,271.576163,estliberitas,0.1875,16,true,17,64,1,0
1,271.584669,jrit,0,0,false,0,5,82,1
1,271.584669,eljefedelrodeodeljefe,0.25,43,true,11,23,17,0
3,271.584669,Trott,0.459459,41,true,266,627,3,1
1,271.584669,Trott,0.46124,41,true,265,627,25,0
1,271.584669,Trott,0.463035,41,true,264,620,692,0
1,271.588923,andrewmash,0,1,false,0,0,147,0
1,271.588923,mpotra,0,3,false,0,0,61,0
4,271.588923,Trott,0.460938,41,true,262,616,164,1
1,271.588923,kevinoid,1,0,false,1,11,1263,0
1,271.550642,mjcuva,0,11,false,0,4,1786,1
1,254.972226,MrOutput,0.5,11,false,3,8,1720,1
4,254.972226,orangemocha,0.5,2,true,2,9,9,1
1,254.972226,orangemocha,0.444444,2,true,1,5,287,1
685,252.40401,TheAlphaNerd,0.264706,145,true,60,1411,3,0
1,254.972226,mscdex,0.112676,1,true,68,184,0,0
1,255.164568,JacksonTian,0.051282,134,true,25,67,2005,1
2,246.857064,rvagg,0.360825,17,true,71,492,4,0
1,255.164568,mhdawson,0.466667,4,true,10,15,226,0
4,255.164568,Fishrock123,0.5625,17,true,31,243,262,0
2,255.164568,indutny,0.178862,17,true,57,118,0,1
1,254.987232,jasnell,0.15,39,true,188,458,3230,0
1,254.980192,cjihrig,0.296875,19,true,74,166,34,1
3,254.980192,cjihrig,0.285714,19,true,73,161,68,1
1,254.980192,chinedufn,1,44,false,2,11,14,1
1,254.980192,Trott,0.462745,41,true,260,612,2,0
2,254.980192,estliberitas,0.2,16,true,16,55,303,0
1,254.980192,rvagg,0.362694,17,true,70,479,-1,0
1,254.980192,rvagg,0.364583,17,true,69,479,-1,0
1,254.980192,rvagg,0.366492,17,true,68,479,-1,0
1,254.980192,rvagg,0.368421,17,true,67,479,-1,0
0,254.980192,rvagg,0.37037,17,true,66,455,319,0
0,254.980192,rvagg,0.37234,17,true,65,455,320,0
1,254.980192,Trott,0.46063,41,true,260,616,33,1
3,254.980192,indutny,0.172131,17,true,57,115,0,1
1,254.974181,chinedufn,1,44,false,1,8,137,1
2,254.964136,JacksonTian,0.052632,134,true,24,63,0,0
2,254.964136,JacksonTian,0.054054,134,true,23,63,255,0
1,254.964136,chinedufn,0,44,false,0,4,306,1
0,254.964136,kthelgason,0.666667,26,true,3,21,408,0
1,254.964136,jasnell,0.152542,39,true,201,461,10,0
2,254.964136,mscdex,0.114286,1,true,64,182,4,0
1,254.956067,tristanls,0,21,false,0,4,1,1
2,390.128433,jasnell,0.155172,39,true,199,458,1,0
3,445.680582,jasnell,0.157895,39,true,198,458,3,0
1,254.956067,MrOutput,0,11,false,2,4,3,1
4,259.438827,jasnell,0.160714,39,true,197,458,10,0
4,254.956067,jasnell,0.163636,39,true,196,458,22,0
1,254.955039,MrOutput,0,11,false,0,4,6,0
4,246.644133,bnoordhuis,0.808824,29,true,57,90,4,0
3,254.952033,mscdex,0.115942,1,true,63,180,0,0
7,254.952033,JacksonTian,0.055556,134,true,22,60,29,0
1,254.952033,estliberitas,0.142857,16,true,15,50,11,1
1,254.952033,bnoordhuis,0.807882,29,true,55,89,218,1
1,254.952033,mscdex,0.117647,1,true,62,164,1,0
1,254.952033,estliberitas,0.076923,16,true,14,45,45,1
1,254.952033,benjamingr,0.090909,11,true,10,27,4,1
1,254.952033,JacksonTian,0.028571,134,true,21,56,1918,1
1,254.95409,dimhotepus,0,0,false,0,4,1611,0
1,254.95409,mscdex,0.119403,1,true,61,159,740,0
2,254.95409,IgorKlopov,0,1,false,0,4,45,0
63,254.95409,Trott,0.458498,41,true,264,606,13,1
0,254.977749,mscdex,0.106061,1,true,60,155,4,1
223,247.599329,zkat,0.210526,56,true,11,49,7,0
1,255.099281,Trott,0.456349,41,true,263,606,1,1
1,255.099281,Trott,0.454183,41,true,262,602,44,1
4,255.083135,evanlucas,0.618421,60,true,47,130,61,1
2,255.018548,vaibhav93,0,1,false,0,5,39,1
545,259.438827,TheAlphaNerd,0.272727,145,true,52,1329,9,0
4,255.018548,indutny,0.173554,17,true,55,111,3,0
3,255.018548,silverwind,0.140351,34,true,49,87,10,0
1,255.065126,Trott,456,41,true,259,598,518,0
1,255.065126,Trott,0.453815,41,true,258,593,6,1
1,255.065126,jbergstroem,0.12069,23,true,9,19,170,1
1,255.065126,dirceu,0,8,true,0,4,105,0
1,255.065126,Trott,0.451613,41,true,259,589,0,1
3,255.065126,mhdawson,0.428571,4,true,10,11,16,1
1,259.438827,jasnell,0.166667,39,true,210,502,24,0
20,255.065126,stefanmb,0.333333,17,false,14,36,2,1
1,254.984697,NoahRoseLedesma,0,1,false,0,5,83,1
1,254.984697,santigimeno,0.344828,8,true,26,111,5,1
1,254.984697,Trott,0.453441,41,true,254,585,90,0
7,254.972583,AndreasMadsen,0,57,true,1,64,62,0
1,254.985968,Avinash-Raj,0,1,false,0,0,7,0
12,254.985968,mscdex,0.092308,1,true,52,149,0,1
1,255.988619,mikeal,0,35,false,0,4,19,0
1,255.988619,indutny,0.176471,17,true,54,122,0,0
3,255.988619,orangemocha,375,2,true,0,2,58,1
0,255.988619,TheAlphaNerd,0.28125,145,true,51,1307,1,0
1,259.438827,jasnell,0.169811,39,true,208,520,87,0
1,255.988619,jasnell,0.173077,39,true,207,519,5,0
1,255.988619,TheAlphaNerd,0.290323,145,true,50,1302,11,0
2,255.988619,Fishrock123,0.556962,17,true,35,270,9,1
1,255.988619,Trott,0.455285,41,true,251,585,2,0
1,256.023131,TriAnMan,0,2,false,0,4,1915,1
2,256.023131,Trott,0.453061,41,true,249,581,1,1
2,256.023131,Trott,0.45082,41,true,248,576,1,1
3,256.023131,shigeki,0.137931,7,true,16,46,0,1
3,256.023131,Trott,0.44856,41,true,247,571,0,1
1,256.023131,arlolra,0,88,false,0,0,140,0
1,256.023131,princejwesley,0,29,true,2,13,2,0
1,256.023131,indutny,0.169492,17,true,53,118,0,1
6,255.906566,JacksonTian,0.029412,134,true,20,52,43,0
139,389.922925,rvagg,0.370968,17,true,59,413,2046,0
139,445.566244,rvagg,0.372973,17,true,58,412,282,0
2,255.906566,Trott,0.446281,41,true,244,567,6,1
1,255.906566,mscdex,0.096774,1,true,49,143,31,0
1,255.906566,bnoordhuis,0.806931,29,true,57,92,4,1
1,255.906374,mcollina,0.333333,281,true,8,20,4,0
1,255.906374,santigimeno,0.357143,8,true,25,107,369,0
2,255.906374,Trott,0.448133,41,true,243,566,0,0
5,255.906374,mscdex,0.1,1,true,44,143,0,0
2,255.906374,santigimeno,0.37037,8,true,24,103,11,0
3,255.906374,kthelgason,1,26,true,2,14,129,0
1,255.906374,Trott,0.445833,41,true,241,567,0,1
2,255.906374,princejwesley,0,29,true,1,9,1390,0
92,255.906374,BridgeAR,1,46,true,1,4,14,0
1,255.906374,Trott,0.447699,41,true,240,562,357,0
1,255.906374,Trott,0.445378,41,true,239,556,12,1
1,255.877988,indutny,0.17094,17,true,50,102,0,0
1,255.857712,juliepagano,0,18,true,0,8,0,1
0,255.857712,braydonf,0,1,true,0,5,121,1
3,255.857712,agl,0.5,0,true,4,1,1,0
6,255.857712,Fishrock123,0.551282,17,true,32,271,5,1
1,255.857712,ChALkeR,0.5,3,true,4,5,1,0
2,255.857712,ncopa,0,1,true,1,6,789,0
3,255.857712,imyller,0,5,false,0,0,140,0
192,255.857712,iarna,0.4,19,false,5,3,198,0
1,255.857712,Trott,0.447257,41,true,233,547,0,0
1,255.850639,mhdawson,0.384615,4,true,8,9,38,1
4,255.850639,BridgeAR,0,46,true,0,4,13,1
44,255.850639,Trott,0.449153,41,true,232,539,5,0
41,255.850639,indutny,0.163793,17,true,49,100,0,1
2,255.850639,Trott,0.446809,41,true,231,539,15,1
1,255.861015,a0viedo,375,72,true,4,7,47,1
1,255.861015,ojss,0,11,true,1,1,123,0
1,255.861015,santigimeno,0.346154,8,true,23,99,14,1
2,255.859977,estliberitas,0.090909,16,true,12,41,0,0
1,255.859977,estliberitas,0.1,16,true,11,35,134,0
2,255.859977,dcposch,0,19,true,4,17,2,1
2,255.859977,dcposch,0,19,true,3,9,3,0
1,255.859977,JacksonTian,0.030303,134,true,19,47,16,0
1,255.852999,TheAlphaNerd,0.266667,145,true,46,1251,1,1
5,255.852999,indutny,0.165217,17,true,47,97,0,0
1,255.852999,TheAlphaNerd,0.241379,145,true,45,1248,0,1
2,255.852999,ncopa,0,1,true,0,1,6,0
2,255.852999,JacksonTian,0.03125,134,true,18,41,171,0
1,255.852999,JacksonTian,0.032258,134,true,16,41,2,0
36,255.852999,tflanagan,0.166667,6,true,10,182,32,0
1,255.852999,Trott,0.450644,41,true,229,528,12,0
1,255.852999,JungMinu,0.241379,56,true,27,42,2,1
2,255.852999,dcposch,0,19,true,2,9,80,0
2,255.852999,Trott,0.452586,41,true,228,528,34,0
6,255.857054,bnoordhuis,0.80597,29,true,60,97,83,1
1,255.857054,raineroviir,0,20,false,0,3,13,0
1,255.854036,osmanager,0,0,false,0,0,2,0
1,255.854036,estliberitas,125,16,true,8,27,-1,0
2,255.854036,estliberitas,0.142857,16,true,7,27,98,0
2,255.871677,mscdex,0.086207,1,true,41,132,3,1
1,255.866869,evanlucas,0.621622,60,true,51,141,51,1
1,255.841496,thefourtheye,275,75,true,10,25,1,0
1,265.877984,gibm,0,0,false,0,4,8,0
1,265.877984,aayn,0,0,false,0,4,404,1
1,265.877984,Necromos,0,27,false,0,0,23,1
1,265.877984,pra85,0.5,149,false,2,8,60,1
1,265.877984,pra85,0,149,false,1,4,71,1
1,265.877984,mscdex,0.087719,1,true,40,126,0,0
4,265.877984,mscdex,0.089286,1,true,39,122,26,0
1,265.880233,estliberitas,0.166667,16,false,6,26,914,0
1,265.880233,targos,0.342857,7,true,13,76,1514,1
1,265.880233,piepmatz,0,0,false,0,3,1585,0
1,265.880233,estliberitas,0.25,16,false,4,17,1604,0
3,265.880233,romankl,0.454545,6,true,8,29,1,0
1,265.880233,focusaurus,1,22,false,1,4,1631,0
1,265.880233,estliberitas,0.333333,16,false,3,17,1079,0
1,265.880233,estliberitas,0.5,16,false,2,13,12,0
1,265.880233,estliberitas,1,16,false,1,9,45,0
3,265.852874,Trott,0.450216,41,true,222,533,93,1
3,265.852874,Trott,0.452174,41,true,221,529,29,0
4,265.852874,Trott,0.454148,41,true,220,525,126,0
4,265.852874,mscdex,0.092593,1,true,37,113,14,0
1,265.852874,Trott,0.45614,41,true,219,521,162,0
1,265.852874,Trott,0.45815,41,true,218,517,183,0
9,265.852874,Trott,0.455752,41,true,217,513,196,1
1,265.852874,Trott,0.457778,41,true,216,510,220,0
1,265.852874,Trott,0.459821,41,true,215,506,230,0
1,265.852874,Trott,0.457399,41,true,214,502,237,1
1,265.852874,Trott,0.454955,41,true,213,498,266,1
3,265.852874,Trott,0.457014,41,true,212,495,273,0
2,265.852874,Trott,0.454545,41,true,211,491,285,1
2,265.852874,Trott,0.452055,41,true,210,490,302,1
1,265.852874,Trott,0.449541,41,true,209,487,309,1
129,259.345334,TheAlphaNerd,0.25,145,true,43,1171,2,0
1,265.823534,indutny,0.166667,17,true,47,98,1,0
5,265.823534,Trott,0.451613,41,true,209,484,203,0
3,265.823534,Trott,0.453704,41,true,208,480,222,0
1,265.823534,santigimeno,0.36,8,true,22,93,232,0
1,265.823534,Trott,0.455814,41,true,207,476,22,0
1,265.823534,Trott,0.457944,41,true,206,472,32,0
1,265.823534,matthewloring,0.25,4,true,4,14,1,0
2,265.823534,fdaciuk,0,182,false,0,0,18,0
1,265.823534,Trott,0.455399,41,true,204,468,1,1
1,265.823534,JungMinu,0.214286,56,true,29,38,307,1
1,265.823534,santigimeno,0.333333,8,true,21,89,369,1
1,265.823534,stevemao,0,335,false,0,0,55,0
1,265.823534,TimothyGu,0.75,12,true,3,15,197,0
2,265.823534,Trott,0.454976,41,true,200,461,15,0
1,265.823534,Trott,0.457143,41,true,199,457,24,0
1,265.823534,Trott,0.454545,41,true,198,453,4,1
133,265.823534,TheAlphaNerd,0.222222,145,true,42,1137,0,1
1,265.823534,Trott,0.451923,41,true,198,449,27,1
214,265.823534,iarna,0.333333,19,false,5,11,9,1
4,265.823534,agl,0.666667,0,true,3,1,13,0
3,266.051162,eljefedelrodeodeljefe,0.285714,43,true,9,23,33,0
1,266.051162,focusaurus,0,22,false,0,4,1,1
2,266.051162,targos,0.323529,7,true,10,72,29,1
2,266.052288,entertainyou,0,14,false,0,5,50,0
2,266.052288,indutny,0.159292,17,true,46,98,0,1
6,266.052288,Trott,0.449275,41,true,197,447,0,1
1,266.052288,Trott,0.446602,41,true,196,444,1,1
1,266.052288,Trott,0.443902,41,true,195,441,1,1
2,266.052288,techjeffharris,1,56,false,1,5,14,0
5,266.043822,trevnorris,0.145833,24,true,19,54,181,1
1,266.044948,Trott,0.441176,41,true,196,438,0,1
