@relation 'metasploit-framework-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R36,38,42,45,53'

@attribute requester {wchen-r7,hdm,FireFart,jlee-r7,acammack-r7,shipcod3,dmaloney-r7,timwr,wvu-r7,bcook-r7,d0lph1n98,bpatterson-r7,gmikeska-r7,jbarnett-r7,sempervictus,talos-arch3y,RubenRocha,dmohanty-r7,LennonCMJ,joevennix,farias-r7,OJ,all3g,nstarke,nikaiw,omriher,umerov1999,jhale85446,bigendiansmalls,wwebb-r7,ghettoeinstein,pedrib,shin-sugar-yi,flowztul,rastating,kfr-ma,psychomario,Sinkmanu,chrisdcmoore,lsato-r7,darkbushido,zeroSteiner,bcoles,nopnopnoppopopret,vysec,Atul9,todb-r7,princeofdarkness76,cdoughty-r7,mubix,g0tmi1k,jhart-r7,karllll,llmora,stufus,martinvigo,pyllyukko,madmike33,elia,radekk,r3naissance,busterb,joncave,sammbertram,jww519,m0t,KINGSABRI,jlmurray,hmoore-r7,addy-sh,jvoisin,jvazquez-r7,jakxx,fraf0,tomspencer,void-in,shuckins-r7,ccatalan-r7,xistence,brandonprry,securecurebt5,espreto,jaguasch,mandreko,metacom27,danilbaz,inkrypto,mcsaban,h0ng10,b6938236,earthquake,Meatballs1,MuhammetDilmac,scriptjunkie,MSadek-r7,samvartaka,crashbrz,Jack64,kernelsmith,altjx,AlexanderSalmin,justarandomuser,mfadzilr,alexcwatt,potmdehex,jabra-,kn0,St0rn,alexlipman1,crsanders,rcvalle,madmantm,vallejocc,rwhitcroft,h00die,leoloobeek,dmaasland,dozernz,datenschrott,blincoln682F048A,cldrn,t0nyhj,Karogh,trevrosen,jharms,HugoDelval,aushack,Th3R3p0,dnkolegov,benpturner,m-1-k-3,omarix,amatus,jsherwood0,kaospunk,cliffe,after100,sgonzalez-r7,erwanlr,sejr,dfreamon,TomSellers,mbuck-r7,lanjelot,gorums,ztgrace,limhoff-r7,lightsey,sekritskwurl,anantshri,matusso,nullbind,DrDinosaur,C-P-949,FrUh,andygoblins,pyrohaz4good,adamziaja,flashspys,disenchant,Jervelund,julianvilas,ricardojba,enioh,n0b1dy,enigma0x3,FerencSpala,jacksupinu,KoreLogicSecurity,vulp1n3,wez3,bannedit,snar5,bturner-r7,guikcd,nanomebia,claudijd,jvennix-r7,IMcPwn,BorjaMerino,sgabe,eyalgr,pdeardorff-r7,jstnkndy,b00stfr3ak,dlanner,EricGershman,dmooray,rcnunez,jduck,m7x,mzet-,bushwack,pielgrzym,E-Goldstein,techpeace,metasploitminute,andrew-morris,marcwickenden,EgiX,us3r777,Jaywalker,Lesage,headlesszeke,henshin,rasta-mouse,hacksysteam,spdfire,jezzus,mschloesser-r7,addenial,tatehansen,kbronstein,webstersprodigy,julioauto,itseco,FreedomCoder,agix,parzamendi-r7,dheiland-r7,fozavci,ikkini,fmunozs,plaguna,ir0njaw,paimei,0a2940,kost,ronibachar,rains31,dcnoren,sashs,todb,henryk,joridos,grutz,Ceenix,nnam,ringt,jakoblell,ChrisTruncer,johnhsawyer,Lutzy,epinna,OsandaMalith,iquaba,veritysr,darknight007,byt3bl33d3r,stamparm,nakilon,ytisf,philophobia78,msfcd3r,PagedeGeek,luisco,midnitesnake,nodeofgithub,AnwarMohamed,chrisukgit,attackdebris,84a0deba7af552d68c80a16b20cdef32,zombie042,TecR0c,mcfakepants,mercd,inokii,bugch3ck,tkisason,jholgui,mvdevnull,dougy2,0x41414141,arnaudsoullie,Zinterax,lsanchez-r7,Th4nat0s,allfro,herself,fillfish,musalbas,jjarmoc,abes975,dchan,gigstorm,p4tchw0rk,sensepost,mmetince,7a69,phikshun,0x3fcoma,Karmanovskii,dummys,jemjensen,rick2600,sappirate,net-ninja,mcantoni,trosen-r7,silascutler,ZeroChaos,bonsaiviking,Ensopado,kyuz0,malthusianhedonist,schierlm,sagishahar,jgor,Fr330wn4g3,ribeirux,sho-luv,aczire,j0hnf,bit4bit,R3dy,pyoor,bwall,dmaciejak,grimmlin,juushya,Mekanismen,rangercha,rsmudge,dukebarman,Ahmed-Elhady-Mohamed,ethack,jubaisamurai,shoxxdj,jiuweigui,g1ldedm1n1on,nieldk,kicks4kittens,totaldowner,rbsec,morisson,mwulftange,SeawolfRN,zeknox,floyd-fuh,trustedsec,russell,denandz,yehualiu,peto01,F1gure8,JonValt,corelanc0d3r,Bruk0ut,pnegry,ChrisJohnRiley,0pc0deFR,jhonnyboy,ethicalhack3r,averagesecurityguy,booboule,FiloSottile,titanous,Kentsson,MrXors,ddouhine,'7,3696E+069',3v0lver,Winterspite,TsCl,jwpari,alexiacole,SteveJM,jamcut,rwincey,nanotechz9l,MosDefAssassin,tyll,geyslan,sgaudet,tkrpata,shellster,dzruyk,CharlieEriksen,ndavis-r7,swtornio,Ruslaideemin,PsychoSpy,icewall,somename11111,viable-hartman,ll11010,frederic,kholia,alexmaloteaux,joernchen,staaldraad,frank2,modpr0be,froschi,Jimvin,Keebie4e,zyx2k,matthiaskaiser,jtesta,cmaruti,salcho,dougsko,twinvega,tasos-r7,darkoperator,c0mpound,cbgabriel,xard4s,steponequit,picchioni,carnal0wnage,dcbz,Console,nxnrt,linuxgeek247,viris,enaqx,nmonkee,gregory-m,marthieubean,andrewkabai,djmanilaice,steeve85,ant1,dominicwang,melihsarica,RogueBit,drimgere,msidagni,integgroll,heyder,jasbro,infodox,whoisshop,L1ghtn1ng,nahualito,ettisan,tmc,gerry,jrozner,smilingraccoon,nemski,SphaZ,lmercer-r7,rogueclown,truekonrads,kacpern,charles-n2netsec,digininja,Newpid0,svnk42,jselvi,danielemartini,defendtheworld,stephenfewer,bouk,espes,gspillman-r7,zgrace,gb2,SherifEldeeb,sput-nick,t0x1c-1,luh2,nikolai-r,msware,evil-e,malerisch,erran,mephos,bpoole,donctl,zombieCraig,esmnemon,satishb3,lincoln-corelan,erran-r7,sectorix,tdtds,dalton,v10l3nt,eddiezab,robin-francois,saintpatrick,jcran,calennert,phillips321,balgan,nevdull77,raesene,LittleLightLittleFire,tdoan-r7,lcashdol,sqlifuzzer,badishi,efraintorres,mrmee,3vi1john,justincmsf,rootman,graingert,johnnykv,wvandevanter,trolldbois,mdietz94,evilwurst,wireghoul,silviupopescu,juanvazquez,TheJacksonBrownie,b0telh0,alech,Datacut,wvandevanter-r7,ohdae,deadbyte,noperand,olliwolli,minlex,mak,matugm,syndrowm,ToxicRoot,jhartftw,threatagent,ygoltsev,sohilgarg,cd1zz,argp,Baldanos,davehull,chao-mu,okami41,andurin,mHarshal,dirtyfilthy,smorrison017,mbevand-r7,mboman,snarez,XeroHawk,exarkun634,d1n,neriberto,rickyz,tecknicaltom}
@attribute requester_succ_rate numeric
@attribute main_team_member {true,false}
@attribute integrator_follows_req {false,true}
@attribute status {0,1}

@data
hmoore-r7,0.92638,true,false,1
cdoughty-r7,0,true,false,1
madmike33,1,false,false,1
m0t,0,false,false,1
KINGSABRI,1,true,false,1
KINGSABRI,0,true,false,1
shipcod3,0.7,true,false,1
shipcod3,0.666667,true,false,1
addy-sh,0,false,false,0
jhart-r7,0.897959,true,false,1
jvoisin,1,true,false,1
wchen-r7,0.906096,true,false,1
jvazquez-r7,0.951439,true,false,1
jvazquez-r7,0.953153,true,false,0
jakxx,1,true,false,1
jvoisin,0,false,false,1
wvu-r7,0.92053,true,false,1
jvazquez-r7,0.954874,true,false,0
wvu-r7,0.92,true,false,1
all3g,0.5,true,false,0
madmike33,0,false,false,1
pyllyukko,0,false,false,1
zeroSteiner,0.847458,true,false,1
cdoughty-r7,0,true,false,0
fraf0,0,false,false,1
tomspencer,0,false,false,1
wvu-r7,0.919463,true,false,1
jhart-r7,0.895833,true,false,1
jhart-r7,0.893617,true,false,1
jlee-r7,0.942708,true,false,1
void-in,0.709677,true,false,1
jhart-r7,0.891304,true,false,1
wchen-r7,0.905941,true,false,1
shuckins-r7,0.894737,true,false,1
wchen-r7,0.905785,true,false,1
wchen-r7,0.905629,true,false,1
OJ,0.915094,true,false,1
wchen-r7,0.905473,true,false,1
all3g,0.5,true,false,1
lsato-r7,1,true,false,1
wchen-r7,0.905316,true,false,1
wchen-r7,0.905158,true,false,1
ccatalan-r7,0.555556,false,false,0
wchen-r7,905,true,false,1
all3g,0.4,true,false,1
wchen-r7,0.904841,true,false,1
jvazquez-r7,0.954792,true,false,1
jlee-r7,0.942408,true,false,1
all3g,0.5,true,false,0
joevennix,0.947368,false,false,0
lsato-r7,1,true,false,1
xistence,1,true,false,1
shipcod3,625,true,false,1
jvazquez-r7,0.95471,true,true,1
wvu-r7,0.918919,true,false,1
brandonprry,0.75,true,false,1
brandonprry,0.769231,true,false,0
joevennix,0.944444,false,false,1
zeroSteiner,0.844828,true,false,1
lsato-r7,1,true,false,1
wchen-r7,0.904682,true,false,1
wvu-r7,0.918367,true,false,1
securecurebt5,0,true,false,1
securecurebt5,0,false,false,0
wchen-r7,0.904523,true,false,1
hmoore-r7,0.925926,true,false,1
mubix,0.803279,false,false,1
wvu-r7,0.917808,true,false,1
hmoore-r7,0.925466,true,false,1
espreto,0.8,true,false,1
jvazquez-r7,0.954628,true,true,1
espreto,0.795455,true,false,1
all3g,0.666667,true,false,0
xistence,1,true,false,1
xistence,1,true,false,1
xistence,1,true,false,1
wvu-r7,0.917241,true,false,1
jvazquez-r7,0.954545,true,false,1
jvazquez-r7,0.954463,true,false,1
hmoore-r7,925,true,false,1
jaguasch,0,false,false,1
todb-r7,0.904393,true,false,1
todb-r7,0.904145,true,false,1
OJ,0.914286,true,false,1
hmoore-r7,0.924528,true,false,1
mandreko,0.941176,false,false,0
hmoore-r7,0.924051,true,false,1
todb-r7,0.903896,true,false,1
jvazquez-r7,0.95438,true,false,1
wvu-r7,0.916667,true,false,1
bigendiansmalls,1,true,false,1
wchen-r7,0.904362,true,false,1
wvu-r7,0.916084,true,false,1
jvazquez-r7,0.956124,true,false,0
metacom27,0,true,false,0
busterb,1,false,false,1
metacom27,0,false,false,0
metacom27,0,false,false,0
danilbaz,1,false,false,1
wvu-r7,0.915493,true,false,1
shipcod3,0.571429,true,false,1
wchen-r7,0.904202,true,false,1
bcook-r7,0.84375,true,false,1
bcook-r7,0.857143,true,false,0
hmoore-r7,0.923567,true,false,1
espreto,0.790698,true,false,1
xistence,1,true,false,1
farias-r7,1,true,false,1
inkrypto,1,false,false,1
wvu-r7,0.914894,true,false,1
pedrib,0.96,true,false,1
zeroSteiner,0.842105,true,false,1
mcsaban,0,false,false,0
wchen-r7,0.905724,true,false,0
h0ng10,0.9375,false,false,1
wvu-r7,0.914286,true,false,1
wchen-r7,0.905565,true,false,1
OJ,0.913462,true,false,1
b6938236,0,true,false,1
jvazquez-r7,0.956044,true,true,1
farias-r7,1,true,false,1
shipcod3,0.5,true,false,1
pedrib,0.958333,true,false,1
pedrib,0.956522,true,false,1
jvazquez-r7,0.955963,true,true,1
jvazquez-r7,0.955882,true,true,1
bigendiansmalls,0,true,false,1
jvazquez-r7,0.955801,true,false,1
jhart-r7,0.888889,true,false,1
jhart-r7,0.886364,true,false,1
jhart-r7,0.883721,true,false,1
earthquake,1,false,false,1
Meatballs1,875,true,false,1
OJ,0.912621,true,false,1
busterb,0,false,false,1
dmohanty-r7,0,true,false,1
jvazquez-r7,0.95572,true,true,1
jvazquez-r7,0.955638,true,false,1
jvazquez-r7,0.955556,true,false,1
MuhammetDilmac,0,false,false,0
scriptjunkie,0.861111,true,false,1
MSadek-r7,1,true,false,1
hmoore-r7,0.923077,true,false,1
wchen-r7,0.905405,true,false,1
jhart-r7,0.880952,true,false,1
hmoore-r7,0.922581,true,false,1
xistence,1,true,false,1
xistence,1,true,false,1
farias-r7,1,true,true,1
hmoore-r7,0.922078,true,true,1
h0ng10,0.933333,false,false,1
xistence,1,true,false,1
wchen-r7,0.905245,true,false,1
wvu-r7,0.913669,true,false,1
hmoore-r7,0.921569,true,true,1
wchen-r7,0.905085,true,false,1
wchen-r7,0.904924,true,false,1
espreto,0.785714,true,false,1
farias-r7,1,true,false,1
farias-r7,1,true,false,1
wvu-r7,0.92029,true,false,0
jlee-r7,0.942105,true,false,1
espreto,0.780488,true,false,1
wchen-r7,0.906463,true,false,0
lsato-r7,0,true,false,1
wchen-r7,0.906303,true,false,1
bcook-r7,0.854839,true,false,1
shipcod3,0.4,true,false,1
joevennix,0.941176,true,false,1
Sinkmanu,0,true,false,1
samvartaka,0,false,false,1
all3g,0.5,true,false,1
xistence,1,false,false,1
hmoore-r7,0.921053,true,false,1
hmoore-r7,0.92053,true,true,1
wchen-r7,0.906143,true,false,1
jvazquez-r7,0.955473,true,false,1
wchen-r7,0.905983,true,false,1
crashbrz,0.75,true,false,1
wvu-r7,0.919708,true,false,1
Jack64,0.333333,true,false,1
hmoore-r7,0.92,true,false,1
jvazquez-r7,0.95539,true,true,1
hmoore-r7,0.919463,true,false,1
kernelsmith,0.7,true,false,1
hmoore-r7,0.918919,true,true,1
altjx,0.2,true,false,1
shipcod3,0.25,true,false,1
void-in,0.7,true,false,1
wchen-r7,0.905822,true,false,1
hmoore-r7,0.918367,true,false,1
AlexanderSalmin,0,false,false,1
hmoore-r7,0.917808,true,false,1
espreto,775,true,false,1
OJ,0.911765,true,false,1
OJ,0.910891,true,false,1
OJ,0.91,true,true,1
hmoore-r7,0.917241,true,false,1
jvazquez-r7,0.955307,true,false,1
jhart-r7,0.878049,true,false,1
espreto,0.769231,true,false,1
wchen-r7,0.90566,true,false,1
bcook-r7,0.852459,true,false,1
justarandomuser,0,true,false,0
jvazquez-r7,0.955224,true,true,1
stufus,1,true,false,1
todb-r7,0.903646,true,false,1
shipcod3,0,true,false,1
todb-r7,0.903394,true,false,1
wchen-r7,0.905498,true,false,1
jlee-r7,0.941799,true,false,1
farias-r7,1,true,false,1
jvazquez-r7,0.95514,true,true,1
wchen-r7,0.905336,true,false,1
jvazquez-r7,0.955056,true,false,1
mfadzilr,1,true,false,1
Meatballs1,0.874251,true,false,1
Meatballs1,0.873494,true,false,1
void-in,0.724138,true,false,0
hmoore-r7,0.916667,true,false,1
hmoore-r7,0.916084,true,true,1
MSadek-r7,1,true,false,1
jhart-r7,875,true,false,1
wchen-r7,0.905172,true,false,1
espreto,0.763158,true,false,1
jlee-r7,0.941489,true,false,1
shipcod3,0,false,false,0
wvu-r7,0.919118,true,false,1
jvazquez-r7,0.954972,true,false,1
wvu-r7,0.918519,true,false,1
jvazquez-r7,0.954887,true,false,1
wvu-r7,0.91791,true,false,1
jvazquez-r7,0.954802,true,false,1
jvazquez-r7,0.954717,true,false,1
OJ,0.909091,true,false,1
joevennix,0.9375,true,false,1
joncave,1,true,false,1
hmoore-r7,0.915493,true,false,1
Meatballs1,0.878788,true,false,0
todb-r7,0.903141,true,false,1
joevennix,0.933333,true,false,1
jakxx,1,true,false,1
todb-r7,0.902887,true,false,1
jhart-r7,0.871795,true,false,1
todb-r7,0.902632,true,false,1
bcook-r7,0.85,true,false,1
hmoore-r7,0.914894,true,false,1
gmikeska-r7,0.666667,true,false,1
zeroSteiner,0.839286,true,false,1
FireFart,0.846154,true,false,1
shipcod3,0,false,false,0
all3g,0,true,false,1
MSadek-r7,1,true,false,1
jvazquez-r7,0.956439,true,false,1
alexcwatt,0,true,false,1
OJ,0.908163,true,false,1
jakxx,1,true,false,1
Sinkmanu,0,true,false,0
Sinkmanu,0,true,false,0
espreto,0.756757,true,false,1
espreto,0.75,true,false,1
espreto,0.742857,true,false,1
Meatballs1,0.878049,true,false,1
brandonprry,0.763158,true,false,1
Meatballs1,0.877301,true,false,1
jvazquez-r7,0.956357,true,false,1
wvu-r7,0.917293,true,false,1
gmikeska-r7,0.5,true,false,1
potmdehex,0,false,false,1
MSadek-r7,1,true,false,1
espreto,0.735294,true,false,1
espreto,0.727273,true,false,1
todb-r7,0.902375,true,false,1
bcook-r7,0.864407,true,false,0
jabra-,0.571429,true,false,1
kn0,0.666667,true,false,1
hmoore-r7,0.914286,true,false,1
bcook-r7,0.862069,true,false,1
jvazquez-r7,0.956274,true,false,1
wchen-r7,0.905009,true,false,1
jvazquez-r7,0.95619,true,true,1
St0rn,0,true,false,1
bcook-r7,0.859649,true,false,1
hmoore-r7,0.913669,true,true,1
wchen-r7,0.904844,true,false,1
wchen-r7,0.904679,true,false,1
wchen-r7,0.904514,true,false,1
todb-r7,0.902116,true,false,1
alexlipman1,0,false,false,0
wchen-r7,0.904348,true,false,1
OJ,0.907216,true,false,1
OJ,0.90625,true,false,1
crsanders,0,false,false,1
joevennix,0.928571,true,false,1
OJ,0.915789,true,false,0
jvazquez-r7,0.956107,true,false,1
todb-r7,0.901857,true,false,1
rastating,0.916667,true,false,1
jvazquez-r7,0.956023,true,false,1
Jack64,0,true,false,1
pedrib,0.954545,true,false,1
wchen-r7,0.904181,true,false,1
wchen-r7,0.904014,true,false,1
jvazquez-r7,0.955939,true,true,1
wchen-r7,0.903846,true,false,1
xistence,1,false,false,1
rcvalle,0.923077,false,false,1
wchen-r7,0.903678,true,false,1
madmantm,1,true,false,0
jvazquez-r7,0.955854,true,true,1
madmantm,0,false,false,1
OJ,0.914894,true,false,1
bcook-r7,0.857143,true,false,1
wvu-r7,0.916667,true,false,1
wvu-r7,0.916031,true,true,1
vallejocc,0,false,false,1
vallejocc,0,false,false,0
g0tmi1k,0.83871,true,false,1
wchen-r7,0.903509,true,false,1
wchen-r7,0.903339,true,false,1
wchen-r7,0.903169,true,false,1
wchen-r7,0.902998,true,false,1
wchen-r7,0.902827,true,false,1
wchen-r7,0.902655,true,false,1
MSadek-r7,1,true,false,1
bcook-r7,0.854545,true,false,1
OJ,0.913978,true,false,1
rwhitcroft,0.8,true,false,1
g0tmi1k,0.833333,true,false,1
g0tmi1k,0.827586,true,false,1
OJ,0.923913,true,false,0
wchen-r7,0.902482,true,false,1
jvazquez-r7,0.955769,true,true,1
h00die,1,true,false,1
bcook-r7,0.851852,true,false,1
hmoore-r7,0.913043,true,true,1
xistence,1,false,false,1
xistence,1,false,false,1
OJ,0.923077,true,false,1
OJ,0.922222,true,false,1
xistence,1,false,false,1
wchen-r7,0.902309,true,false,1
wchen-r7,0.902135,true,false,1
jvazquez-r7,0.955684,true,true,1
todb-r7,0.901596,true,false,1
todb-r7,904,true,false,0
wchen-r7,0.901961,true,false,1
jvazquez-r7,0.955598,true,true,1
wchen-r7,0.901786,true,false,1
rwhitcroft,0.888889,true,false,0
joevennix,0.923077,true,false,1
bcook-r7,0.849057,true,false,1
dmaloney-r7,875,true,false,1
todb-r7,0.903743,true,false,1
zeroSteiner,0.836364,true,true,1
OJ,0.932584,true,false,0
wchen-r7,0.90161,true,false,1
void-in,0.714286,true,true,1
jvazquez-r7,0.955513,true,true,1
wchen-r7,0.901434,true,true,1
hmoore-r7,0.912409,true,false,1
jvazquez-r7,0.955426,true,true,1
leoloobeek,0,false,false,0
dmaasland,1,false,false,1
dozernz,0,false,false,1
OJ,0.931818,true,false,1
darkbushido,1,true,false,0
datenschrott,0,true,false,0
wvu-r7,0.915385,true,false,1
blincoln682F048A,0,false,false,1
jvazquez-r7,0.95534,true,false,1
MSadek-r7,1,true,false,1
jvazquez-r7,0.955253,true,false,1
hmoore-r7,0.911765,true,false,1
wvu-r7,0.922481,true,false,0
OJ,0.931034,true,false,1
wchen-r7,0.902878,true,false,1
MSadek-r7,1,true,false,1
cldrn,0,false,false,1
todb-r7,0.903485,true,false,1
shipcod3,0,false,false,0
Jack64,0,false,false,0
Jack64,0,false,false,0
OJ,0.930233,true,false,1
wchen-r7,0.904332,true,false,1
jvazquez-r7,0.955166,true,true,1
t0nyhj,0,false,false,0
zeroSteiner,0.833333,true,false,1
hmoore-r7,0.911111,true,false,1
Meatballs1,0.881988,true,false,1
MSadek-r7,0,false,false,1
hmoore-r7,0.910448,true,false,1
hmoore-r7,0.909774,true,false,1
zeroSteiner,0.830189,true,true,1
joevennix,0.916667,true,false,1
Meatballs1,0.88125,true,false,1
Karogh,0,false,false,0
hmoore-r7,0.909091,true,true,1
trevrosen,1,true,false,1
bcook-r7,0.846154,true,false,1
wchen-r7,0.904159,true,false,1
bcook-r7,0.843137,true,false,1
jharms,0,true,false,1
jvazquez-r7,0.955078,true,false,1
bcook-r7,0.86,true,false,0
rwhitcroft,875,true,false,1
Meatballs1,0.880503,true,false,1
Meatballs1,0.879747,true,false,1
todb-r7,0.903226,true,false,1
todb-r7,0.902965,true,false,1
gmikeska-r7,0,true,false,1
HugoDelval,0,false,false,0
aushack,0.692308,true,false,1
wchen-r7,0.903986,true,false,1
bcook-r7,0.877551,true,false,0
todb-r7,0.902703,true,false,1
wchen-r7,0.903811,true,false,1
jvazquez-r7,0.95499,true,true,1
g0tmi1k,0.821429,true,false,1
Th3R3p0,0,true,false,1
g0tmi1k,0.814815,true,false,1
jhart-r7,0.918919,true,false,0
wvu-r7,0.921875,true,false,1
g0tmi1k,0.807692,true,false,1
g0tmi1k,0.8,false,false,1
todb-r7,0.902439,true,false,1
OJ,0.929412,true,false,1
void-in,0.703704,true,true,1
void-in,0.692308,true,false,1
dnkolegov,0.666667,true,false,1
OJ,0.928571,true,false,1
jhart-r7,0.944444,true,false,0
earthquake,1,false,false,1
wchen-r7,0.903636,true,false,1
jhart-r7,0.942857,true,false,1
jhart-r7,0.941176,true,false,1
benpturner,0.666667,true,false,1
m-1-k-3,0.809524,true,false,1
hmoore-r7,0.908397,true,false,1
g0tmi1k,0.791667,false,false,1
omarix,0,false,false,1
shuckins-r7,0.888889,true,false,1
g0tmi1k,0.782609,false,false,1
trevrosen,1,true,false,1
jvazquez-r7,0.954902,true,true,1
jvazquez-r7,0.954813,true,true,1
jvazquez-r7,0.954724,true,true,1
todb-r7,0.902174,true,false,1
void-in,0.68,true,true,1
jvazquez-r7,0.954635,true,true,1
amatus,0,false,false,1
jvazquez-r7,0.954545,true,true,1
rcvalle,0.916667,false,false,1
jabra-,0.75,false,false,1
jvazquez-r7,0.954455,true,false,1
wchen-r7,0.903461,true,false,1
void-in,0.666667,true,true,1
void-in,0.652174,true,true,1
void-in,0.636364,true,false,1
void-in,0.666667,true,false,0
sempervictus,0.411765,false,false,1
sempervictus,0.404762,false,false,1
sempervictus,0.409639,false,false,0
hmoore-r7,0.907692,true,true,1
hmoore-r7,0.906977,true,false,1
hmoore-r7,0.90625,true,false,1
hmoore-r7,0.905512,true,true,1
todb-r7,0.901907,true,false,1
wvu-r7,0.92126,true,false,1
void-in,0.65,true,false,1
void-in,0.631579,true,false,1
void-in,0.611111,true,false,1
void-in,0.588235,true,false,1
wchen-r7,0.903285,true,false,1
wchen-r7,0.903108,true,false,1
wvu-r7,0.920635,true,false,1
jvazquez-r7,0.954365,true,true,1
wchen-r7,0.90293,true,false,1
bcook-r7,875,true,false,1
jvazquez-r7,0.954274,true,true,1
wchen-r7,0.902752,true,false,1
wchen-r7,0.902574,true,false,1
jsherwood0,1,false,false,1
jvazquez-r7,0.954183,true,true,1
wchen-r7,0.902394,true,false,1
pedrib,0.952381,false,false,1
pedrib,0.95,false,false,1
pedrib,0.947368,false,false,1
pedrib,0.944444,false,false,1
pedrib,0.941176,false,false,1
wchen-r7,0.902214,true,false,1
OJ,0.927711,true,false,1
wchen-r7,0.902033,true,false,1
wchen-r7,0.901852,true,false,1
bcook-r7,0.893617,true,false,0
wchen-r7,0.90167,true,false,1
wchen-r7,0.901487,true,false,1
timwr,0.75,true,false,1
void-in,0.6,true,true,1
wchen-r7,0.901304,true,false,1
wchen-r7,0.901119,true,false,1
timwr,0.818182,true,false,0
wchen-r7,0.900935,true,false,1
jlee-r7,0.941176,true,false,1
jvazquez-r7,0.954092,true,true,1
benpturner,625,true,false,1
m-1-k-3,0.807229,true,false,1
m-1-k-3,0.817073,true,false,0
kaospunk,0.833333,false,false,0
FireFart,0.844444,true,false,1
shuckins-r7,0.9375,true,false,1
wchen-r7,0.900749,true,false,1
bcook-r7,0.891304,true,false,1
wchen-r7,0.902439,true,false,0
todb-r7,0.901639,true,false,1
cliffe,0,false,false,0
after100,0,false,false,1
m-1-k-3,0.814815,false,false,1
wchen-r7,0.903955,true,false,1
jvazquez-r7,954,true,true,1
bcook-r7,0.911111,true,false,0
m-1-k-3,0.8125,false,false,1
jvazquez-r7,0.953908,true,true,1
todb-r7,0.90137,true,false,1
jvazquez-r7,0.953815,true,true,1
timwr,0.8,true,false,1
benpturner,0.571429,true,false,1
timwr,0.777778,true,false,1
timwr,0.75,true,false,1
OJ,0.926829,true,false,1
g0tmi1k,0.772727,false,false,1
hmoore-r7,0.912698,true,false,0
jvazquez-r7,0.955734,true,false,0
hmoore-r7,912,true,false,1
nstarke,0.818182,true,false,1
jvazquez-r7,0.955645,true,true,1
sgonzalez-r7,1,true,false,1
hmoore-r7,0.91129,true,false,1
espreto,0.71875,true,false,1
void-in,0.615385,true,false,1
hmoore-r7,0.910569,true,false,1
sempervictus,0.407407,false,false,1
stufus,1,true,false,1
wchen-r7,0.903774,true,false,1
erwanlr,0,false,false,1
Meatballs1,0.878981,true,false,1
dmaloney-r7,0.873684,true,false,1
ccatalan-r7,0.5,false,false,1
stufus,1,true,false,1
benpturner,0.5,true,false,1
jvazquez-r7,0.955556,true,true,1
jvazquez-r7,0.955466,true,true,1
hmoore-r7,0.909836,true,true,1
jvazquez-r7,0.957404,true,false,0
jvazquez-r7,0.957317,true,true,1
hmoore-r7,0.909091,true,false,1
dmaloney-r7,0.87234,true,false,1
OJ,0.925926,true,false,1
timwr,0.714286,true,false,1
OJ,925,true,false,1
benpturner,0.6,true,false,0
stufus,1,true,false,1
stufus,1,true,false,1
OJ,0.924051,true,false,1
OJ,0.923077,true,false,1
sempervictus,0.4,false,false,1
dmaloney-r7,0.870968,true,false,1
dmaasland,0,false,false,1
OJ,0.922078,true,true,1
h0ng10,0.928571,false,false,1
dmaloney-r7,0.869565,true,false,1
wchen-r7,0.905303,true,false,1
todb-r7,0.901099,true,false,1
sempervictus,0.405063,false,false,0
wchen-r7,0.905123,true,false,1
OJ,0.921053,true,false,1
todb-r7,0.903581,true,false,0
OJ,0.92,true,false,1
wchen-r7,0.904943,true,false,1
stufus,0,true,false,1
wchen-r7,0.904762,true,false,1
wchen-r7,0.90458,true,false,1
OJ,0.918919,true,false,1
benpturner,0.5,true,false,1
timwr,0.666667,false,false,1
hmoore-r7,0.908333,true,false,1
rwhitcroft,0.857143,false,false,1
void-in,0.583333,true,false,1
jvazquez-r7,0.95723,true,true,1
todb-r7,0.905817,true,false,1
OJ,0.917808,true,false,1
wvu-r7,0.92,true,false,1
bcook-r7,0.909091,true,false,1
