@relation 'meteor-data-weka.filters.unsupervised.attribute.AddExpression-Ea8/a8+0-Nstatus-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-N0-R0-D0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.MultiFilter-Fweka.filters.unsupervised.attribute.AddExpression -E a8/a8+0 -N status-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant -A first -N 0 -R 0 -D 0 -F \"yyyy-MM-dd\\\'T\\\'HH:mm:ss\"-Fweka.filters.unsupervised.attribute.NumericToNominal -R first-Fweka.filters.unsupervised.attribute.Reorder -R last-first-Fweka.filters.unsupervised.attribute.Remove -R 1,2,3,4,5,8,9,10,11,12,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,46,52,53,67,68,69-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-V-R10,36,50,53'

@attribute files_modified numeric
@attribute requester {emgee3,tmeasday,aldeed,glasser,zol,Primigenus,woogenius,laosb,Sarah-Alsinan,mitar,aericson,mattmccutchen,martijnwalraven,trusktr,jithesh55,meonkeys,birkskyum,Kauress,cloudzombie,LewisW,sebakerckhof,avital,fabienb4,dotansimha,lassombra,mquandalle,queso,rafael-nunez,emars,benjamn,pra85,okland,ozsay,zimme,rdickert,jiku,jrmlstf,tonycastle,nagelflorian,sedouard,n1mmy,bwobst,mjmasn,bwhitty,IeuanG,nathan-muir,brunocassol,Veered,aofrozen,slava,sheeldotme,reel,lpinto93,horner,oricordeau,talha-asad,robfallows,devgrok,skishore,rgoomar,stubailo,bySabi,dburles,welelay,mbrookes,TomFreudenberg,zacharydenton,markoshust,yhoiseth,TechplexEngineer,AlexeyMK,greggman,benweissmann,timwachsener,KiwiHacks08,martijndeh,Gwendall,JonTheNiceGuy,ekatek,eXon,ClarenceL,theavish,anand-vishal,bradvogel,kencheung,dandv,johnthepink,brettle,yyx990803,DAB0mB,aramk,pbastowski,sclausen,DCKT,lalomartins,shadedprofit,maxnowack,cedla,wojtkowiak,wh0,Urigo,brianlukoff,OleksandrChekhovskyi,vjau,cherbst,dgreensp,luohuazju,tomwasd,timhaines,quetzalcoatl,anubhav94,servel333,Rebolon,TC827,JamesMGreene,acidsound,atcwells,peterchoo,wbyrnetx,kookoskar,lieuwex,kentonv,omeid,patmoore,RobertLowe,chmac,edwinlin1987,firdausramlan,clothiersphere,robertpitt,tahirabas12,ffxsam,ApplePicke,jboulhous,Kriegslustig,freiit,carterchung,HQingYi,zhenyasav,gsuess,dolgarev,zicai,speciose,Lavan,adhearn,alanning,BraveKenny,jperl,Andarist,avalanche1,rbabayoff,lezed1,copleykj,jagi,jozzas,dferber90,maersu,DenisGorbachev,krazyeom,SachaG,ryneeverett,skagedal,warrenseine,ecwyne,hammadasad,hjst,edull24,dabrorius,Siilwyn,ksepehri,aquator,raix,Dev1an,srounce,Danieboy,jamgold,Sanjo,zyzo,lucendio,rjakobsson,hwillson,dropfen,murillo128,tomarcafe,svda,koolaid1551,Tarang,multilinear,bobiblazeski,hypno2000,mininao,mariorodriguespt,jakozaur,awatson1978,yauh,romanzolotarev,tomByrer,0a-,DanielDent,prasadKodeInCloud,d4nyll,estark37,cuberoot,smallhelm,netanelgilad,prinzdezibel,fay-jai,nothingisdead,splendido,lourd,strikeout,adnissen,restebanez,rissem,knownasilya,ogourment,locksmithdon,taromero,graemian,comerc,musically-ut,waitingkuo,colllin,physiocoder,DanielDornhardt,anstarovoyt,Cangit,ChristianBundy,pcjpcj2,Maxim-Filimonov,PooMaster,sebsylvester,ograycode,chrisbridgett,LyuGGang,olizilla,kevinchiu,awwx,matteodem,plexorama,andylash,stefankutko,mizzao,gitter-badger,adelq,timbrandin,rosh93,vince-stark,Gaelan,richguan,rick-golden-healthagen,davidworkman9,rzymek,pscanf,ryanmurakami,timoabend,evliu,subhog,wulfmeister,prapicault,clauswitt,theosp,justinsb,CryptoQuick,WimAtIHomer,RichardLitt,giavjeko,apendua,JimHough,twhy,MaximDubrovin,plachintas,Sewdn,lorensr,thatneat,ImtiazMajeed,boneyao,cmather,ORiON-,duckspeaker,iamstephenkerr,jbruni,FredericoC,ducdigital,pahans,kevb,babenzele,arbesfeld,juan-lavaina,tbjers,mikowals,rcy,andyeskridge,AntonLS,felixrabe,vsivsi,arunoda,Pent,nodecoder,Neftedollar,lukemt,davegonzalez,rgould,paulswartz,gdi2290,jfhamlin,subjective,marcandre,ankurp,greggdourgarian,patrickleet,yeputons,andreas-karlsson,OyoKooN,michaelbishop,mart-jansink,siggioskarsson,jvanveen,jaredsohn,gandev-de,alexhancock,ScottPolhemus,Tarangp,danieljonce,FooBarWidget,blackcoat,lencinhaus,andriesmalan,MaerF0x0,zeldovich,et,akralj,mcbain,demyanrogozhin,mrmrs,bitsthatmatter,Maxhodges,codeinthehole,sdarnell,bruceharris,BenjaminRH,dnprock,opyh,ansman,meawoppl,andreioprisan,jpmx,ryw,btipling,mrhein,eymiha,deepwell,eldog,bchelli,reezer,drgorb,Xample,yubozhao,lennartcl,zvictor,johnston,adamjspooner,jacott,ashaffer,stephentcannon,gib,pius,sixolet,pmark,jagill,spang,AjayMT,joshuaconner,tutukin,ianserlin,kevee,erundook,jhoxray,reustle,pstuart2,justinledwards,nate-strauser,sylvaingi,rasmuserik,haircuttedfreak,jmhredsox,kevinxucs,qzg,biocross,krizka,michaelglenadams,jerico-dev,dbimmler,belisarius222,Multiply,mrcoles,bbbmmmlll,wihl,RoboTeddy,hijonathan,crunchie84,milesmatthias,xenolf,bramp,bminer,zealoushacker,imageoptimiser,michaelneale,geoffd123,danawoodman,AVGP,rep,scottburch,hipertracker,substack,Ed-von-Schleck,airlok,TimHeckel,acemtp,nwmartin,roymax,workmad3,lvbreda,stephanebisson,Charuru,Gigaroby,75lb,jwulf,ayal,evo42,html5cat,jbernab,tifroz,motro,yonggao,bradens,yanivoliver,possibilities,fivethirty,psoots,joshrtay,TomWij,alansikora,jaeh,heavyk,zhangcheng,alex-seville,corbanbrook,MStumpp,adrusi,mpj,node-migrator-bot,ibash,groodt,TrevorBurnham,1337807,sindrenm,wbzyl,thomasf1,jonathanKingston,jlamontagne,huetsch,clarete,cobbweb,barisbalic,antoviaque,tylerball,phillc,bfirsh,climboid,JasonGiedymin,jackp,gabriel-dehan,d2s,viddo,dsummersl,adrianmaurer,txm,alanvdam,jpmec,AndyMoreland,skalb,iwoj,mindscratch,bobbywarner,shama,jamesotron,dmayle,andredublin,kiba,heikki,thatguydan,joshmcarthur,quarterto,cldwalker,ghostrocket,bnookala,hswolff,davemo,edward,debergalis}
@attribute prior_interaction_commits numeric
@attribute status {0,1}

@data
1,lezed1,0,0
10,copleykj,27,1
1,jagi,0,0
1,jozzas,0,0
3,zimme,1,1
1,meonkeys,1,1
1,TomFreudenberg,0,0
2,benjamn,47,1
1,benjamn,47,1
1,dferber90,1,1
2,dferber90,0,1
3,dferber90,0,0
1,maersu,1,1
20,slava,385,1
1,DenisGorbachev,3,1
4,krazyeom,2,1
1,SachaG,1,1
1,ryneeverett,0,1
7,benjamn,69,1
5,wojtkowiak,2,1
1,chmac,0,0
1,krazyeom,1,1
1,skagedal,2,1
2,RobertLowe,7,0
2,tmeasday,3,0
1,RobertLowe,7,1
1,dandv,2,1
1,warrenseine,1,1
2,RobertLowe,5,1
1,ecwyne,1,1
1,hammadasad,0,1
1,OleksandrChekhovskyi,1,0
1,hjst,1,1
1,edull24,0,1
1,dabrorius,0,0
2,Siilwyn,5,1
2,DenisGorbachev,2,1
1,ksepehri,0,1
3,stubailo,729,0
10,slava,450,1
15,slava,432,1
1,RobertLowe,3,1
2,aquator,1,0
6,slava,425,1
5,stubailo,707,1
2,raix,0,0
1,Dev1an,1,1
4,RobertLowe,3,1
1,RobertLowe,3,1
1,srounce,0,0
1,mitar,10,1
2,mitar,10,1
7,slava,380,1
48,slava,380,1
124,Danieboy,0,1
1,nathan-muir,0,0
2,kentonv,0,0
2,jamgold,0,1
18,jamgold,0,1
104,jamgold,0,1
1,slava,396,1
1,Sanjo,3,1
3,stubailo,711,1
1,Primigenus,2,1
7,slava,442,1
4,zyzo,5,1
1,lucendio,0,0
5,rjakobsson,0,1
6,stubailo,707,0
154,stubailo,707,1
3,hwillson,6,1
9,nathan-muir,0,0
2,nathan-muir,0,0
2,slava,536,1
4,stubailo,849,1
132,dropfen,0,1
1,mitar,10,1
1,mitar,10,1
3,hwillson,5,1
20,stubailo,844,0
2,zol,0,1
1,tmeasday,2,1
1,hwillson,3,1
3,RobertLowe,1,1
6,slava,537,1
3,hwillson,0,1
1,mitar,11,1
1,stubailo,841,1
2,murillo128,0,1
6,slava,521,1
2,slava,521,0
1,queso,1,1
1,mitar,8,0
1,mitar,7,1
1,tomarcafe,1,1
1,svda,0,0
2,koolaid1551,0,1
1,Tarang,0,0
7,slava,517,0
1,svda,0,0
1,slava,512,1
1,meonkeys,1,1
4,slava,561,1
3,multilinear,2,1
1,Siilwyn,0,0
1,bobiblazeski,0,0
1,hypno2000,0,1
1,dandv,7,0
1,mitar,6,1
1,dandv,7,1
1,mininao,0,0
1,bwhitty,1,1
1,mariorodriguespt,0,0
9,jakozaur,2,1
2,awatson1978,2,1
1,DenisGorbachev,1,0
1,DenisGorbachev,1,1
1,yauh,0,0
7,stubailo,907,0
20,slava,505,1
15,stubailo,899,1
1,romanzolotarev,0,1
1,tomByrer,0,0
7,stubailo,891,1
3,stubailo,890,0
1,mitar,6,1
1,0a-,0,1
1,rbabayoff,1,1
1,gsuess,1,1
2,slava,528,1
2,DanielDent,2,1
1,DanielDent,1,0
32,prasadKodeInCloud,0,1
1,RobertLowe,1,0
1,mitar,6,1
1,d4nyll,1,1
2,estark37,269,0
52,stubailo,805,0
2,cuberoot,0,0
1,smallhelm,1,1
2,netanelgilad,11,1
1,prinzdezibel,0,0
1,fay-jai,0,1
2,avital,43,1
1,smallhelm,0,1
21,slava,496,1
4,glasser,1194,0
4,nothingisdead,0,0
3,glasser,1186,1
1,splendido,0,1
7,glasser,1183,1
4,glasser,1182,1
1,lourd,0,0
1,strikeout,0,0
1,adnissen,1,1
1,adnissen,0,0
1,adnissen,0,0
1,restebanez,1,1
2,estark37,361,1
1,dandv,7,0
1,dandv,7,0
1,Primigenus,3,1
2,rissem,3,1
1,dandv,7,1
1,timhaines,1,1
1,tmeasday,3,1
31,ekatek,179,1
3,estark37,365,1
2,estark37,363,1
6,stubailo,690,0
53,stubailo,672,1
3,DanielDent,1,1
1,Primigenus,2,1
1,Sanjo,1,1
1,knownasilya,0,1
1,ekatek,184,1
5,slava,357,1
1,ogourment,1,1
2,mquandalle,17,1
1,mquandalle,15,1
1,locksmithdon,0,0
25,ekatek,170,1
1,taromero,0,0
1,graemian,0,1
1,dandv,6,1
1,dandv,6,1
1,dandv,5,1
1,comerc,0,0
3,benjamn,81,1
1,comerc,0,0
1,dandv,3,0
181,glasser,1078,1
1,musically-ut,1,1
29,slava,360,1
1,trusktr,2,1
1,trusktr,0,0
1,musically-ut,1,1
1,waitingkuo,0,0
23,dandv,2,0
2,tmeasday,3,1
1,colllin,1,1
3,dandv,1,0
1,physiocoder,1,0
1,DanielDornhardt,1,1
1,DanielDornhardt,0,0
1,anstarovoyt,0,1
1,Cangit,0,0
1,glasser,934,1
1,ChristianBundy,1,1
2,pcjpcj2,2,1
2,Maxim-Filimonov,0,0
2,PooMaster,0,1
31,glasser,618,1
2,glasser,587,1
2,sebsylvester,0,0
1,ograycode,1,1
1,TomFreudenberg,2,1
1,physiocoder,1,1
4,dandv,1,0
1,chrisbridgett,1,1
1,mitar,5,1
1,LyuGGang,2,0
1,LyuGGang,2,0
1,olizilla,0,0
1,benweissmann,1,1
1,dandv,1,1
1,dandv,1,1
1,rgoomar,1,1
1,kevinchiu,2,1
3,awwx,2,1
1,Urigo,1,1
3,benjamn,31,1
3,matteodem,1,1
5,matteodem,1,0
2,matteodem,1,1
1,mitar,4,1
3,plexorama,0,0
5,benjamn,28,1
1,andylash,1,1
4,mitar,4,1
3,mitar,3,0
3,mitar,3,0
1,mitar,3,0
3,mitar,3,0
1,mitar,3,0
2,mitar,3,1
6,netanelgilad,1,0
1,stefankutko,0,0
1,mitar,3,0
1,mitar,3,1
1,mizzao,1,1
1,ecwyne,1,1
1,mquandalle,16,0
1,mquandalle,16,1
1,Primigenus,1,1
3,bradvogel,0,0
1,gitter-badger,0,0
1,DenisGorbachev,1,1
3,adelq,0,1
1,svda,1,1
1,timbrandin,0,0
1,timbrandin,0,0
1,rosh93,1,0
1,mquandalle,11,1
4,mquandalle,10,1
2,vince-stark,0,0
1,awwx,1,0
2,yauh,1,1
5,mquandalle,5,1
1,Gaelan,1,1
1,richguan,0,1
5,TomFreudenberg,0,0
1,adelq,0,0
1,jperl,1,0
1,ecwyne,0,0
1,ecwyne,0,0
1,mitar,2,1
2,rissem,0,0
1,rick-golden-healthagen,0,1
2,davidworkman9,0,0
1,meonkeys,0,1
2,rzymek,0,1
1,pscanf,0,1
3,ryanmurakami,0,0
3,timoabend,0,1
1,jperl,1,1
1,evliu,1,1
1,meonkeys,0,0
1,meonkeys,0,0
1,subhog,0,0
1,mitar,4,0
1,wulfmeister,0,1
1,mizzao,1,1
1,meonkeys,0,1
1,meonkeys,0,1
1,subhog,0,0
1,lucendio,0,0
1,prapicault,0,1
1,waitingkuo,0,1
1,waitingkuo,0,1
1,clauswitt,0,0
1,theosp,0,0
2,mitar,4,1
1,justinsb,102,0
1,anstarovoyt,0,0
1,CryptoQuick,0,1
39,awwx,9,1
1,mitar,4,1
2,mitar,3,1
20,awwx,9,0
2,Tarang,3,0
3,mquandalle,5,0
2,mquandalle,5,1
1,WimAtIHomer,0,0
2,RichardLitt,1,1
2,RichardLitt,1,0
2,dandv,1,0
3,mquandalle,4,1
1,mquandalle,4,1
1,giavjeko,0,1
5,apendua,0,0
1,RichardLitt,1,1
120,awatson1978,2,1
0,awatson1978,2,0
1,JimHough,0,0
2,Cangit,4,0
1,twhy,1,1
1,MaximDubrovin,1,1
1,plachintas,0,0
1,Sewdn,0,1
1,mizzao,2,0
1,dandv,4,1
1,lorensr,0,0
1,MaximDubrovin,0,0
1,thatneat,1,1
1,ImtiazMajeed,1,1
1,zol,1,1
23,boneyao,0,1
4,awatson1978,2,0
2,cmather,1,1
1,alanning,1,0
1,splendido,0,0
1,queso,0,1
9,ORiON-,0,0
81,boneyao,0,1
3,Cangit,4,1
1,jperl,0,1
1,mitar,2,1
2,duckspeaker,1,1
1,iamstephenkerr,0,0
2,Cangit,3,1
1,jperl,0,0
1,Cangit,2,1
1,jbruni,2,1
1,FredericoC,0,1
1,estark37,315,0
1,estark37,315,0
1,estark37,315,0
3,mquandalle,17,1
1,ducdigital,2,1
1,mizzao,2,1
1,justinsb,50,1
8,awwx,18,1
1,pahans,0,0
1,kevb,0,0
1,justinsb,50,1
1,babenzele,1,1
2,tmeasday,14,1
2,arbesfeld,0,1
4,rbabayoff,0,0
1,jbruni,0,0
1,mquandalle,14,1
2,kentonv,0,1
4,juan-lavaina,0,0
1,tbjers,1,1
2,mikowals,0,0
1,emgee3,1,0
1,emgee3,1,1
5,rcy,3,1
4,subhog,4,1
3,andyeskridge,1,0
1,AntonLS,0,0
2,tmeasday,3,1
1,felixrabe,3,1
1,felixrabe,2,1
11,felixrabe,1,1
1,vsivsi,0,0
4,awwx,16,1
3,emgee3,1,1
1,dandv,6,1
5,awwx,15,1
1,dandv,5,1
1,dandv,4,0
1,dandv,4,1
4,arbesfeld,0,1
1,arunoda,1,0
1,dandv,3,0
4,apendua,0,0
2,dandv,3,0
2,dandv,3,0
1,Pent,1,1
1,nodecoder,0,0
1,aldeed,0,0
6,timhaines,8,1
1,Neftedollar,1,1
2,mquandalle,24,1
1,apendua,0,0
4,apendua,0,1
4,mquandalle,16,1
2,apendua,0,1
2,lukemt,0,0
10,timhaines,6,1
1,davegonzalez,1,1
1,cmather,0,1
3,justinsb,2,1
1,JamesMGreene,0,0
2,dandv,2,1
1,timhaines,6,1
1,lorensr,0,0
1,timhaines,5,1
1,Gaelan,0,0
2,mizzao,1,0
13,awwx,12,1
1,rgould,1,1
1,timhaines,4,1
1,timhaines,3,0
1,chmac,0,0
1,queso,1,0
2,aldeed,0,0
1,mitar,3,1
1,paulswartz,0,1
1,dandv,2,0
13,awwx,47,1
1,raix,0,0
1,dandv,2,1
1,dandv,2,1
1,gdi2290,0,0
1,jfhamlin,1,1
4,mquandalle,2,1
1,mitar,2,0
1,subjective,0,1
3,marcandre,4,1
3,marcandre,4,1
1,ankurp,0,0
1,greggdourgarian,0,0
1,greggdourgarian,0,0
4,zol,1,1
5,awwx,46,1
2,mizzao,0,1
1,patrickleet,0,0
1,marcandre,4,0
1,marcandre,4,1
2,rdickert,0,1
1,yeputons,1,1
3,timhaines,0,1
1,andreas-karlsson,0,0
4,patmoore,0,0
1,OyoKooN,1,1
6,marcandre,4,1
1,michaelbishop,0,1
7,awwx,45,1
1,horner,0,0
1,mquandalle,2,0
3,awwx,43,0
1,mart-jansink,0,1
1,raix,0,0
2,dandv,1,0
1,siggioskarsson,0,1
4,awwx,43,1
1,jvanveen,0,1
1,marcandre,0,0
1,emgee3,1,1
2,jaredsohn,0,0
4,aldeed,0,0
1,mitar,2,1
1,gandev-de,0,0
3,alexhancock,0,0
1,mitar,1,0
1,glasser,720,0
1,mitar,1,1
1,awwx,43,1
1,dandv,1,1
1,dburles,1,0
4,ScottPolhemus,0,0
1,Tarangp,0,0
1,DenisGorbachev,1,1
1,danieljonce,0,0
38,awwx,31,1
2,jvanveen,0,0
2,n1mmy,331,0
1,FooBarWidget,1,1
1,blackcoat,0,0
28,awwx,22,0
1,AlexeyMK,1,1
2,raix,0,0
2,raix,0,1
18,awwx,8,1
1,lencinhaus,0,1
3,timhaines,1,0
1,rzymek,2,1
1,rzymek,0,0
1,andriesmalan,0,0
2,raix,0,0
3,MaerF0x0,0,0
2,graemian,0,0
6,zeldovich,0,0
0,et,0,0
8,mitar,0,0
1,akralj,0,0
16,graemian,0,1
0,mcbain,0,0
0,mcbain,0,0
0,mcbain,0,0
1,raix,0,0
2,raix,0,0
1,raix,0,0
1,mitar,0,0
1,demyanrogozhin,0,0
5,mquandalle,5,0
13,mrmrs,0,0
1,mizzao,2,1
1,timhaines,4,1
1,raix,0,0
10,bitsthatmatter,0,0
1,raix,0,0
1,Maxhodges,1,1
1,Maxhodges,0,0
2,awwx,2,0
1,awwx,2,0
1,codeinthehole,1,1
4,mquandalle,2,1
1,sdarnell,0,0
2,awwx,3,0
1,mitar,0,1
1,bruceharris,0,0
2,awwx,2,1
1,BenjaminRH,0,0
2,mitar,0,0
1,dnprock,0,0
1,raix,0,0
2,opyh,0,0
1,ansman,1,0
2,dnprock,0,0
1,meawoppl,1,1
1,andreioprisan,0,1
21,mquandalle,0,0
1,mart-jansink,0,1
2,jpmx,0,0
2,nathan-muir,0,1
2,nathan-muir,0,0
1,mizzao,1,1
1,DenisGorbachev,0,0
5,alexhancock,0,1
3,RobertLowe,1,1
3,ryw,0,1
1,RobertLowe,0,1
6,timhaines,12,1
2,RobertLowe,0,1
2,zol,6,1
2,btipling,1,1
1,btipling,1,1
3,mrhein,0,0
2,eymiha,0,0
1,deepwell,0,1
1,raix,0,0
2,jaredsohn,0,1
3,BenjaminRH,0,0
47,mitar,0,1
1,mquandalle,0,0
3,BenjaminRH,0,0
7,timhaines,12,1
1,timhaines,10,0
7,awwx,8,0
1,Sewdn,0,0
1,eldog,0,0
1,awwx,11,0
1,alanning,0,1
1,bchelli,0,1
1,mquandalle,2,1
3,sdarnell,1,0
7,zol,5,1
2,sdarnell,1,1
21,reezer,0,0
28,reezer,0,1
1,drgorb,0,0
1,Xample,0,1
4,awwx,11,1
1,timhaines,10,1
19,yubozhao,0,0
0,awwx,10,0
1,mquandalle,5,0
1,mquandalle,5,0
1,emgee3,0,0
3,ryw,0,1
1,BenjaminRH,0,0
0,alexhancock,0,0
4,lennartcl,0,0
1,zvictor,0,0
78,zvictor,0,1
2,johnston,1,1
1,eymiha,0,0
0,BenjaminRH,0,0
1,awwx,11,1
0,eymiha,0,0
66,eymiha,0,1
1,apendua,0,0
0,adamjspooner,0,0
1,blackcoat,0,1
1,awwx,17,1
5,jacott,1,1
1,timhaines,9,1
2,ashaffer,0,0
1,sdarnell,1,0
1,awwx,28,1
2,awwx,28,1
2,awwx,28,1
6,timbrandin,0,0
8,awwx,28,0
4,stephentcannon,0,0
55,timhaines,9,1
3,awwx,29,1
24,timhaines,7,0
1,dandv,0,0
7,awwx,32,0
1,raix,2,0
5,awwx,32,0
1,awwx,32,0
17,awwx,32,0
3,awwx,32,1
2,gib,0,0
0,pius,0,0
0,pius,0,0
6,awwx,31,1
1,sixolet,199,0
1,avital,160,0
1,pmark,0,1
1,timhaines,2,1
2,awwx,30,1
2,jacott,1,0
1,apendua,0,0
2,awwx,30,1
1,BenjaminRH,0,0
2,jagill,1,1
1,jagill,0,0
3,spang,1,1
8,spang,1,1
2,awwx,31,1
2,awwx,31,1
0,AjayMT,7,0
1,timhaines,2,1
1,timhaines,1,0
4,awwx,31,1
1,andreas-karlsson,3,1
1,joshuaconner,0,1
13,joshuaconner,0,1
2,tutukin,0,0
1,raix,17,0
2,awwx,30,1
2,jacott,1,1
5,Tarangp,0,0
1,ianserlin,0,0
1,hypno2000,2,0
6,hypno2000,2,0
1,mitar,1,0
2,kevee,1,0
1,erundook,0,1
0,erundook,0,0
1,awwx,29,0
1,awwx,28,0
1,jhoxray,0,0
1,jhoxray,0,1
1,reustle,1,1
4,awwx,27,1
1,awwx,24,0
3,estark37,2,1
1,mquandalle,4,0
2,andreas-karlsson,2,1
2,mquandalle,4,1
235,mquandalle,4,1
1,pstuart2,0,0
1,mitar,1,1
1,Primigenus,1,1
2,raix,18,0
5,mquandalle,3,1
6,raix,18,0
6,raix,18,0
4,raix,18,1
2,mquandalle,3,0
1,justinledwards,0,0
1,blackcoat,0,1
1,timhaines,2,1
9,kevee,1,1
1,cmather,1,1
1,nate-strauser,0,0
1,sylvaingi,0,0
4,rasmuserik,1,1
7,haircuttedfreak,0,0
4,timhaines,2,0
1,raix,18,1
1,mitar,1,1
1,jmhredsox,1,1
1,awwx,24,1
36,jagill,0,1
1,kevinxucs,1,1
3,raix,16,1
1,graemian,1,1
1,graemian,0,0
1,graemian,0,0
2,qzg,0,0
2,awwx,23,1
1,graemian,0,0
0,biocross,0,0
3,raix,16,0
5,krizka,0,1
121,krizka,0,1
1,awwx,16,0
2,kevinxucs,0,0
1,michaelglenadams,1,1
2,awwx,10,1
7,awwx,10,1
1,bchelli,0,1
2,krizka,0,0
2,awwx,8,1
5,awwx,7,1
1,jerico-dev,0,0
1,dbimmler,2,1
5,Tarangp,0,1
2,awwx,5,1
3,awwx,4,1
3,awwx,2,1
2,belisarius222,0,0
2,jperl,1,1
3,timhaines,2,1
1,timhaines,1,1
1,Multiply,0,0
1,mrcoles,0,0
4,awwx,1,0
2,raix,16,1
2,bbbmmmlll,0,0
1,kevee,1,1
3,wihl,0,0
1,RoboTeddy,0,0
1,hijonathan,0,0
1,hijonathan,0,0
1,jperl,0,0
1,jperl,0,0
1,awwx,1,1
1,raix,15,0
7,raix,15,0
1,crunchie84,1,1
2,raix,13,0
9,raix,13,0
1,awwx,1,1
1,milesmatthias,1,1
1,cmather,1,0
3,xenolf,1,1
6,AjayMT,8,1
6,raix,7,0
3,raix,1,0
1,bramp,1,1
1,bminer,0,1
1,AjayMT,1,0
2,raix,0,0
3,timhaines,1,1
1,zealoushacker,5,0
16,zealoushacker,5,1
10,imageoptimiser,0,1
1,Primigenus,0,1
1,michaelneale,0,0
13,zealoushacker,0,1
1,geoffd123,0,1
1,danawoodman,0,1
1,AVGP,0,1
1,timhaines,1,1
3,rep,0,0
1,timhaines,0,1
0,scottburch,1,0
7,zealoushacker,0,0
1,scottburch,1,1
1,meawoppl,0,0
1,hipertracker,0,0
4,substack,3,1
1,Ed-von-Schleck,11,0
111,scottburch,1,1
1,airlok,0,0
101,airlok,0,1
2,Ed-von-Schleck,7,1
1,tmeasday,5,0
2,Ed-von-Schleck,5,1
3,TimHeckel,0,0
1,Ed-von-Schleck,0,0
1,Ed-von-Schleck,0,0
1,Ed-von-Schleck,0,0
3,acemtp,1,1
4,nwmartin,4,1
1,tmeasday,6,1
1,dandv,21,1
2,tmeasday,6,1
8,dandv,20,0
1,roymax,0,1
1,workmad3,1,1
1,dandv,18,1
4,lvbreda,1,1
5,dandv,14,0
2,stephanebisson,0,0
1,Charuru,0,0
1,Gigaroby,0,0
1,75lb,1,1
2,jwulf,0,1
1,ayal,1,1
34,evo42,1,0
1,dbimmler,0,0
2,dandv,10,1
2,dandv,10,0
1,dandv,9,0
16,dandv,8,0
7,html5cat,0,1
1,dandv,4,0
1,75lb,1,1
1,dandv,2,1
4,jbernab,0,1
1,dandv,2,0
3,tifroz,2,0
2,tifroz,1,0
5,motro,0,1
112,motro,0,1
1,75lb,1,0
1,tmeasday,5,0
4,yonggao,0,1
3,bradens,0,1
2,bradens,0,1
36,yonggao,0,0
1,yanivoliver,0,1
1,yonggao,0,1
1,possibilities,41,0
1,tmeasday,5,1
4,fivethirty,0,1
2,tmeasday,4,1
1,75lb,0,1
1,xenolf,0,1
1,xenolf,0,1
1,psoots,0,1
2,xenolf,0,0
2,tmeasday,2,1
1,joshrtay,5,1
1,yonggao,0,0
23,TomWij,13,1
2,joshrtay,6,0
4,alansikora,0,1
13,TomWij,11,0
4,alansikora,0,0
1,Multiply,0,0
1,Tarangp,0,0
1,tmeasday,2,0
70,jaeh,0,1
2,tmeasday,2,0
5,joshrtay,10,0
11,heavyk,0,1
2,stephentcannon,0,0
10,tmeasday,2,1
1,zhangcheng,33,1
3,possibilities,22,1
9,possibilities,22,1
26,possibilities,9,1
1,alex-seville,0,1
1,alex-seville,0,0
5,corbanbrook,0,0
67,possibilities,0,1
0,MStumpp,0,0
2,glasser,0,0
1,glasser,0,0
1,glasser,0,0
0,adrusi,0,0
3,tmeasday,1,1
1,ashaffer,0,1
2,mpj,1,0
43,mpj,1,1
7,node-migrator-bot,0,0
2,mpj,1,0
1,mpj,1,0
1,lvbreda,0,0
1,joshrtay,9,0
1,joshrtay,9,0
2,possibilities,0,0
6,tmeasday,0,0
2,joshrtay,8,0
2,joshrtay,8,0
1,ibash,0,1
0,groodt,0,0
37,TrevorBurnham,0,1
1,1337807,0,0
5,sindrenm,0,0
1,tmeasday,0,0
6,joshrtay,7,0
10,joshrtay,7,0
2,wbzyl,0,0
10,TomWij,7,1
1,wbzyl,0,1
3,sindrenm,0,0
2,thomasf1,0,0
3,bminer,0,0
0,joshrtay,0,1
1,possibilities,0,0
1,jonathanKingston,10,0
2,jlamontagne,0,0
1,jlamontagne,0,0
0,huetsch,0,0
1,clarete,0,1
4,jonathanKingston,10,1
9,tmeasday,0,0
2,cobbweb,0,0
0,barisbalic,0,0
2,jonathanKingston,7,0
6,avital,2,1
1,avital,1,1
0,antoviaque,0,1
0,tylerball,0,1
1,phillc,0,0
2,bfirsh,0,0
0,climboid,0,0
4,JasonGiedymin,0,0
1,jackp,0,0
1,jackp,0,0
1,gabriel-dehan,0,1
1,avital,0,0
1,mpj,1,1
1,fivethirty,3,0
1,fivethirty,3,0
1,d2s,0,0
1,viddo,0,0
